seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.579,0.766
2,1000,0,0.00,12.582,0.757
3,1002,0,0.00,12.579,0.767
4,1002,0,0.00,12.585,0.773
5,1004,0,0.00,12.583,0.761
6,1004,0,0.00,12.585,0.764
7,1006,0,0.00,12.582,0.756
8,1006,0,0.00,12.582,0.763
9,1008,0,0.00,12.581,0.765
10,1008,0,0.00,12.588,0.772
11,1010,0,0.00,12.582,0.759
12,1010,0,0.00,12.584,0.768
13,1012,0,0.00,12.583,0.765
14,1012,0,0.00,12.578,0.758
15,1014,0,0.00,12.578,0.768
16,1014,0,0.00,12.582,0.788
17,1016,0,0.00,12.576,0.779
18,1016,0,0.00,12.580,0.904
19,1018,0,0.00,12.573,1.075
20,1018,0,5.80,12.572,1.099
21,1020,0,7.64,12.578,1.053
22,1020,0,8.67,12.576,1.014
23,1022,0,8.94,12.578,0.963
24,1022,0,9.30,12.576,0.939
25,1024,0,9.20,12.577,0.931
26,1024,0,9.68,12.573,0.935
27,1026,0,9.98,12.577,0.937
28,1026,0,11.08,12.573,0.911
29,1028,0,10.91,12.574,0.911
30,1028,0,11.33,12.579,0.906
31,1030,0,11.33,12.575,0.898
32,1030,0,11.01,12.583,0.905
33,1032,0,10.93,12.576,0.887
34,1032,0,11.14,12.578,0.895
35,1034,0,11.14,12.575,0.887
36,1034,0,11.07,12.579,0.898
37,1036,0,11.51,12.574,0.898
38,1036,0,11.26,12.579,0.898
39,1038,0,11.56,12.575,0.898
40,1038,0,11.60,12.577,0.908
41,1040,0,11.82,12.571,0.896
42,1040,0,11.66,12.573,0.901
43,1042,0,11.47,12.573,0.894
44,1042,0,11.81,12.577,0.910
45,1044,0,11.83,12.574,0.905
46,1044,0,12.05,12.578,0.905
47,1046,0,12.24,12.579,0.896
48,1046,0,12.51,12.575,0.908
49,1048,0,12.59,12.577,0.904
50,1048,0,12.07,12.580,0.916
51,1050,0,12.34,12.580,0.911
52,1050,0,12.74,12.575,0.915
53,1052,0,12.96,12.570,0.922
54,1052,0,12.83,12.579,0.924
55,1054,0,12.56,12.575,0.913
56,1054,0,12.73,12.577,0.916
57,1056,0,12.60,12.571,0.911
58,1056,0,12.64,12.576,0.926
59,1058,0,12.71,12.579,0.916
60,1058,0,12.80,12.577,0.930
61,1060,0,12.84,12.577,0.937
62,1060,0,13.02,12.582,0.936
63,1062,0,13.03,12.577,0.933
