seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.591,0.716
2,1000,0,0.00,12.595,0.726
3,1002,0,0.00,12.594,0.725
4,1002,0,0.00,12.593,0.730
5,1004,0,0.00,12.595,0.716
6,1004,0,0.00,12.593,0.723
7,1006,0,0.00,12.592,0.729
8,1006,0,0.00,12.594,0.725
9,1008,0,0.00,12.591,0.732
10,1008,0,0.00,12.599,0.721
11,1010,0,0.00,12.591,0.725
12,1010,0,0.00,12.592,0.721
13,1012,0,0.00,12.587,0.723
14,1012,0,0.00,12.591,0.723
15,1014,0,0.00,12.590,0.731
16,1014,0,0.00,12.592,0.736
17,1016,0,0.00,12.589,0.749
18,1016,0,0.00,12.591,0.886
19,1018,0,0.00,12.583,1.121
20,1018,0,0.00,12.582,1.190
21,1020,0,2.06,12.581,1.160
22,1020,0,3.27,12.584,1.106
23,1022,0,3.59,12.588,1.029
24,1022,0,4.11,12.584,0.970
25,1024,0,4.55,12.583,0.936
26,1024,0,4.51,12.585,0.927
27,1026,0,4.53,12.587,0.920
28,1026,0,4.61,12.587,0.910
29,1028,0,4.77,12.588,0.898
30,1028,0,4.93,12.585,0.881
31,1030,0,5.52,12.586,0.889
32,1030,0,5.72,12.589,0.886
33,1032,0,5.86,12.587,0.872
34,1032,0,6.33,12.586,0.870
35,1034,0,5.82,12.586,0.869
36,1034,0,5.73,12.590,0.866
37,1036,0,6.09,12.588,0.865
38,1036,0,6.18,12.589,0.870
39,1038,0,6.12,12.583,0.868
40,1038,0,6.16,12.588,0.864
41,1040,0,6.44,12.586,0.868
42,1040,0,6.43,12.584,0.869
43,1042,0,6.84,12.586,0.869
44,1042,0,7.04,12.588,0.872
45,1044,0,7.27,12.587,0.872
46,1044,0,7.13,12.585,0.880
47,1046,0,7.32,12.587,0.873
48,1046,0,7.32,12.588,0.878
49,1048,0,7.62,12.587,0.876
50,1048,0,7.95,12.585,0.867
51,1050,0,7.91,12.593,0.883
52,1050,0,8.33,12.584,0.884
53,1052,0,8.40,12.588,0.874
54,1052,0,8.50,12.587,0.904
55,1054,0,8.47,12.588,0.877
56,1054,0,8.93,12.590,0.888
57,1056,0,9.03,12.583,0.883
58,1056,0,9.04,12.585,0.894
59,1058,0,9.38,12.583,0.894
60,1058,0,9.57,12.584,0.902
61,1060,0,9.48,12.585,0.890
62,1060,0,9.54,12.585,0.890
63,1062,0,9.79,12.588,0.897
64,1062,0,9.77,12.586,0.906
65,1064,0,9.83,12.587,0.917
66,1064,0,10.27,12.587,0.906
67,1066,0,9.99,12.590,0.906
68,1066,0,9.94,12.584,0.901
69,1068,0,10.12,12.582,0.918
70,1068,0,10.18,12.588,0.912
71,1070,0,10.32,12.587,0.914
72,1070,0,10.53,12.585,0.918
73,1072,0,10.35,12.585,0.916
74,1072,0,10.39,12.585,0.917
75,1074,0,10.41,12.586,0.925
76,1074,0,10.23,12.587,0.926
77,1076,0,10.56,12.585,0.924
78,1076,0,10.69,12.584,0.932
79,1078,0,10.58,12.590,0.936
80,1078,0,11.48,12.584,0.936
81,1080,0,11.13,12.587,0.937
82,1080,0,11.00,12.586,0.933
83,1082,0,11.67,12.588,0.930
84,1082,0,11.56,12.585,0.942
85,1084,0,11.33,12.585,0.949
86,1084,0,11.75,12.587,0.948
87,1086,0,11.73,12.587,0.953
88,1086,0,12.06,12.588,0.951
89,1088,0,12.37,12.582,0.948
90,1088,0,12.61,12.587,0.952
91,1090,0,12.58,12.585,0.957
92,1090,0,12.58,12.582,0.962
93,1092,0,12.66,12.581,0.963
94,1092,0,12.90,12.584,0.971
95,1094,0,13.53,12.584,0.966
96,1094,0,14.01,12.587,0.976
97,1096,0,14.21,12.583,0.972
98,1096,0,14.32,12.586,0.993
