seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.605,0.731
2,1000,0,0.00,12.602,0.721
3,1002,0,0.00,12.602,0.720
4,1002,0,0.00,12.602,0.725
5,1004,0,0.00,12.602,0.726
6,1004,0,0.00,12.599,0.724
7,1006,0,0.00,12.607,0.719
8,1006,0,0.00,12.601,0.721
9,1008,0,0.00,12.603,0.721
10,1008,0,0.00,12.601,0.724
11,1010,0,0.00,12.602,0.726
12,1010,0,0.00,12.608,0.729
13,1012,0,0.00,12.601,0.732
14,1012,0,0.00,12.599,0.722
15,1014,0,0.00,12.599,0.739
16,1014,0,0.00,12.597,0.744
17,1016,0,0.00,12.599,0.746
18,1016,0,0.00,12.592,0.816
19,1018,0,0.00,12.591,1.056
20,1018,0,0.00,12.591,1.142
21,1020,0,1.46,12.592,1.122
22,1020,0,2.32,12.593,1.087
23,1022,0,3.16,12.594,0.996
24,1022,0,3.13,12.594,0.951
25,1024,0,3.12,12.592,0.924
26,1024,0,3.55,12.596,0.924
27,1026,0,3.46,12.597,0.924
28,1026,0,3.65,12.600,0.906
29,1028,0,4.14,12.596,0.896
30,1028,0,3.94,12.595,0.886
31,1030,0,4.37,12.594,0.873
32,1030,0,4.40,12.593,0.884
33,1032,0,4.50,12.598,0.876
34,1032,0,4.59,12.595,0.862
35,1034,0,4.59,12.601,0.865
36,1034,0,4.45,12.598,0.859
37,1036,0,4.64,12.597,0.863
38,1036,0,4.83,12.597,0.873
39,1038,0,4.90,12.597,0.863
40,1038,0,4.94,12.599,0.865
41,1040,0,5.13,12.599,0.872
42,1040,0,5.08,12.599,0.872
43,1042,0,5.90,12.598,0.869
44,1042,0,5.55,12.591,0.873
45,1044,0,5.84,12.594,0.881
46,1044,0,5.78,12.594,0.873
47,1046,0,5.72,12.598,0.873
48,1046,0,6.13,12.598,0.870
49,1048,0,6.23,12.596,0.872
50,1048,0,6.33,12.598,0.887
51,1050,0,6.39,12.599,0.880
52,1050,0,7.11,12.593,0.882
53,1052,0,7.38,12.595,0.887
54,1052,0,7.31,12.596,0.889
