seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.74,0.74,12.35,0.000
2,1000,0,0.00,16.74,0.74,12.36,0.000
3,1002,0,0.00,16.74,0.73,12.26,0.000
4,1002,0,0.00,16.74,0.74,12.33,0.000
5,1004,0,0.00,16.75,0.74,12.36,0.000
6,1004,0,0.00,16.75,0.74,12.35,0.000
7,1006,0,0.00,16.74,0.74,12.35,0.000
8,1006,0,0.00,16.74,0.73,12.25,0.000
9,1008,0,0.00,16.74,0.73,12.31,0.000
10,1008,0,0.00,16.74,0.74,12.33,0.000
11,1010,0,0.00,16.74,0.74,12.40,0.000
12,1010,0,0.00,16.75,0.74,12.35,0.000
13,1012,0,0.00,16.74,0.74,12.37,0.000
14,1012,0,0.00,16.74,0.73,12.28,0.000
15,1014,0,0.00,16.74,0.75,12.59,0.000
16,1014,0,0.00,16.74,0.76,12.73,0.000
17,1016,0,0.00,16.73,0.77,12.85,0.000
18,1016,0,0.00,16.73,0.95,15.96,0.000
19,1018,0,0.00,16.72,1.29,21.49,0.000
20,1018,0,1.97,16.72,1.37,22.91,0.086
21,1020,0,4.71,16.72,1.34,22.34,0.211
22,1020,0,6.18,16.72,1.24,20.78,0.297
23,1022,0,6.79,16.72,1.15,19.15,0.355
24,1022,0,7.58,16.73,1.07,17.92,0.423
25,1024,0,8.14,16.73,1.05,17.54,0.464
26,1024,0,8.36,16.73,1.03,17.21,0.485
27,1026,0,9.15,16.73,1.00,16.80,0.545
28,1026,0,9.73,16.73,0.98,16.40,0.593
29,1028,0,10.07,16.73,0.96,16.08,0.626
30,1028,0,10.85,16.73,0.95,15.85,0.684
31,1030,0,11.38,16.73,0.94,15.77,0.722
32,1030,0,11.85,16.73,0.93,15.59,0.760
33,1032,0,12.02,16.73,0.92,15.39,0.781
34,1032,0,12.11,16.73,0.92,15.42,0.785
35,1034,0,12.36,16.73,0.92,15.42,0.801
36,1034,0,12.73,16.73,0.91,15.29,0.833
37,1036,0,13.05,16.73,0.91,15.22,0.858
38,1036,0,13.16,16.73,0.91,15.27,0.862
39,1038,0,13.44,16.73,0.92,15.37,0.875
40,1038,0,13.50,16.73,0.91,15.28,0.884
41,1040,0,13.41,16.73,0.92,15.43,0.869
42,1040,0,13.62,16.73,0.92,15.43,0.883
43,1042,0,14.15,16.73,0.92,15.40,0.919
44,1042,0,14.27,16.73,0.93,15.48,0.922
45,1044,0,14.36,16.73,0.93,15.50,0.926
46,1044,0,14.48,16.73,0.93,15.52,0.933
47,1046,0,14.63,16.73,0.93,15.54,0.941
48,1046,0,15.01,16.73,0.93,15.63,0.960
49,1048,0,15.08,16.73,0.94,15.71,0.960
50,1048,0,15.08,16.73,0.94,15.67,0.963
51,1050,0,15.80,16.73,0.94,15.71,1.006
52,1050,0,16.13,16.73,0.94,15.80,1.021
53,1052,0,16.44,16.73,0.95,15.88,1.035
