seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.56,0.73,9.12,0.000
2,1000,0,0.00,12.57,0.73,9.13,0.000
3,1002,0,0.00,12.57,0.73,9.13,0.000
4,1002,0,0.00,12.56,0.73,9.17,0.000
5,1004,0,0.00,12.56,0.73,9.22,0.000
6,1004,0,0.00,12.57,0.73,9.16,0.000
7,1006,0,0.00,12.57,0.73,9.16,0.000
8,1006,0,0.00,12.56,0.73,9.15,0.000
9,1008,0,0.00,12.57,0.73,9.19,0.000
10,1008,0,0.00,12.57,0.73,9.17,0.000
11,1010,0,0.00,12.57,0.73,9.15,0.000
12,1010,0,0.00,12.56,0.73,9.21,0.000
13,1012,0,0.00,12.56,0.73,9.20,0.000
14,1012,0,0.00,12.56,0.73,9.11,0.000
15,1014,0,0.00,12.56,0.74,9.27,0.000
16,1014,0,0.00,12.56,0.75,9.39,0.000
17,1016,0,0.00,12.56,0.75,9.46,0.000
18,1016,0,0.00,12.56,0.89,11.21,0.000
19,1018,0,0.00,12.55,1.11,13.92,0.000
20,1018,0,4.04,12.56,1.15,14.43,0.280
21,1020,0,5.56,12.55,1.09,13.71,0.406
22,1020,0,5.88,12.56,1.03,12.92,0.455
23,1022,0,6.56,12.56,0.97,12.24,0.536
24,1022,0,6.84,12.56,0.94,11.74,0.582
25,1024,0,7.25,12.56,0.91,11.39,0.637
26,1024,0,7.45,12.56,0.92,11.50,0.648
27,1026,0,7.63,12.56,0.90,11.30,0.676
28,1026,0,7.52,12.56,0.89,11.21,0.670
29,1028,0,7.99,12.56,0.88,11.05,0.723
30,1028,0,7.96,12.56,0.88,11.01,0.723
31,1030,0,8.50,12.56,0.86,10.85,0.784
32,1030,0,8.54,12.56,0.86,10.84,0.788
33,1032,0,8.68,12.56,0.86,10.79,0.805
34,1032,0,8.27,12.56,0.85,10.69,0.773
35,1034,0,8.73,12.56,0.85,10.67,0.819
36,1034,0,8.88,12.56,0.85,10.73,0.827
37,1036,0,9.12,12.56,0.85,10.70,0.853
38,1036,0,8.96,12.56,0.85,10.72,0.835
39,1038,0,9.24,12.56,0.86,10.79,0.856
40,1038,0,9.23,12.55,0.86,10.77,0.857
41,1040,0,9.24,12.56,0.85,10.68,0.865
42,1040,0,8.97,12.56,0.86,10.75,0.835
43,1042,0,9.27,12.56,0.86,10.78,0.860
44,1042,0,9.38,12.56,0.86,10.79,0.869
45,1044,0,9.30,12.56,0.85,10.71,0.868
46,1044,0,9.57,12.56,0.86,10.81,0.885
47,1046,0,9.65,12.56,0.86,10.78,0.895
48,1046,0,9.66,12.56,0.86,10.83,0.892
49,1048,0,9.79,12.56,0.86,10.83,0.904
50,1048,0,9.50,12.56,0.87,10.92,0.870
51,1050,0,9.59,12.55,0.87,10.90,0.879
52,1050,0,9.94,12.56,0.87,10.90,0.912
53,1052,0,10.02,12.56,0.87,10.89,0.920
54,1052,0,9.99,12.56,0.87,10.94,0.913
55,1054,0,9.93,12.56,0.87,10.95,0.907
56,1054,0,9.96,12.56,0.88,11.01,0.905
57,1056,0,10.09,12.56,0.87,10.92,0.924
58,1056,0,10.16,12.56,0.88,11.01,0.923
59,1058,0,10.29,12.56,0.88,10.99,0.937
60,1058,0,10.65,12.56,0.88,11.02,0.967
61,1060,0,10.62,12.56,0.88,11.06,0.960
62,1060,0,10.53,12.56,0.88,11.07,0.951
63,1062,0,10.61,12.56,0.88,11.06,0.960
64,1062,0,10.69,12.56,0.89,11.12,0.961
65,1064,0,10.74,12.56,0.89,11.18,0.961
66,1064,0,10.72,12.56,0.90,11.25,0.953
67,1066,0,10.95,12.56,0.90,11.30,0.969
68,1066,0,11.19,12.56,0.89,11.16,1.003
69,1068,0,11.38,12.56,0.89,11.14,1.021
