seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.752,0.736
2,1000,0,0.00,16.756,0.732
3,1002,0,0.00,16.757,0.731
4,1002,0,0.00,16.749,0.729
5,1004,0,0.00,16.756,0.729
6,1004,0,0.00,16.754,0.728
7,1006,0,0.00,16.750,0.734
8,1006,0,0.00,16.749,0.733
9,1008,0,0.00,16.752,0.739
10,1008,0,0.00,16.753,0.731
11,1010,0,0.00,16.755,0.731
12,1010,0,0.00,16.757,0.736
13,1012,0,0.00,16.754,0.740
14,1012,0,0.00,16.751,0.724
15,1014,0,0.00,16.745,0.752
16,1014,0,0.00,16.751,0.751
17,1016,0,0.00,16.750,0.756
18,1016,0,0.00,16.740,0.907
19,1018,0,0.00,16.738,1.202
20,1018,0,4.89,16.737,1.243
21,1020,0,6.79,16.738,1.181
22,1020,0,8.03,16.737,1.095
23,1022,0,8.85,16.739,1.019
24,1022,0,9.15,16.739,1.009
25,1024,0,9.37,16.743,0.992
26,1024,0,9.22,16.745,0.976
27,1026,0,10.42,16.747,0.949
28,1026,0,10.73,16.743,0.929
29,1028,0,11.01,16.746,0.915
30,1028,0,10.92,16.741,0.906
31,1030,0,11.17,16.742,0.903
32,1030,0,11.62,16.742,0.900
33,1032,0,11.28,16.741,0.900
34,1032,0,11.72,16.745,0.884
35,1034,0,12.02,16.745,0.879
36,1034,0,11.60,16.737,0.880
37,1036,0,12.10,16.743,0.890
38,1036,0,12.65,16.744,0.892
39,1038,0,12.58,16.746,0.887
40,1038,0,12.53,16.744,0.889
41,1040,0,12.68,16.736,0.883
42,1040,0,13.03,16.739,0.883
43,1042,0,13.00,16.747,0.885
44,1042,0,13.12,16.740,0.897
45,1044,0,13.84,16.742,0.898
46,1044,0,14.11,16.746,0.893
47,1046,0,14.23,16.740,0.895
48,1046,0,14.75,16.747,0.917
49,1048,0,14.53,16.740,0.917
50,1048,0,14.76,16.742,0.915
51,1050,0,14.38,16.742,0.908
52,1050,0,14.80,16.741,0.908
53,1052,0,15.31,16.744,0.933
54,1052,0,15.66,16.747,0.922
55,1054,0,16.08,16.742,0.914
56,1054,0,16.01,16.742,0.914
57,1056,0,16.20,16.743,0.911
58,1056,0,16.53,16.740,0.926
59,1058,0,16.58,16.743,0.922
60,1058,0,16.82,16.742,0.932
61,1060,0,17.15,16.738,0.927
62,1060,0,17.42,16.742,0.920
63,1062,0,18.45,16.741,0.926
