seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.80,0.77,13.00,0.000
2,1000,0,0.00,16.80,0.77,13.01,0.000
3,1002,0,0.00,16.80,0.78,13.10,0.000
4,1002,0,0.00,16.81,0.77,12.96,0.000
5,1004,0,0.00,16.81,0.77,12.99,0.000
6,1004,0,0.00,16.81,0.77,12.87,0.000
7,1006,0,0.00,16.80,0.77,12.93,0.000
8,1006,0,0.00,16.80,0.77,12.97,0.000
9,1008,0,0.00,16.80,0.77,13.00,0.000
10,1008,0,0.00,16.80,0.77,12.95,0.000
11,1010,0,0.00,16.80,0.77,12.95,0.000
12,1010,0,0.00,16.81,0.77,13.02,0.000
13,1012,0,0.00,16.80,0.78,13.05,0.000
14,1012,0,0.00,16.80,0.77,12.89,0.000
15,1014,0,0.00,16.80,0.79,13.25,0.000
16,1014,0,0.00,16.80,0.80,13.36,0.000
17,1016,0,0.00,16.80,0.80,13.36,0.000
18,1016,0,0.00,16.79,0.96,16.05,0.000
19,1018,0,0.00,16.79,1.23,20.73,0.000
20,1018,0,1.71,16.79,1.27,21.32,0.080
21,1020,0,3.80,16.79,1.19,20.06,0.189
22,1020,0,4.51,16.79,1.12,18.81,0.240
23,1022,0,5.85,16.79,1.05,17.57,0.333
24,1022,0,6.36,16.79,1.04,17.41,0.365
25,1024,0,7.20,16.79,1.02,17.21,0.418
26,1024,0,7.78,16.79,1.01,16.92,0.460
27,1026,0,8.77,16.79,0.99,16.63,0.527
28,1026,0,8.70,16.79,0.97,16.31,0.533
29,1028,0,9.50,16.79,0.96,16.12,0.589
30,1028,0,9.91,16.79,0.95,15.98,0.620
31,1030,0,10.54,16.79,0.95,15.88,0.664
32,1030,0,10.86,16.79,0.94,15.83,0.686
33,1032,0,11.03,16.79,0.94,15.74,0.701
34,1032,0,11.23,16.79,0.94,15.81,0.710
35,1034,0,11.48,16.79,0.94,15.76,0.728
36,1034,0,11.95,16.79,0.95,15.89,0.752
37,1036,0,12.41,16.79,0.95,15.94,0.778
38,1036,0,12.67,16.79,0.94,15.87,0.798
39,1038,0,12.98,16.79,0.95,15.99,0.812
40,1038,0,13.30,16.79,0.95,15.88,0.838
41,1040,0,13.21,16.79,0.95,15.94,0.829
42,1040,0,13.51,16.79,0.96,16.06,0.841
43,1042,0,13.97,16.79,0.95,15.95,0.876
44,1042,0,14.27,16.79,0.96,16.12,0.885
45,1044,0,14.47,16.79,0.96,16.19,0.894
46,1044,0,14.59,16.79,0.97,16.25,0.898
47,1046,0,14.64,16.79,0.96,16.12,0.909
48,1046,0,14.90,16.79,0.97,16.27,0.916
49,1048,0,15.20,16.79,0.96,16.20,0.938
50,1048,0,15.63,16.79,0.97,16.26,0.962
51,1050,0,15.80,16.79,0.98,16.51,0.957
