seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.798,0.774
2,1000,0,0.00,16.798,0.772
3,1002,0,0.00,16.797,0.784
4,1002,0,0.00,16.800,0.769
5,1004,0,0.00,16.807,0.767
6,1004,0,0.00,16.797,0.765
7,1006,0,0.00,16.801,0.769
8,1006,0,0.00,16.800,0.773
9,1008,0,0.00,16.795,0.780
10,1008,0,0.00,16.798,0.763
11,1010,0,0.00,16.794,0.770
12,1010,0,0.00,16.799,0.781
13,1012,0,0.00,16.798,0.774
14,1012,0,0.00,16.796,0.764
15,1014,0,0.00,16.794,0.792
16,1014,0,0.00,16.794,0.795
17,1016,0,0.00,16.789,0.797
18,1016,0,0.00,16.782,0.956
19,1018,0,0.00,16.782,1.267
20,1018,0,1.23,16.782,1.314
21,1020,0,1.58,16.783,1.238
22,1020,0,1.92,16.787,1.155
23,1022,0,3.15,16.789,1.061
24,1022,0,4.08,16.786,1.047
25,1024,0,4.90,16.788,1.034
26,1024,0,5.06,16.785,1.019
27,1026,0,5.99,16.791,0.995
28,1026,0,5.93,16.789,0.975
29,1028,0,6.52,16.788,0.967
30,1028,0,7.03,16.788,0.957
31,1030,0,7.96,16.791,0.947
32,1030,0,8.30,16.783,0.947
33,1032,0,8.35,16.788,0.944
34,1032,0,8.49,16.791,0.939
35,1034,0,8.66,16.788,0.938
36,1034,0,8.63,16.789,0.946
37,1036,0,8.83,16.790,0.949
38,1036,0,9.26,16.787,0.950
39,1038,0,9.67,16.788,0.949
40,1038,0,9.90,16.789,0.943
41,1040,0,9.91,16.790,0.949
42,1040,0,9.81,16.791,0.962
43,1042,0,10.27,16.789,0.951
44,1042,0,10.75,16.788,0.963
45,1044,0,10.88,16.789,0.963
46,1044,0,10.79,16.789,0.971
47,1046,0,10.72,16.785,0.964
48,1046,0,11.12,16.786,0.969
49,1048,0,11.03,16.786,0.964
50,1048,0,11.40,16.788,0.969
51,1050,0,11.74,16.785,0.979
52,1050,0,12.13,16.787,0.984
53,1052,0,12.47,16.785,0.976
54,1052,0,12.43,16.787,0.977
55,1054,0,13.07,16.784,0.988
56,1054,0,13.12,16.786,0.974
57,1056,0,12.60,16.791,0.992
58,1056,0,13.14,16.786,0.999
59,1058,0,13.31,16.789,1.008
60,1058,0,13.96,16.791,0.998
61,1060,0,14.06,16.789,1.010
62,1060,0,14.26,16.782,1.002
63,1062,0,14.57,16.787,1.014
64,1062,0,15.07,16.786,0.995
65,1064,0,15.29,16.788,0.994
66,1064,0,15.57,16.786,1.013
67,1066,0,16.54,16.787,1.012
68,1066,0,16.85,16.792,1.015
69,1068,0,17.11,16.782,1.018
70,1068,0,17.86,16.791,1.024
71,1070,0,18.28,16.788,1.027
72,1070,0,18.80,16.785,1.035
73,1072,0,18.90,16.787,1.048
74,1072,0,19.45,16.785,1.038
75,1074,0,20.07,16.782,1.046
76,1074,0,20.70,16.781,1.050
77,1076,0,20.94,16.791,1.056
78,1076,0,21.20,16.784,1.042
79,1078,0,21.40,16.788,1.049
80,1078,0,21.59,16.788,1.057
81,1080,0,21.83,16.787,1.061
82,1080,0,22.19,16.788,1.055
83,1082,0,22.56,16.780,1.064
84,1082,0,22.35,16.783,1.070
85,1084,0,22.59,16.789,1.074
86,1084,0,22.74,16.786,1.086
87,1086,0,22.84,16.789,1.088
88,1086,0,23.04,16.782,1.082
89,1088,0,23.86,16.786,1.086
90,1088,0,24.17,16.785,1.087
91,1090,0,24.57,16.788,1.099
92,1090,0,24.44,16.784,1.095
93,1092,0,24.59,16.781,1.104
94,1092,0,25.26,16.786,1.102
95,1094,0,25.90,16.783,1.108
96,1094,0,25.40,16.788,1.121
97,1096,0,25.94,16.783,1.115
98,1096,0,26.55,16.789,1.117
99,1098,0,26.51,16.786,1.123
100,1098,0,26.01,16.786,1.118
101,1100,0,26.08,16.786,1.117
102,1100,0,26.48,16.786,1.112
103,1102,0,26.60,16.785,1.126
104,1102,0,26.73,16.784,1.130
105,1104,0,27.28,16.784,1.128
106,1104,0,27.68,16.785,1.134
107,1106,0,28.14,16.784,1.137
108,1106,0,29.05,16.783,1.148
109,1108,0,29.63,16.785,1.155
110,1108,0,30.26,16.779,1.152
111,1110,0,31.53,16.786,1.158
112,1110,0,31.96,16.785,1.159
113,1112,0,32.40,16.785,1.154
114,1112,0,32.90,16.785,1.163
115,1114,0,33.08,16.779,1.163
116,1114,0,33.19,16.786,1.176
117,1116,0,33.19,16.785,1.177
118,1116,0,33.44,16.785,1.180
119,1118,0,33.52,16.784,1.185
120,1118,0,33.64,16.784,1.184
121,1120,0,33.85,16.785,1.197
122,1120,0,34.02,16.786,1.195
123,1122,0,34.79,16.788,1.205
124,1122,0,35.33,16.783,1.205
125,1124,0,35.58,16.784,1.203
126,1124,0,35.80,16.786,1.205
127,1126,0,36.32,16.787,1.217
128,1126,0,36.44,16.784,1.211
129,1128,0,37.01,16.783,1.206
130,1128,0,37.76,16.786,1.217
131,1130,0,37.75,16.786,1.222
132,1130,0,38.23,16.782,1.220
133,1132,0,38.74,16.780,1.229
134,1132,0,39.06,16.782,1.234
135,1134,0,39.44,16.785,1.222
136,1134,0,39.78,16.787,1.242
137,1136,0,40.02,16.780,1.229
138,1136,0,40.35,16.784,1.229
139,1138,0,40.47,16.785,1.239
140,1138,0,41.06,16.788,1.249
141,1140,0,41.52,16.787,1.248
142,1140,0,41.98,16.785,1.246
143,1142,0,42.22,16.783,1.246
144,1142,0,42.49,16.785,1.253
145,1144,0,42.58,16.784,1.256
146,1144,0,42.86,16.784,1.274
147,1146,0,44.16,16.783,1.271
148,1146,0,44.29,16.785,1.276
149,1148,0,44.50,16.788,1.274
150,1148,0,44.92,16.784,1.277
151,1150,0,45.34,16.783,1.295
152,1150,0,45.59,16.786,1.298
153,1152,0,46.00,16.786,1.300
154,1152,0,46.77,16.785,1.296
155,1154,0,47.41,16.781,1.303
156,1154,0,48.30,16.785,1.323
157,1156,0,49.37,16.780,1.309
158,1156,0,49.72,16.784,1.320
159,1158,0,50.24,16.782,1.321
160,1158,0,51.17,16.783,1.332
161,1160,0,52.27,16.782,1.336
162,1160,0,54.24,16.780,1.341
163,1162,0,54.96,16.776,1.357
164,1162,0,55.85,16.779,1.355
165,1164,0,56.92,16.779,1.346
166,1164,0,57.34,16.786,1.371
167,1166,0,58.32,16.784,1.354
168,1166,0,59.64,16.780,1.379
169,1168,0,60.72,16.785,1.375
170,1168,0,61.04,16.780,1.388
171,1170,0,61.93,16.782,1.381
