seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.806,0.774
2,1000,0,0.00,16.809,0.777
3,1002,0,0.00,16.806,0.775
4,1002,0,0.00,16.812,0.773
5,1004,0,0.00,16.812,0.778
6,1004,0,0.00,16.817,0.767
7,1006,0,0.00,16.809,0.770
8,1006,0,0.00,16.805,0.771
9,1008,0,0.00,16.814,0.767
10,1008,0,0.00,16.811,0.778
11,1010,0,0.00,16.810,0.771
12,1010,0,0.00,16.814,0.768
13,1012,0,0.00,16.811,0.779
14,1012,0,0.00,16.804,0.770
15,1014,0,0.00,16.807,0.785
16,1014,0,0.00,16.803,0.796
17,1016,0,0.00,16.804,0.794
18,1016,0,0.00,16.796,0.956
19,1018,0,0.00,16.790,1.203
20,1018,0,2.18,16.788,1.226
21,1020,0,6.02,16.791,1.152
22,1020,0,7.10,16.794,1.085
23,1022,0,8.55,16.792,1.032
24,1022,0,8.64,16.794,1.027
25,1024,0,9.50,16.793,1.016
26,1024,0,10.49,16.798,0.996
27,1026,0,11.55,16.795,0.986
28,1026,0,11.46,16.798,0.968
29,1028,0,12.47,16.796,0.953
30,1028,0,12.79,16.798,0.946
31,1030,0,13.13,16.795,0.944
32,1030,0,13.42,16.797,0.939
33,1032,0,13.71,16.798,0.931
34,1032,0,13.96,16.795,0.944
35,1034,0,14.30,16.801,0.939
36,1034,0,15.27,16.800,0.946
37,1036,0,15.99,16.795,0.950
38,1036,0,16.08,16.799,0.940
39,1038,0,16.30,16.793,0.956
40,1038,0,16.70,16.797,0.948
41,1040,0,16.52,16.796,0.949
42,1040,0,17.21,16.798,0.950
43,1042,0,17.68,16.794,0.949
44,1042,0,17.79,16.796,0.957
45,1044,0,18.06,16.798,0.965
46,1044,0,18.40,16.796,0.964
47,1046,0,18.57,16.797,0.956
48,1046,0,18.68,16.793,0.969
49,1048,0,19.38,16.796,0.966
50,1048,0,19.86,16.797,0.967
51,1050,0,19.86,16.793,0.988
52,1050,0,19.96,16.795,0.985
53,1052,0,20.73,16.795,0.992
54,1052,0,21.49,16.794,0.991
55,1054,0,21.66,16.795,0.994
56,1054,0,21.88,16.796,0.984
57,1056,0,22.16,16.797,0.984
58,1056,0,22.33,16.792,0.995
59,1058,0,22.90,16.796,0.998
60,1058,0,23.22,16.795,1.004
61,1060,0,23.58,16.795,1.004
62,1060,0,24.08,16.791,1.003
63,1062,0,24.75,16.793,1.007
64,1062,0,24.99,16.796,1.018
65,1064,0,25.08,16.791,1.015
66,1064,0,25.78,16.794,1.017
67,1066,0,26.64,16.797,1.012
68,1066,0,27.04,16.795,1.016
69,1068,0,27.43,16.790,1.018
70,1068,0,27.97,16.802,1.028
71,1070,0,27.77,16.788,1.024
72,1070,0,29.05,16.794,1.039
73,1072,0,28.80,16.794,1.043
74,1072,0,29.32,16.796,1.043
75,1074,0,29.82,16.790,1.042
76,1074,0,29.57,16.795,1.055
77,1076,0,29.79,16.793,1.050
78,1076,0,30.69,16.797,1.051
79,1078,0,31.14,16.792,1.040
80,1078,0,31.15,16.793,1.065
81,1080,0,31.45,16.795,1.061
82,1080,0,31.93,16.792,1.068
83,1082,0,32.13,16.794,1.066
84,1082,0,32.80,16.792,1.056
85,1084,0,33.12,16.794,1.064
86,1084,0,33.03,16.791,1.072
87,1086,0,33.67,16.787,1.080
88,1086,0,34.00,16.794,1.080
89,1088,0,34.13,16.786,1.081
90,1088,0,34.22,16.790,1.061
91,1090,0,34.74,16.792,1.070
92,1090,0,35.03,16.791,1.096
93,1092,0,35.34,16.796,1.103
94,1092,0,35.53,16.791,1.110
95,1094,0,35.90,16.787,1.110
96,1094,0,36.57,16.791,1.115
97,1096,0,36.68,16.792,1.121
98,1096,0,36.66,16.790,1.116
99,1098,0,36.55,16.788,1.111
100,1098,0,36.93,16.792,1.111
101,1100,0,36.98,16.792,1.115
102,1100,0,37.21,16.795,1.117
103,1102,0,37.61,16.787,1.122
104,1102,0,37.78,16.789,1.130
105,1104,0,37.89,16.789,1.125
106,1104,0,38.42,16.793,1.136
107,1106,0,38.85,16.791,1.122
108,1106,0,39.12,16.791,1.133
109,1108,0,39.96,16.792,1.149
110,1108,0,40.24,16.791,1.149
111,1110,0,41.26,16.789,1.159
112,1110,0,41.80,16.790,1.166
113,1112,0,41.72,16.787,1.169
114,1112,0,42.12,16.787,1.177
115,1114,0,42.53,16.791,1.165
116,1114,0,43.20,16.790,1.174
117,1116,0,43.57,16.785,1.164
118,1116,0,43.25,16.782,1.186
119,1118,0,43.40,16.792,1.189
120,1118,0,43.70,16.790,1.189
121,1120,0,44.04,16.786,1.194
122,1120,0,44.39,16.792,1.194
123,1122,0,45.28,16.793,1.201
124,1122,0,45.67,16.785,1.201
125,1124,0,45.86,16.790,1.214
126,1124,0,46.09,16.787,1.207
127,1126,0,45.86,16.787,1.218
128,1126,0,46.23,16.789,1.210
129,1128,0,46.72,16.786,1.210
130,1128,0,47.70,16.788,1.215
131,1130,0,48.09,16.785,1.207
132,1130,0,48.75,16.785,1.220
133,1132,0,48.81,16.798,1.215
134,1132,0,48.93,16.787,1.232
135,1134,0,49.40,16.789,1.220
136,1134,0,50.20,16.785,1.232
137,1136,0,50.33,16.789,1.234
138,1136,0,50.30,16.785,1.246
139,1138,0,51.28,16.785,1.232
140,1138,0,51.34,16.790,1.246
141,1140,0,51.32,16.785,1.235
142,1140,0,51.61,16.784,1.247
143,1142,0,52.05,16.791,1.261
144,1142,0,52.74,16.786,1.264
145,1144,0,53.73,16.789,1.253
146,1144,0,54.00,16.785,1.269
147,1146,0,54.56,16.785,1.281
