seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.57,0.71,8.89,0.000
2,1000,0,0.00,12.57,0.70,8.86,0.000
3,1002,0,0.00,12.57,0.71,8.95,0.000
4,1002,0,0.00,12.58,0.71,8.89,0.000
5,1004,0,0.00,12.57,0.70,8.86,0.000
6,1004,0,0.69,12.57,0.71,8.90,0.078
7,1006,0,0.00,12.57,0.71,8.90,0.000
8,1006,0,0.00,12.57,0.70,8.83,0.000
9,1008,0,0.00,12.57,0.70,8.85,0.000
10,1008,0,0.00,12.58,0.71,8.97,0.000
11,1010,0,0.00,12.57,0.71,8.88,0.000
12,1010,0,0.00,12.57,0.71,8.92,0.000
13,1012,0,0.00,12.58,0.72,9.04,0.000
14,1012,0,0.00,12.57,0.71,8.88,0.000
15,1014,0,0.00,12.57,0.72,9.03,0.000
16,1014,0,0.00,12.57,0.73,9.15,0.000
17,1016,0,0.00,12.57,0.72,9.11,0.000
18,1016,0,0.00,12.57,0.85,10.63,0.000
19,1018,0,0.71,12.57,1.01,12.74,0.056
20,1018,0,4.96,12.57,1.03,12.94,0.384
21,1020,0,7.79,12.57,0.98,12.36,0.630
22,1020,0,8.98,12.57,0.94,11.81,0.760
23,1022,0,8.98,12.57,0.90,11.32,0.793
24,1022,0,9.29,12.57,0.87,10.96,0.847
25,1024,0,9.75,12.57,0.87,10.98,0.888
26,1024,0,10.18,12.57,0.88,11.07,0.920
27,1026,0,10.02,12.57,0.86,10.85,0.924
28,1026,0,10.34,12.57,0.85,10.73,0.964
29,1028,0,10.50,12.57,0.85,10.68,0.983
30,1028,0,10.58,12.57,0.85,10.63,0.995
31,1030,0,10.27,12.57,0.85,10.65,0.964
32,1030,0,10.44,12.57,0.84,10.54,0.991
33,1032,0,10.31,12.57,0.84,10.51,0.981
34,1032,0,10.59,12.57,0.83,10.46,1.012
35,1034,0,10.64,12.57,0.83,10.45,1.018
36,1034,0,10.55,12.57,0.83,10.44,1.011
37,1036,0,10.68,12.57,0.83,10.40,1.027
38,1036,0,10.68,12.58,0.84,10.51,1.016
39,1038,0,10.91,12.57,0.84,10.57,1.033
40,1038,0,11.52,12.57,0.84,10.53,1.094
41,1040,0,11.77,12.57,0.84,10.60,1.110
42,1040,0,12.03,12.57,0.84,10.57,1.137
43,1042,0,11.81,12.57,0.84,10.58,1.116
44,1042,0,12.04,12.57,0.85,10.70,1.126
45,1044,0,11.91,12.57,0.84,10.62,1.122
46,1044,0,12.09,12.57,0.84,10.59,1.141
47,1046,0,12.35,12.57,0.85,10.68,1.156
48,1046,0,12.35,12.57,0.85,10.70,1.154
49,1048,0,12.40,12.57,0.86,10.78,1.150
50,1048,0,12.54,12.57,0.85,10.71,1.170
51,1050,0,12.85,12.57,0.86,10.78,1.192
52,1050,0,12.81,12.57,0.86,10.78,1.188
53,1052,0,12.86,12.56,0.86,10.75,1.196
54,1052,0,13.00,12.57,0.86,10.81,1.202
55,1054,0,13.13,12.57,0.86,10.80,1.216
56,1054,0,13.69,12.57,0.86,10.79,1.269
57,1056,0,13.87,12.57,0.85,10.75,1.290
58,1056,0,13.85,12.57,0.87,10.92,1.268
59,1058,0,13.73,12.57,0.87,10.99,1.249
60,1058,0,14.09,12.57,0.87,10.97,1.285
61,1060,0,14.85,12.57,0.88,11.00,1.350
62,1060,0,15.82,12.57,0.87,10.96,1.443
63,1062,0,16.91,12.57,0.88,11.02,1.534
64,1062,0,17.70,12.57,0.88,11.05,1.601
65,1064,0,18.23,12.57,0.87,10.99,1.659
66,1064,0,18.21,12.57,0.89,11.13,1.636
67,1066,0,18.18,12.57,0.89,11.19,1.625
68,1066,0,18.15,12.57,0.88,11.10,1.636
69,1068,0,18.40,12.57,0.88,11.11,1.656
70,1068,0,18.55,12.57,0.89,11.12,1.668
71,1070,0,18.41,12.57,0.88,11.11,1.657
72,1070,0,18.64,12.57,0.89,11.19,1.666
73,1072,0,18.63,12.57,0.89,11.19,1.665
74,1072,0,18.63,12.57,0.90,11.28,1.652
75,1074,0,18.61,12.57,0.90,11.28,1.649
76,1074,0,18.80,12.57,0.90,11.25,1.671
77,1076,0,18.99,12.57,0.90,11.36,1.672
78,1076,0,18.86,12.57,0.90,11.36,1.659
79,1078,0,18.84,12.57,0.91,11.37,1.657
80,1078,0,18.79,12.57,0.91,11.40,1.648
81,1080,0,19.05,12.57,0.91,11.38,1.674
82,1080,0,19.10,12.57,0.91,11.46,1.668
83,1082,0,19.23,12.57,0.91,11.46,1.678
84,1082,0,19.36,12.57,0.91,11.44,1.693
85,1084,0,19.55,12.57,0.92,11.51,1.698
86,1084,0,19.54,12.57,0.93,11.68,1.673
87,1086,0,19.40,12.57,0.92,11.61,1.670
88,1086,0,19.27,12.57,0.93,11.69,1.649
89,1088,0,19.23,12.57,0.93,11.64,1.652
90,1088,0,19.45,12.57,0.93,11.71,1.660
91,1090,4045,19.67,12.57,0.93,11.67,1.685
92,1090,4080,19.64,12.57,0.94,11.75,1.672
93,1092,4114,19.72,12.57,0.94,11.82,1.668
94,1092,4140,20.05,12.57,0.94,11.87,1.689
95,1094,4165,20.34,12.57,0.94,11.77,1.728
96,1094,4191,20.39,12.57,0.94,11.79,1.730
97,1096,4225,20.49,12.57,0.94,11.88,1.725
98,1096,4251,20.51,12.57,0.96,12.04,1.703
99,1098,4285,20.56,12.56,0.95,11.99,1.715
100,1098,4311,20.37,12.57,0.95,11.96,1.703
101,1100,4337,20.46,12.57,0.95,11.89,1.721
102,1100,4362,20.69,12.57,0.95,11.99,1.726
103,1102,4397,20.88,12.57,0.96,12.06,1.732
104,1102,4422,20.63,12.57,0.96,12.05,1.713
105,1104,4440,20.43,12.57,0.96,12.10,1.689
106,1104,4465,20.36,12.57,0.97,12.20,1.669
