seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.578,0.708
2,1000,0,0.00,12.578,0.703
3,1002,0,0.00,12.578,0.711
4,1002,0,0.00,12.581,0.709
5,1004,0,0.00,12.573,0.705
6,1004,0,0.00,12.576,0.710
7,1006,0,0.00,12.579,0.707
8,1006,0,0.00,12.577,0.692
9,1008,0,0.00,12.579,0.708
10,1008,0,0.00,12.584,0.712
11,1010,0,0.00,12.579,0.706
12,1010,0,0.00,12.578,0.713
13,1012,0,0.00,12.583,0.721
14,1012,0,0.00,12.577,0.700
15,1014,0,0.00,12.575,0.718
16,1014,0,0.00,12.575,0.729
17,1016,0,0.00,12.575,0.728
18,1016,0,0.00,12.574,0.884
19,1018,0,1.42,12.571,1.037
20,1018,0,4.43,12.572,1.038
21,1020,0,7.12,12.571,0.985
22,1020,0,8.30,12.573,0.938
23,1022,0,8.13,12.568,0.896
24,1022,0,8.58,12.570,0.867
25,1024,0,9.29,12.573,0.869
26,1024,0,9.60,12.574,0.878
27,1026,0,9.45,12.577,0.862
28,1026,0,9.58,12.573,0.851
29,1028,0,9.84,12.574,0.850
30,1028,0,9.77,12.572,0.843
31,1030,0,9.93,12.573,0.848
32,1030,0,9.78,12.571,0.836
33,1032,0,9.53,12.572,0.835
34,1032,0,9.87,12.574,0.839
35,1034,0,9.86,12.572,0.834
36,1034,0,9.95,12.574,0.833
37,1036,0,9.86,12.572,0.831
38,1036,0,10.12,12.584,0.836
39,1038,0,10.04,12.575,0.838
40,1038,0,11.35,12.573,0.836
41,1040,0,11.60,12.571,0.833
42,1040,0,11.80,12.573,0.836
43,1042,0,11.20,12.574,0.842
44,1042,0,11.67,12.575,0.851
45,1044,0,11.60,12.574,0.843
46,1044,0,11.79,12.573,0.843
47,1046,0,12.09,12.575,0.850
48,1046,0,12.09,12.575,0.847
49,1048,0,12.14,12.576,0.851
50,1048,0,12.18,12.575,0.847
51,1050,0,12.39,12.575,0.859
52,1050,0,12.56,12.577,0.860
53,1052,0,12.67,12.567,0.855
54,1052,0,12.66,12.570,0.860
55,1054,0,12.87,12.574,0.858
56,1054,0,13.06,12.576,0.861
57,1056,0,13.63,12.572,0.856
58,1056,0,13.38,12.573,0.866
59,1058,0,13.08,12.574,0.881
60,1058,0,13.53,12.572,0.875
61,1060,0,14.38,12.571,0.870
62,1060,0,15.63,12.571,0.866
63,1062,0,16.47,12.571,0.871
64,1062,0,17.57,12.574,0.876
65,1064,0,18.63,12.575,0.882
66,1064,0,18.87,12.572,0.886
67,1066,0,18.82,12.573,0.891
68,1066,0,18.49,12.570,0.888
69,1068,0,18.50,12.570,0.885
70,1068,0,18.66,12.572,0.880
71,1070,0,18.59,12.572,0.886
72,1070,0,18.81,12.574,0.888
73,1072,0,18.89,12.572,0.892
74,1072,0,19.00,12.575,0.905
75,1074,0,18.68,12.572,0.903
76,1074,0,19.12,12.571,0.896
77,1076,0,19.25,12.569,0.905
78,1076,0,19.05,12.575,0.899
79,1078,0,18.86,12.568,0.914
80,1078,0,18.62,12.572,0.910
81,1080,0,18.97,12.570,0.902
82,1080,0,19.33,12.576,0.905
83,1082,0,19.13,12.574,0.900
84,1082,0,19.08,12.569,0.914
85,1084,0,19.10,12.570,0.909
86,1084,0,18.98,12.570,0.936
87,1086,0,19.15,12.569,0.923
88,1086,0,19.09,12.576,0.934
89,1088,0,18.95,12.572,0.925
90,1088,0,19.02,12.568,0.935
91,1090,4045,19.57,12.567,0.927
92,1090,4080,19.30,12.572,0.935
93,1092,4114,19.38,12.571,0.950
94,1092,4140,19.78,12.570,0.943
95,1094,4165,19.97,12.573,0.941
96,1094,4191,20.24,12.571,0.936
97,1096,4225,20.40,12.572,0.944
98,1096,4251,20.50,12.572,0.958
99,1098,4285,20.48,12.568,0.958
100,1098,4311,20.11,12.570,0.952
101,1100,4337,20.39,12.565,0.951
102,1100,4362,20.51,12.573,0.958
103,1102,4397,20.66,12.569,0.962
104,1102,4422,20.61,12.571,0.968
105,1104,4440,20.29,12.570,0.967
106,1104,4465,20.01,12.572,0.977
107,1106,4491,20.07,12.573,0.954
108,1106,4517,20.59,12.570,0.976
109,1108,4542,21.02,12.574,0.964
110,1108,4568,21.41,12.574,0.964
111,1110,4594,21.72,12.567,0.969
112,1110,4611,22.04,12.571,0.985
113,1112,4637,22.26,12.571,0.982
114,1112,4654,22.39,12.575,0.994
115,1114,4680,22.46,12.570,0.989
116,1114,4705,22.59,12.571,0.999
117,1116,4722,22.55,12.570,0.994
118,1116,4748,23.07,12.570,0.995
119,1118,4765,23.30,12.567,1.003
