seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.71,0.72,12.02,0.000
2,1000,0,0.00,16.71,0.72,11.99,0.000
3,1002,0,0.00,16.71,0.72,12.07,0.000
4,1002,0,0.00,16.71,0.72,11.99,0.000
5,1004,0,0.00,16.71,0.72,12.03,0.000
6,1004,0,0.00,16.72,0.71,11.95,0.000
7,1006,0,0.00,16.71,0.73,12.12,0.000
8,1006,0,0.00,16.71,0.71,11.95,0.000
9,1008,0,0.00,16.71,0.72,12.05,0.000
10,1008,0,0.00,16.71,0.71,11.93,0.000
11,1010,0,0.00,16.71,0.72,12.07,0.000
12,1010,0,0.00,16.71,0.72,12.10,0.000
13,1012,0,0.00,16.71,0.72,12.02,0.000
14,1012,0,0.00,16.71,0.72,12.04,0.000
15,1014,0,0.00,16.71,0.73,12.25,0.000
16,1014,0,0.00,16.71,0.75,12.51,0.000
17,1016,0,0.00,16.71,0.74,12.44,0.000
18,1016,0,0.00,16.70,0.87,14.45,0.000
19,1018,0,0.89,16.70,1.17,19.49,0.046
20,1018,0,6.00,16.70,1.23,20.46,0.293
21,1020,0,8.00,16.70,1.15,19.28,0.415
22,1020,0,9.22,16.70,1.07,17.90,0.515
23,1022,0,10.37,16.70,1.00,16.76,0.619
24,1022,0,10.85,16.70,0.98,16.44,0.660
25,1024,0,11.52,16.71,0.98,16.34,0.705
26,1024,0,12.23,16.70,0.95,15.91,0.769
27,1026,0,12.70,16.71,0.94,15.66,0.811
28,1026,0,13.17,16.70,0.92,15.29,0.861
29,1028,0,13.82,16.70,0.90,15.07,0.917
30,1028,0,14.58,16.70,0.89,14.94,0.976
31,1030,0,15.19,16.71,0.89,14.91,1.019
32,1030,0,15.70,16.71,0.89,14.89,1.054
33,1032,0,16.27,16.71,0.88,14.77,1.102
34,1032,0,16.81,16.70,0.88,14.77,1.138
35,1034,0,16.94,16.70,0.89,14.79,1.145
36,1034,0,17.16,16.70,0.89,14.81,1.158
37,1036,0,17.38,16.71,0.88,14.76,1.178
38,1036,0,17.36,16.71,0.90,14.98,1.159
39,1038,0,17.61,16.70,0.89,14.94,1.179
40,1038,0,18.14,16.71,0.89,14.87,1.220
41,1040,0,18.34,16.70,0.89,14.88,1.232
42,1040,0,18.88,16.70,0.89,14.89,1.268
43,1042,0,18.95,16.71,0.90,14.98,1.265
44,1042,0,18.79,16.70,0.90,15.05,1.248
45,1044,0,19.00,16.71,0.90,15.09,1.259
46,1044,0,19.38,16.70,0.91,15.14,1.280
47,1046,0,19.65,16.70,0.90,15.09,1.302
48,1046,0,19.76,16.70,0.91,15.24,1.296
49,1048,0,20.18,16.70,0.91,15.26,1.322
50,1048,0,20.13,16.70,0.92,15.33,1.314
51,1050,0,20.10,16.70,0.91,15.25,1.318
52,1050,0,20.33,16.71,0.92,15.42,1.318
53,1052,0,20.34,16.70,0.93,15.45,1.316
54,1052,0,20.44,16.70,0.93,15.55,1.314
55,1054,0,21.05,16.70,0.93,15.51,1.357
56,1054,0,21.35,16.70,0.93,15.57,1.371
57,1056,0,21.26,16.70,0.93,15.56,1.366
58,1056,0,21.41,16.70,0.93,15.58,1.374
59,1058,0,21.70,16.70,0.94,15.73,1.379
60,1058,0,21.92,16.70,0.95,15.84,1.384
61,1060,0,22.14,16.70,0.94,15.75,1.406
62,1060,0,22.71,16.70,0.94,15.69,1.447
63,1062,0,23.10,16.70,0.95,15.89,1.453
64,1062,0,23.90,16.70,0.95,15.87,1.506
65,1064,0,24.12,16.70,0.95,15.89,1.518
66,1064,0,24.38,16.70,0.96,16.00,1.524
67,1066,0,24.88,16.70,0.96,15.99,1.556
68,1066,0,25.17,16.70,0.97,16.18,1.555
69,1068,0,25.67,16.70,0.97,16.18,1.587
70,1068,0,26.25,16.70,0.97,16.18,1.622
71,1070,0,26.54,16.70,0.96,16.05,1.653
72,1070,0,26.77,16.70,0.97,16.20,1.652
73,1072,0,27.13,16.70,0.97,16.24,1.670
74,1072,0,27.38,16.71,0.98,16.41,1.669
75,1074,0,27.84,16.70,0.98,16.39,1.698
76,1074,0,28.14,16.70,0.99,16.55,1.701
77,1076,0,27.92,16.70,0.98,16.44,1.699
78,1076,0,28.50,16.70,0.99,16.48,1.729
79,1078,0,28.53,16.70,0.98,16.38,1.742
80,1078,0,28.44,16.70,0.99,16.57,1.717
81,1080,0,28.51,16.70,0.99,16.62,1.715
82,1080,0,28.74,16.70,0.99,16.58,1.733
83,1082,0,28.93,16.70,1.00,16.70,1.733
84,1082,0,29.20,16.70,1.00,16.75,1.743
85,1084,0,29.43,16.70,1.00,16.69,1.763
86,1084,0,29.67,16.70,1.00,16.78,1.768
87,1086,0,29.82,16.70,1.01,16.95,1.759
88,1086,0,30.23,16.70,1.02,17.01,1.777
89,1088,0,30.41,16.70,1.01,16.89,1.800
90,1088,0,30.48,16.70,1.03,17.18,1.775
91,1090,0,30.54,16.70,1.02,17.09,1.787
92,1090,0,31.03,16.70,1.03,17.16,1.808
93,1092,0,31.32,16.70,1.03,17.16,1.825
94,1092,0,31.86,16.70,1.04,17.30,1.842
95,1094,0,32.02,16.70,1.04,17.36,1.844
96,1094,0,32.07,16.70,1.04,17.42,1.841
97,1096,0,32.20,16.70,1.05,17.47,1.843
98,1096,0,32.25,16.70,1.05,17.58,1.834
99,1098,0,32.31,16.70,1.05,17.61,1.835
100,1098,0,32.47,16.70,1.06,17.63,1.842
101,1100,0,32.80,16.71,1.06,17.66,1.857
102,1100,0,33.14,16.70,1.06,17.68,1.874
103,1102,0,33.42,16.70,1.06,17.63,1.896
104,1102,0,33.41,16.70,1.06,17.70,1.888
105,1104,0,33.69,16.70,1.08,17.96,1.875
106,1104,0,34.52,16.70,1.08,18.01,1.916
107,1106,0,35.71,16.70,1.07,17.86,1.999
108,1106,0,36.32,16.70,1.08,18.08,2.009
109,1108,0,36.94,16.70,1.08,18.03,2.049
110,1108,0,37.19,16.71,1.08,18.07,2.058
111,1110,0,37.34,16.70,1.08,18.12,2.061
112,1110,0,37.80,16.70,1.09,18.27,2.069
113,1112,0,38.26,16.70,1.10,18.38,2.082
114,1112,0,38.49,16.70,1.10,18.37,2.095
115,1114,0,38.66,16.70,1.10,18.41,2.100
116,1114,0,38.80,16.70,1.11,18.52,2.095
117,1116,0,38.97,16.70,1.11,18.48,2.109
118,1116,0,38.84,16.70,1.12,18.65,2.082
119,1118,0,39.12,16.70,1.12,18.71,2.091
120,1118,0,39.45,16.70,1.12,18.76,2.103
121,1120,0,39.69,16.70,1.13,18.80,2.111
122,1120,0,39.53,16.70,1.12,18.68,2.116
123,1122,0,39.83,16.70,1.12,18.79,2.120
124,1122,0,40.07,16.70,1.13,18.91,2.119
125,1124,0,40.22,16.70,1.14,19.11,2.105
126,1124,0,40.19,16.70,1.14,18.99,2.117
127,1126,0,40.36,16.70,1.13,18.89,2.137
128,1126,0,40.49,16.70,1.14,19.08,2.122
129,1128,0,40.94,16.70,1.14,19.10,2.143
130,1128,0,41.04,16.70,1.14,19.11,2.148
131,1130,0,41.34,16.70,1.14,19.07,2.168
132,1130,0,41.84,16.70,1.15,19.19,2.180
133,1132,0,42.17,16.70,1.15,19.27,2.188
134,1132,0,42.35,16.70,1.15,19.23,2.203
135,1134,0,42.64,16.70,1.15,19.29,2.211
136,1134,0,42.63,16.70,1.16,19.37,2.201
137,1136,0,42.62,16.70,1.16,19.37,2.200
138,1136,0,42.92,16.70,1.18,19.70,2.179
