seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.722,0.721
2,1000,0,0.00,16.721,0.715
3,1002,0,0.00,16.723,0.724
4,1002,0,0.00,16.720,0.722
5,1004,0,0.00,16.720,0.722
6,1004,0,0.00,16.720,0.715
7,1006,0,0.00,16.717,0.723
8,1006,0,0.00,16.721,0.715
9,1008,0,0.00,16.721,0.721
10,1008,0,0.00,16.721,0.712
11,1010,0,0.00,16.723,0.719
12,1010,0,0.00,16.721,0.724
13,1012,0,0.00,16.718,0.723
14,1012,0,0.00,16.719,0.719
15,1014,0,0.00,16.717,0.727
16,1014,0,0.00,16.716,0.749
17,1016,0,0.00,16.719,0.740
18,1016,0,0.00,16.708,0.845
19,1018,0,0.00,16.705,1.131
20,1018,0,5.55,16.709,1.185
21,1020,0,8.08,16.712,1.113
22,1020,0,9.42,16.710,1.044
23,1022,0,10.59,16.706,0.987
24,1022,0,11.17,16.714,0.976
25,1024,0,11.90,16.715,0.965
26,1024,0,12.36,16.712,0.944
27,1026,0,12.73,16.713,0.932
28,1026,0,13.63,16.713,0.914
29,1028,0,14.50,16.711,0.906
30,1028,0,15.22,16.715,0.894
31,1030,0,15.87,16.715,0.889
32,1030,0,16.27,16.718,0.888
33,1032,0,16.40,16.714,0.878
34,1032,0,17.09,16.712,0.883
35,1034,0,17.32,16.715,0.885
36,1034,0,17.75,16.715,0.894
37,1036,0,18.14,16.713,0.887
38,1036,0,18.16,16.725,0.890
39,1038,0,18.40,16.713,0.890
40,1038,0,18.85,16.717,0.887
41,1040,0,18.73,16.712,0.894
42,1040,0,19.37,16.711,0.887
43,1042,0,19.43,16.716,0.892
44,1042,0,19.26,16.708,0.898
45,1044,0,19.46,16.720,0.902
46,1044,0,19.62,16.715,0.902
47,1046,0,20.28,16.710,0.905
48,1046,0,20.47,16.712,0.913
49,1048,0,21.07,16.711,0.913
50,1048,0,20.87,16.711,0.924
51,1050,0,20.91,16.714,0.918
52,1050,0,21.26,16.720,0.922
53,1052,0,21.04,16.712,0.921
54,1052,0,21.11,16.714,0.926
55,1054,0,21.67,16.712,0.932
56,1054,0,21.91,16.711,0.934
57,1056,0,21.57,16.715,0.929
58,1056,0,21.66,16.712,0.934
59,1058,0,22.03,16.709,0.942
60,1058,0,22.24,16.712,0.950
61,1060,0,22.66,16.714,0.940
62,1060,0,23.16,16.709,0.939
63,1062,0,23.21,16.718,0.952
64,1062,0,24.09,16.713,0.953
65,1064,0,24.46,16.716,0.946
66,1064,0,24.73,16.715,0.962
67,1066,0,25.14,16.709,0.957
68,1066,0,25.41,16.710,0.974
69,1068,0,25.83,16.709,0.968
70,1068,0,26.23,16.713,0.973
71,1070,0,26.87,16.712,0.958
72,1070,0,27.08,16.713,0.964
73,1072,0,27.49,16.711,0.968
74,1072,0,27.93,16.715,0.980
75,1074,0,28.27,16.711,0.978
76,1074,0,28.43,16.712,0.991
77,1076,0,28.11,16.716,0.986
