seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.593,0.697
2,1000,0,0.00,12.596,0.709
3,1002,0,0.00,12.592,0.706
4,1002,0,0.00,12.596,0.701
5,1004,0,1.10,12.594,0.712
6,1004,0,1.15,12.596,0.702
7,1006,0,0.00,12.596,0.708
8,1006,0,0.00,12.594,0.703
9,1008,0,0.00,12.597,0.700
10,1008,0,1.18,12.597,0.705
11,1010,0,0.00,12.595,0.714
12,1010,0,0.00,12.597,0.698
13,1012,0,0.00,12.595,0.707
14,1012,0,0.00,12.596,0.702
15,1014,0,0.00,12.592,0.719
16,1014,0,0.00,12.587,0.719
17,1016,0,0.00,12.594,0.730
18,1016,0,0.00,12.589,0.819
19,1018,0,0.00,12.583,1.037
20,1018,0,4.40,12.585,1.105
21,1020,0,7.08,12.586,1.090
22,1020,0,7.73,12.589,1.011
23,1022,0,9.04,12.586,0.954
24,1022,0,9.65,12.590,0.916
25,1024,0,9.53,12.587,0.899
26,1024,0,9.55,12.588,0.894
27,1026,0,9.67,12.594,0.883
28,1026,0,9.97,12.591,0.873
29,1028,0,10.35,12.591,0.864
30,1028,0,10.57,12.586,0.858
31,1030,0,10.84,12.588,0.857
32,1030,0,11.13,12.591,0.850
33,1032,0,11.11,12.589,0.848
34,1032,0,10.83,12.590,0.834
35,1034,0,11.02,12.587,0.832
36,1034,0,11.11,12.588,0.834
37,1036,0,11.28,12.588,0.838
38,1036,0,11.17,12.585,0.842
39,1038,0,11.14,12.587,0.835
40,1038,0,11.11,12.590,0.839
41,1040,0,11.40,12.590,0.834
42,1040,0,11.83,12.589,0.846
43,1042,0,12.10,12.590,0.847
44,1042,0,11.88,12.590,0.859
45,1044,0,11.92,12.585,0.849
46,1044,0,12.28,12.584,0.844
47,1046,0,12.36,12.593,0.854
48,1046,0,12.38,12.587,0.852
49,1048,0,12.29,12.589,0.850
50,1048,0,12.01,12.589,0.856
51,1050,0,12.47,12.588,0.850
52,1050,0,12.59,12.590,0.862
53,1052,0,13.09,12.586,0.859
54,1052,0,12.93,12.587,0.863
55,1054,0,12.58,12.592,0.865
56,1054,0,12.95,12.589,0.867
57,1056,0,13.14,12.588,0.857
58,1056,0,13.06,12.589,0.865
59,1058,0,13.12,12.594,0.874
60,1058,0,13.31,12.588,0.878
61,1060,0,13.33,12.587,0.866
62,1060,0,13.22,12.589,0.876
63,1062,0,13.58,12.584,0.874
64,1062,0,13.62,12.587,0.881
65,1064,0,13.53,12.592,0.881
66,1064,0,13.60,12.586,0.887
67,1066,0,14.01,12.589,0.876
68,1066,0,14.08,12.584,0.884
69,1068,0,14.03,12.589,0.885
70,1068,0,13.84,12.588,0.894
71,1070,0,14.12,12.588,0.894
72,1070,0,14.11,12.590,0.887
73,1072,0,14.69,12.585,0.886
74,1072,0,14.35,12.588,0.896
75,1074,0,14.54,12.593,0.902
76,1074,0,14.88,12.586,0.913
77,1076,0,14.97,12.591,0.901
78,1076,0,15.10,12.588,0.907
79,1078,0,15.05,12.593,0.895
80,1078,0,15.16,12.591,0.906
81,1080,0,16.03,12.587,0.901
82,1080,0,16.36,12.584,0.913
83,1082,0,16.20,12.590,0.922
84,1082,0,16.41,12.588,0.925
85,1084,0,16.50,12.586,0.931
86,1084,0,16.56,12.588,0.918
87,1086,0,16.72,12.588,0.916
88,1086,0,17.07,12.590,0.927
89,1088,0,17.10,12.585,0.931
90,1088,0,17.31,12.589,0.931
91,1090,0,17.29,12.585,0.933
92,1090,0,17.39,12.586,0.940
93,1092,0,17.74,12.585,0.944
94,1092,0,18.26,12.585,0.945
95,1094,0,18.38,12.591,0.950
96,1094,0,18.88,12.587,0.953
97,1096,4225,18.67,12.583,0.949
98,1096,4260,18.60,12.588,0.957
99,1098,4294,19.03,12.591,0.967
100,1098,4328,19.32,12.585,0.957
101,1100,4354,19.71,12.588,0.951
