seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.74,0.72,12.02,0.000
2,1000,0,0.00,16.74,0.72,12.05,0.000
3,1002,0,0.00,16.74,0.72,11.98,0.000
4,1002,0,0.00,16.74,0.72,12.08,0.000
5,1004,0,0.00,16.75,0.72,12.08,0.000
6,1004,0,0.00,16.74,0.72,12.05,0.000
7,1006,0,0.00,16.74,0.72,12.11,0.000
8,1006,0,0.00,16.74,0.71,11.90,0.000
9,1008,0,0.00,16.74,0.72,12.10,0.000
10,1008,0,0.00,16.74,0.72,12.07,0.000
11,1010,0,0.00,16.74,0.72,12.07,0.000
12,1010,0,0.00,16.74,0.71,11.94,0.000
13,1012,0,0.00,16.74,0.72,12.05,0.000
14,1012,0,0.00,16.74,0.72,11.98,0.000
15,1014,0,0.00,16.74,0.73,12.27,0.000
16,1014,0,0.00,16.74,0.75,12.48,0.000
17,1016,0,0.00,16.74,0.75,12.61,0.000
18,1016,0,0.00,16.73,0.97,16.23,0.000
19,1018,0,0.00,16.73,1.27,21.30,0.000
20,1018,0,3.96,16.73,1.33,22.27,0.178
21,1020,0,7.49,16.73,1.25,20.97,0.357
22,1020,0,8.65,16.73,1.15,19.32,0.448
23,1022,0,9.71,16.73,1.07,17.82,0.545
24,1022,0,10.44,16.73,1.02,17.04,0.612
25,1024,0,10.92,16.73,1.01,16.93,0.645
26,1024,0,11.38,16.73,0.99,16.57,0.687
27,1026,0,12.21,16.74,0.96,16.02,0.762
28,1026,0,13.16,16.73,0.94,15.74,0.837
29,1028,0,13.66,16.73,0.92,15.42,0.886
30,1028,0,14.08,16.73,0.91,15.27,0.922
31,1030,0,14.12,16.74,0.91,15.18,0.931
32,1030,0,14.33,16.73,0.91,15.15,0.946
33,1032,0,14.37,16.73,0.90,15.05,0.955
34,1032,0,14.60,16.73,0.89,14.94,0.977
35,1034,0,14.94,16.74,0.89,14.93,1.001
36,1034,0,15.12,16.73,0.88,14.78,1.023
37,1036,0,15.34,16.73,0.89,14.83,1.034
38,1036,0,15.40,16.74,0.89,14.94,1.031
39,1038,0,15.96,16.73,0.89,14.96,1.067
40,1038,0,16.21,16.73,0.90,15.09,1.074
41,1040,0,16.24,16.73,0.90,15.03,1.081
42,1040,0,16.27,16.73,0.90,15.13,1.076
43,1042,0,16.43,16.73,0.90,15.01,1.095
44,1042,0,16.82,16.73,0.91,15.27,1.102
45,1044,0,16.94,16.73,0.90,15.12,1.121
46,1044,0,17.34,16.73,0.91,15.27,1.136
47,1046,0,17.43,16.73,0.91,15.26,1.142
48,1046,0,17.43,16.73,0.92,15.43,1.130
49,1048,0,17.59,16.73,0.91,15.25,1.153
50,1048,0,18.15,16.73,0.91,15.30,1.186
51,1050,0,18.37,16.73,0.93,15.52,1.183
52,1050,0,18.68,16.73,0.92,15.46,1.208
53,1052,0,19.13,16.73,0.92,15.45,1.238
54,1052,0,19.57,16.74,0.93,15.60,1.254
55,1054,0,19.81,16.73,0.94,15.68,1.264
56,1054,0,19.98,16.73,0.94,15.71,1.272
57,1056,0,20.30,16.73,0.93,15.60,1.301
58,1056,0,20.77,16.73,0.94,15.75,1.319
59,1058,0,21.02,16.73,0.94,15.69,1.340
60,1058,0,21.39,16.73,0.95,15.83,1.351
61,1060,0,21.65,16.73,0.96,15.99,1.354
62,1060,0,22.05,16.73,0.95,15.94,1.383
63,1062,0,22.34,16.73,0.96,16.06,1.391
64,1062,0,22.91,16.73,0.96,16.04,1.429
65,1064,0,23.26,16.73,0.96,16.02,1.452
66,1064,0,23.92,16.73,0.95,15.98,1.497
67,1066,0,24.63,16.73,0.96,16.09,1.531
68,1066,0,25.10,16.74,0.97,16.21,1.548
69,1068,0,25.44,16.73,0.96,16.12,1.578
70,1068,0,25.72,16.73,0.97,16.25,1.583
71,1070,0,26.06,16.73,0.98,16.32,1.597
72,1070,0,26.27,16.73,0.98,16.35,1.607
73,1072,0,26.85,16.74,0.98,16.36,1.641
74,1072,0,27.09,16.73,0.98,16.44,1.648
75,1074,0,27.49,16.73,0.99,16.58,1.658
76,1074,0,27.66,16.74,0.99,16.58,1.668
77,1076,0,27.77,16.74,1.00,16.74,1.660
78,1076,0,27.89,16.73,0.99,16.62,1.678
79,1078,0,28.30,16.73,1.00,16.68,1.697
80,1078,0,28.72,16.73,1.00,16.70,1.720
81,1080,0,28.71,16.73,0.99,16.60,1.730
82,1080,0,28.99,16.73,1.00,16.78,1.728
83,1082,0,29.51,16.73,1.00,16.71,1.766
84,1082,0,29.84,16.74,1.00,16.80,1.776
85,1084,0,29.91,16.73,1.01,16.98,1.762
86,1084,0,30.32,16.73,1.02,17.09,1.774
87,1086,0,30.40,16.73,1.02,17.00,1.788
88,1086,0,30.98,16.73,1.02,17.08,1.813
89,1088,0,31.31,16.73,1.03,17.23,1.817
90,1088,0,31.30,16.73,1.03,17.26,1.814
