seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.59,0.70,8.81,0.000
2,1000,0,0.00,12.59,0.70,8.85,0.000
3,1002,0,0.00,12.59,0.71,8.88,0.000
4,1002,0,0.00,12.59,0.70,8.87,0.000
5,1004,0,0.55,12.59,0.71,8.89,0.062
6,1004,0,0.57,12.59,0.70,8.85,0.065
7,1006,0,0.00,12.59,0.71,8.91,0.000
8,1006,0,0.00,12.59,0.71,8.89,0.000
9,1008,0,0.00,12.59,0.70,8.88,0.000
10,1008,0,0.59,12.59,0.70,8.86,0.067
11,1010,0,0.00,12.59,0.71,8.95,0.000
12,1010,0,0.00,12.59,0.70,8.82,0.000
13,1012,0,0.00,12.59,0.71,8.89,0.000
14,1012,0,0.00,12.59,0.70,8.82,0.000
15,1014,0,0.00,12.59,0.72,9.02,0.000
16,1014,0,0.00,12.59,0.72,9.07,0.000
17,1016,0,0.00,12.59,0.73,9.17,0.000
18,1016,0,0.00,12.58,0.82,10.34,0.000
19,1018,0,0.00,12.58,1.05,13.27,0.000
20,1018,0,3.42,12.58,1.14,14.30,0.239
21,1020,0,5.93,12.58,1.11,14.00,0.424
22,1020,0,6.66,12.58,1.04,13.06,0.510
23,1022,0,7.88,12.58,0.97,12.26,0.643
24,1022,0,8.41,12.58,0.93,11.70,0.718
25,1024,0,8.58,12.58,0.90,11.33,0.757
26,1024,0,8.59,12.59,0.90,11.27,0.762
27,1026,0,8.72,12.59,0.89,11.23,0.776
28,1026,0,9.16,12.59,0.88,11.07,0.828
29,1028,0,9.32,12.59,0.87,10.91,0.855
30,1028,0,9.69,12.58,0.86,10.85,0.892
31,1030,0,9.86,12.58,0.86,10.78,0.914
32,1030,0,10.39,12.59,0.85,10.72,0.969
33,1032,0,10.30,12.59,0.85,10.70,0.963
34,1032,0,10.32,12.59,0.84,10.55,0.977
35,1034,0,10.34,12.58,0.84,10.53,0.982
36,1034,0,10.63,12.58,0.83,10.46,1.017
37,1036,0,10.44,12.59,0.84,10.53,0.992
38,1036,0,10.15,12.58,0.84,10.58,0.959
39,1038,0,10.32,12.59,0.84,10.52,0.981
