seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.82,0.89,15.01,0.000
2,1000,0,0.00,16.83,0.90,15.06,0.000
3,1002,0,0.00,16.82,0.90,15.07,0.000
4,1002,0,0.00,16.83,0.90,15.13,0.000
5,1004,0,0.00,16.83,0.89,14.97,0.000
6,1004,0,0.00,16.83,0.90,15.19,0.000
7,1006,0,0.00,16.83,0.90,15.10,0.000
8,1006,0,0.00,16.82,0.90,15.09,0.000
9,1008,0,0.00,16.83,0.90,15.07,0.000
10,1008,0,0.00,16.83,0.89,15.03,0.000
11,1010,0,0.00,16.83,0.90,15.17,0.000
12,1010,0,0.00,16.83,0.89,15.02,0.000
13,1012,0,0.00,16.83,0.90,15.08,0.000
14,1012,0,0.00,16.82,0.89,15.03,0.000
15,1014,0,0.00,16.82,0.91,15.22,0.000
16,1014,0,0.00,16.81,0.91,15.28,0.000
17,1016,0,0.00,16.82,0.91,15.36,0.000
18,1016,0,0.00,16.80,1.27,21.29,0.000
19,1018,0,1.07,16.80,1.71,28.69,0.037
20,1018,0,5.60,16.80,1.67,28.03,0.200
21,1020,0,9.75,16.80,1.52,25.47,0.383
22,1020,0,12.53,16.81,1.39,23.32,0.537
23,1022,0,13.76,16.81,1.34,22.45,0.613
24,1022,0,14.16,16.81,1.30,21.79,0.650
25,1024,0,15.12,16.81,1.24,20.91,0.723
26,1024,0,16.20,16.81,1.21,20.29,0.798
27,1026,0,16.89,16.81,1.18,19.79,0.853
28,1026,0,17.53,16.81,1.16,19.56,0.896
29,1028,0,17.94,16.81,1.15,19.34,0.928
30,1028,0,18.04,16.81,1.17,19.62,0.920
31,1030,0,18.62,16.81,1.16,19.52,0.954
32,1030,0,18.34,16.81,1.16,19.54,0.939
33,1032,3797,18.92,16.81,1.17,19.63,0.964
34,1032,3848,19.09,16.81,1.15,19.32,0.988
35,1034,3891,19.25,16.81,1.16,19.43,0.990
36,1034,3925,19.52,16.81,1.16,19.49,1.002
37,1036,3960,19.77,16.81,1.16,19.54,1.011
38,1036,3994,20.51,16.81,1.16,19.52,1.051
39,1038,4020,21.01,16.81,1.17,19.60,1.071
40,1038,4045,21.41,16.81,1.18,19.86,1.078
41,1040,4080,21.62,16.81,1.18,19.75,1.095
42,1040,4097,21.92,16.81,1.18,19.77,1.109
43,1042,4131,21.87,16.81,1.18,19.87,1.100
44,1042,4165,21.88,16.81,1.20,20.20,1.083
45,1044,4200,22.06,16.81,1.20,20.18,1.093
46,1044,4234,22.61,16.81,1.20,20.14,1.122
47,1046,4268,22.64,16.81,1.20,20.24,1.119
48,1046,4311,22.56,16.81,1.21,20.39,1.107
49,1048,4345,23.20,16.81,1.21,20.30,1.143
50,1048,4380,24.04,16.80,1.22,20.44,1.176
51,1050,4405,24.77,16.81,1.22,20.47,1.210
52,1050,4440,25.65,16.81,1.22,20.56,1.247
53,1052,4482,26.16,16.81,1.23,20.61,1.269
54,1052,4517,27.00,16.81,1.24,20.80,1.298
55,1054,4551,27.16,16.81,1.24,20.88,1.301
56,1054,4594,27.38,16.81,1.23,20.72,1.322
57,1056,4628,27.63,16.81,1.23,20.68,1.336
58,1056,4662,27.71,16.80,1.24,20.90,1.326
59,1058,4688,28.14,16.81,1.25,20.95,1.343
60,1058,4714,28.57,16.81,1.26,21.19,1.348
61,1060,4748,28.72,16.81,1.25,21.04,1.365
62,1060,4782,29.51,16.81,1.25,21.02,1.403
63,1062,4817,29.50,16.80,1.26,21.14,1.395
64,1062,4860,29.76,16.81,1.28,21.55,1.381
65,1064,4894,30.14,16.81,1.27,21.38,1.410
66,1064,4920,30.09,16.81,1.28,21.45,1.403
67,1066,4954,30.55,16.81,1.27,21.42,1.426
68,1066,4980,30.30,16.81,1.28,21.53,1.407
69,1068,5022,30.79,16.81,1.30,21.80,1.412
70,1068,5048,30.91,16.81,1.30,21.85,1.415
71,1070,5091,31.20,16.80,1.29,21.76,1.434
72,1070,5117,31.85,16.81,1.31,21.95,1.451
73,1072,5151,31.93,16.81,1.30,21.78,1.466
