seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.846,0.890
2,1000,0,0.00,16.853,0.888
3,1002,0,0.00,16.847,0.894
4,1002,0,0.00,16.845,0.896
5,1004,0,0.00,16.848,0.889
6,1004,0,0.00,16.846,0.891
7,1006,0,0.00,16.845,0.898
8,1006,0,0.00,16.844,0.890
9,1008,0,0.00,16.846,0.906
10,1008,0,0.00,16.848,0.896
11,1010,0,0.00,16.852,0.892
12,1010,0,0.00,16.848,0.892
13,1012,0,0.00,16.848,0.901
14,1012,0,0.00,16.839,0.888
15,1014,0,0.00,16.839,0.903
16,1014,0,0.00,16.832,0.910
17,1016,0,0.00,16.835,0.909
18,1016,0,0.00,16.820,1.311
19,1018,0,0.00,16.812,1.755
20,1018,0,3.03,16.820,1.777
21,1020,0,5.31,16.819,1.636
22,1020,0,9.45,16.820,1.511
23,1022,0,9.99,16.819,1.403
24,1022,0,11.44,16.822,1.371
25,1024,0,13.11,16.827,1.353
26,1024,0,13.43,16.831,1.305
27,1026,0,16.00,16.828,1.270
28,1026,0,16.88,16.827,1.236
29,1028,0,17.64,16.828,1.212
30,1028,0,18.45,16.823,1.197
31,1030,0,18.69,16.825,1.199
32,1030,0,20.16,16.828,1.202
33,1032,0,21.20,16.829,1.187
34,1032,0,21.89,16.829,1.185
35,1034,0,22.94,16.829,1.191
36,1034,3831,23.09,16.827,1.190
37,1036,3874,23.27,16.824,1.177
38,1036,3917,23.08,16.828,1.191
39,1038,3951,22.26,16.826,1.186
40,1038,3977,22.50,16.824,1.200
41,1040,4011,22.77,16.824,1.196
42,1040,4037,22.59,16.826,1.214
43,1042,4071,23.40,16.827,1.194
44,1042,4105,24.73,16.825,1.212
45,1044,4131,25.12,16.827,1.207
46,1044,4165,25.06,16.825,1.216
47,1046,4200,25.58,16.826,1.209
48,1046,4225,26.72,16.825,1.236
49,1048,4260,26.28,16.827,1.238
50,1048,4285,26.05,16.822,1.233
51,1050,4311,26.67,16.825,1.243
52,1050,4354,27.07,16.825,1.250
53,1052,4388,27.81,16.825,1.246
54,1052,4422,27.79,16.825,1.272
55,1054,4457,27.87,16.825,1.259
56,1054,4491,28.16,16.822,1.270
57,1056,4525,28.00,16.827,1.270
