seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.70,0.89,11.24,0.000
2,1000,0,0.00,12.70,0.89,11.29,0.000
3,1002,0,0.00,12.70,0.89,11.30,0.000
4,1002,0,0.00,12.70,0.89,11.30,0.000
5,1004,0,0.00,12.70,0.89,11.25,0.000
6,1004,0,0.00,12.71,0.89,11.30,0.000
7,1006,0,0.00,12.70,0.89,11.26,0.000
8,1006,0,0.00,12.70,0.89,11.27,0.000
9,1008,0,0.00,12.70,0.89,11.31,0.000
10,1008,0,0.00,12.70,0.89,11.28,0.000
11,1010,0,0.00,12.70,0.89,11.25,0.000
12,1010,0,0.00,12.70,0.89,11.30,0.000
13,1012,0,0.00,12.70,0.89,11.36,0.000
14,1012,0,0.00,12.70,0.89,11.27,0.000
15,1014,0,0.00,12.69,0.89,11.32,0.000
16,1014,0,0.00,12.69,0.90,11.37,0.000
17,1016,0,0.00,12.69,0.90,11.38,0.000
18,1016,0,0.00,12.68,1.09,13.87,0.000
19,1018,0,0.00,12.68,1.50,19.06,0.000
20,1018,0,3.17,12.68,1.56,19.84,0.160
21,1020,0,5.24,12.68,1.50,19.06,0.275
22,1020,0,7.03,12.68,1.42,17.96,0.391
23,1022,0,8.38,12.68,1.33,16.88,0.497
24,1022,0,8.41,12.68,1.27,16.07,0.524
25,1024,0,9.07,12.68,1.26,15.95,0.568
26,1024,0,9.29,12.69,1.25,15.86,0.585
27,1026,0,9.91,12.69,1.22,15.49,0.640
28,1026,0,10.82,12.69,1.19,15.10,0.717
29,1028,0,11.34,12.69,1.17,14.85,0.764
30,1028,0,12.32,12.68,1.17,14.82,0.832
31,1030,0,12.77,12.68,1.15,14.61,0.874
32,1030,0,13.71,12.68,1.15,14.59,0.940
33,1032,0,13.98,12.69,1.14,14.49,0.965
34,1032,0,14.22,12.69,1.13,14.32,0.994
35,1034,0,14.68,12.69,1.12,14.23,1.031
36,1034,0,14.88,12.69,1.13,14.32,1.039
37,1036,0,14.50,12.69,1.13,14.30,1.014
38,1036,0,14.95,12.68,1.13,14.39,1.039
39,1038,0,15.03,12.68,1.13,14.33,1.049
40,1038,0,15.48,12.69,1.13,14.32,1.080
41,1040,0,15.54,12.69,1.13,14.39,1.079
42,1040,0,15.75,12.69,1.14,14.43,1.091
43,1042,0,16.40,12.69,1.14,14.46,1.134
44,1042,0,16.43,12.69,1.15,14.59,1.126
45,1044,0,16.25,12.69,1.15,14.57,1.115
46,1044,0,16.77,12.68,1.15,14.54,1.153
47,1046,0,16.82,12.69,1.15,14.59,1.153
48,1046,0,16.99,12.68,1.15,14.60,1.164
49,1048,0,17.14,12.68,1.15,14.64,1.171
50,1048,0,17.32,12.69,1.15,14.61,1.185
51,1050,0,18.09,12.69,1.16,14.68,1.232
52,1050,0,18.13,12.68,1.17,14.84,1.222
53,1052,0,18.46,12.68,1.17,14.85,1.244
54,1052,0,18.66,12.69,1.18,14.91,1.251
55,1054,0,18.46,12.69,1.18,14.94,1.235
56,1054,0,19.13,12.68,1.17,14.87,1.287
57,1056,0,19.08,12.68,1.17,14.88,1.283
58,1056,0,19.17,12.69,1.18,15.01,1.277
59,1058,0,19.61,12.69,1.18,15.03,1.305
60,1058,0,19.50,12.68,1.19,15.07,1.294
61,1060,0,20.26,12.69,1.20,15.17,1.335
