seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.847,0.901
2,1000,0,0.00,16.851,0.896
3,1002,0,0.00,16.852,0.904
4,1002,0,0.00,16.852,0.903
5,1004,0,0.00,16.850,0.901
6,1004,0,0.00,16.854,0.911
7,1006,0,0.00,16.849,0.902
8,1006,0,0.00,16.852,0.911
9,1008,0,0.00,16.850,0.903
10,1008,0,0.00,16.850,0.907
11,1010,0,0.00,16.853,0.901
12,1010,0,0.00,16.849,0.903
13,1012,0,0.00,16.851,0.900
14,1012,0,0.00,16.844,0.889
15,1014,0,0.00,16.838,0.905
16,1014,0,0.00,16.838,0.913
17,1016,0,0.00,16.836,0.926
18,1016,0,0.00,16.821,1.266
19,1018,0,0.00,16.824,1.789
20,1018,0,2.14,16.822,1.861
21,1020,0,4.56,16.828,1.735
22,1020,0,8.62,16.822,1.604
23,1022,0,9.27,16.827,1.483
24,1022,0,10.25,16.829,1.447
25,1024,0,11.82,16.830,1.408
26,1024,0,13.02,16.827,1.378
27,1026,0,14.60,16.827,1.325
28,1026,0,16.31,16.829,1.281
29,1028,0,17.11,16.827,1.263
30,1028,0,18.84,16.832,1.236
31,1030,0,19.42,16.830,1.233
32,1030,0,19.80,16.829,1.229
33,1032,0,20.37,16.831,1.233
34,1032,0,20.79,16.832,1.211
35,1034,0,21.36,16.830,1.210
36,1034,0,21.73,16.835,1.211
37,1036,3805,22.20,16.835,1.221
38,1036,3857,22.72,16.834,1.211
39,1038,3891,22.78,16.830,1.219
40,1038,3934,23.60,16.829,1.222
41,1040,3968,24.25,16.828,1.209
42,1040,3994,24.10,16.828,1.228
43,1042,4037,24.55,16.828,1.240
44,1042,4071,24.65,16.827,1.241
45,1044,4097,25.57,16.830,1.236
46,1044,4131,25.74,16.830,1.238
47,1046,4165,25.81,16.832,1.235
48,1046,4191,26.28,16.834,1.240
49,1048,4217,26.42,16.831,1.249
50,1048,4251,26.93,16.830,1.261
51,1050,4277,27.39,16.831,1.260
52,1050,4311,28.06,16.833,1.273
53,1052,4337,28.66,16.827,1.270
54,1052,4371,29.12,16.829,1.286
55,1054,4405,29.50,16.828,1.290
56,1054,4448,30.32,16.829,1.291
57,1056,4482,30.07,16.830,1.293
58,1056,4517,31.07,16.831,1.314
59,1058,4560,31.21,16.831,1.327
60,1058,4602,31.67,16.832,1.319
61,1060,4637,32.42,16.828,1.322
62,1060,4671,32.42,16.830,1.310
63,1062,4714,32.64,16.828,1.335
64,1062,4740,33.20,16.829,1.332
