seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.63,0.89,11.22,0.000
2,1000,0,0.00,12.64,0.89,11.22,0.000
3,1002,0,0.00,12.64,0.90,11.33,0.000
4,1002,0,0.00,12.63,0.89,11.24,0.000
5,1004,0,0.00,12.64,0.89,11.23,0.000
6,1004,0,0.00,12.64,0.89,11.27,0.000
7,1006,0,0.00,12.64,0.89,11.30,0.000
8,1006,0,0.00,12.64,0.89,11.23,0.000
9,1008,0,0.00,12.64,0.88,11.13,0.000
10,1008,0,0.00,12.64,0.88,11.17,0.000
11,1010,0,0.00,12.64,0.89,11.26,0.000
12,1010,0,0.00,12.64,0.89,11.23,0.000
13,1012,0,0.00,12.64,0.89,11.21,0.000
14,1012,0,0.00,12.63,0.89,11.20,0.000
15,1014,0,0.00,12.63,0.89,11.30,0.000
16,1014,0,0.00,12.63,0.90,11.35,0.000
17,1016,0,0.00,12.63,0.90,11.39,0.000
18,1016,0,0.00,12.62,1.14,14.39,0.000
19,1018,0,0.00,12.62,1.53,19.32,0.000
20,1018,0,3.49,12.62,1.56,19.69,0.177
21,1020,0,5.07,12.62,1.47,18.57,0.273
22,1020,0,6.11,12.62,1.39,17.54,0.348
23,1022,0,6.93,12.62,1.29,16.35,0.424
24,1022,0,7.50,12.62,1.23,15.56,0.482
25,1024,0,7.86,12.62,1.23,15.52,0.506
26,1024,0,8.16,12.62,1.22,15.33,0.532
27,1026,0,8.73,12.62,1.19,15.04,0.581
28,1026,0,9.00,12.62,1.17,14.76,0.610
29,1028,0,9.27,12.62,1.15,14.54,0.637
30,1028,0,9.88,12.62,1.15,14.49,0.682
31,1030,0,10.18,12.62,1.13,14.26,0.714
32,1030,0,10.24,12.62,1.14,14.35,0.714
33,1032,0,10.90,12.62,1.12,14.18,0.769
34,1032,0,11.42,12.62,1.11,14.02,0.815
35,1034,0,11.39,12.62,1.11,14.05,0.810
36,1034,0,11.29,12.62,1.12,14.09,0.801
37,1036,0,11.51,12.62,1.11,14.06,0.818
38,1036,0,11.62,12.62,1.13,14.21,0.818
39,1038,0,11.84,12.62,1.13,14.21,0.833
40,1038,0,11.88,12.62,1.12,14.17,0.839
41,1040,0,11.88,12.62,1.12,14.17,0.839
42,1040,0,12.01,12.62,1.13,14.33,0.838
43,1042,0,12.10,12.62,1.13,14.30,0.846
44,1042,0,12.52,12.62,1.14,14.42,0.868
45,1044,0,12.66,12.62,1.14,14.44,0.877
46,1044,0,12.67,12.62,1.14,14.39,0.880
47,1046,0,12.63,12.62,1.14,14.38,0.878
48,1046,0,12.76,12.62,1.15,14.56,0.876
49,1048,0,12.55,12.62,1.15,14.57,0.862
50,1048,0,12.79,12.62,1.15,14.51,0.882
51,1050,0,13.47,12.62,1.16,14.59,0.923
52,1050,0,13.63,12.62,1.16,14.66,0.930
53,1052,0,13.79,12.62,1.17,14.71,0.938
54,1052,0,13.71,12.62,1.17,14.77,0.928
55,1054,0,13.83,12.62,1.17,14.74,0.938
56,1054,0,13.84,12.62,1.16,14.70,0.941
57,1056,0,13.95,12.62,1.17,14.74,0.946
58,1056,0,14.28,12.62,1.17,14.78,0.966
59,1058,0,14.38,12.62,1.17,14.76,0.974
60,1058,0,14.39,12.62,1.18,14.94,0.963
61,1060,0,14.75,12.62,1.19,15.06,0.979
62,1060,0,14.84,12.62,1.19,15.00,0.989
63,1062,0,15.02,12.62,1.18,14.92,1.006
64,1062,0,15.31,12.62,1.19,14.99,1.021
65,1064,0,15.34,12.62,1.20,15.14,1.014
66,1064,0,15.30,12.62,1.20,15.20,1.007
67,1066,0,15.66,12.62,1.20,15.10,1.037
68,1066,0,15.55,12.62,1.19,15.02,1.035
69,1068,0,15.98,12.62,1.19,15.08,1.059
70,1068,3668,16.20,12.62,1.21,15.32,1.057
71,1070,3694,16.53,12.62,1.21,15.24,1.085
72,1070,3711,16.85,12.63,1.22,15.38,1.095
73,1072,3728,16.95,12.62,1.21,15.28,1.109
74,1072,3754,17.25,12.62,1.23,15.48,1.114
75,1074,3771,17.27,12.63,1.22,15.44,1.118
76,1074,3797,17.77,12.62,1.23,15.54,1.143
77,1076,3822,17.77,12.62,1.23,15.58,1.141
78,1076,3848,17.94,12.62,1.24,15.67,1.145
79,1078,3874,18.26,12.62,1.23,15.55,1.175
80,1078,3891,18.61,12.62,1.23,15.55,1.196
81,1080,3917,18.86,12.62,1.23,15.59,1.210
82,1080,3942,18.84,12.62,1.24,15.69,1.201
83,1082,3960,19.25,12.62,1.25,15.80,1.218
84,1082,3985,19.39,12.62,1.24,15.67,1.237
85,1084,4002,19.57,12.62,1.24,15.67,1.249
86,1084,4028,19.62,12.62,1.24,15.69,1.250
87,1086,4054,20.01,12.62,1.26,15.91,1.258
88,1086,4071,19.96,12.62,1.27,15.97,1.250
89,1088,4088,19.74,12.62,1.26,15.96,1.237
90,1088,4105,20.87,12.62,1.27,16.02,1.302
91,1090,4131,21.14,12.62,1.27,16.06,1.317
92,1090,4148,21.43,12.62,1.28,16.17,1.325
93,1092,4165,21.27,12.62,1.29,16.23,1.310
94,1092,4191,21.41,12.62,1.29,16.31,1.312
95,1094,4217,21.92,12.62,1.29,16.25,1.349
96,1094,4242,22.34,12.62,1.29,16.33,1.368
97,1096,4268,22.97,12.62,1.30,16.42,1.399
98,1096,4294,23.73,12.62,1.31,16.49,1.439
99,1098,4328,24.04,12.62,1.30,16.46,1.461
100,1098,4354,24.49,12.62,1.30,16.46,1.488
101,1100,4380,24.60,12.62,1.31,16.49,1.492
102,1100,4405,25.14,12.62,1.32,16.67,1.508
103,1102,4431,25.47,12.62,1.32,16.71,1.524
104,1102,4448,25.66,12.62,1.33,16.76,1.531
105,1104,4474,25.90,12.62,1.33,16.74,1.546
106,1104,4500,26.21,12.62,1.34,16.89,1.551
107,1106,4517,26.77,12.62,1.33,16.81,1.592
108,1106,4542,27.07,12.62,1.35,17.00,1.592
109,1108,4577,27.44,12.62,1.36,17.20,1.595
110,1108,4602,27.47,12.62,1.34,16.96,1.620
111,1110,4628,27.91,12.62,1.35,17.09,1.633
112,1110,4654,27.96,12.62,1.36,17.11,1.634
113,1112,4680,28.18,12.62,1.36,17.18,1.640
114,1112,4705,28.49,12.62,1.36,17.19,1.657
115,1114,4731,28.47,12.62,1.37,17.30,1.646
116,1114,4757,28.38,12.62,1.37,17.28,1.643
117,1116,4774,28.65,12.62,1.39,17.51,1.636
118,1116,4800,29.55,12.62,1.40,17.68,1.671
119,1118,4834,30.54,12.62,1.40,17.68,1.727
120,1118,4860,30.91,12.62,1.41,17.75,1.741
121,1120,4885,31.15,12.62,1.41,17.79,1.751
122,1120,4920,31.46,12.62,1.40,17.73,1.775
123,1122,4937,31.61,12.62,1.40,17.64,1.792
124,1122,4962,31.72,12.62,1.41,17.82,1.780
125,1124,4988,31.25,12.62,1.41,17.80,1.756
126,1124,5014,31.29,12.62,1.41,17.82,1.756
127,1126,5031,31.34,12.62,1.41,17.81,1.760
128,1126,5057,32.12,12.62,1.44,18.12,1.773
129,1128,5082,32.65,12.62,1.43,18.06,1.808
130,1128,5108,33.26,12.62,1.45,18.27,1.821
131,1130,5134,34.08,12.62,1.44,18.16,1.876
132,1130,5160,34.53,12.62,1.44,18.13,1.905
133,1132,5185,34.34,12.62,1.43,18.08,1.899
134,1132,5211,34.04,12.62,1.44,18.22,1.868
135,1134,5228,33.59,12.62,1.45,18.26,1.839
136,1134,5254,33.20,12.62,1.45,18.34,1.810
137,1136,5271,33.33,12.62,1.46,18.38,1.813
138,1136,5297,33.69,12.62,1.47,18.49,1.822
139,1138,5314,35.50,12.62,1.46,18.48,1.921
140,1138,5331,36.01,12.62,1.47,18.60,1.936
141,1140,5357,36.83,12.62,1.48,18.64,1.975
142,1140,5382,36.46,12.62,1.47,18.57,1.964
143,1142,5408,36.37,12.62,1.50,18.94,1.920
144,1142,5434,35.89,12.62,1.49,18.86,1.903
145,1144,5460,35.84,12.62,1.49,18.80,1.907
146,1144,5485,35.39,12.62,1.50,18.89,1.873
147,1146,5511,36.03,12.62,1.50,19.00,1.897
148,1146,5537,36.98,12.62,1.52,19.13,1.933
149,1148,5545,37.86,12.62,1.51,19.01,1.992
150,1148,5571,38.09,12.62,1.52,19.24,1.980
151,1150,5597,38.33,12.62,1.53,19.36,1.979
152,1150,5622,38.47,12.62,1.54,19.48,1.974
153,1152,5648,38.80,12.62,1.54,19.44,1.996
154,1152,5674,39.36,12.62,1.53,19.35,2.034
155,1154,5700,39.62,12.62,1.54,19.44,2.038
156,1154,5725,39.31,12.62,1.55,19.59,2.007
157,1156,5742,39.10,12.62,1.55,19.59,1.996
158,1156,5768,39.19,12.62,1.55,19.60,2.000
159,1158,5785,39.51,12.62,1.56,19.67,2.008
160,1158,5811,40.52,12.62,1.57,19.78,2.049
161,1160,5837,41.34,12.62,1.58,19.90,2.078
162,1160,5854,41.97,12.62,1.58,19.99,2.100
163,1162,5880,41.59,12.62,1.57,19.85,2.095
164,1162,5905,41.22,12.62,1.58,19.95,2.066
165,1164,5931,41.03,12.62,1.59,20.07,2.044
166,1164,5957,41.61,12.62,1.60,20.15,2.065
167,1166,5974,43.70,12.62,1.61,20.29,2.154
168,1166,6000,45.16,12.62,1.61,20.33,2.221
169,1168,6025,45.52,12.62,1.62,20.44,2.227
170,1168,6051,45.37,12.62,1.61,20.33,2.232
171,1170,6068,44.61,12.62,1.62,20.48,2.178
172,1170,6094,43.61,12.62,1.62,20.47,2.131
173,1172,6120,42.90,12.62,1.61,20.31,2.112
174,1172,6145,44.25,12.62,1.63,20.56,2.152
175,1174,6162,45.81,12.62,1.63,20.60,2.224
176,1174,6188,46.81,12.62,1.65,20.81,2.249
177,1176,6205,47.76,12.62,1.66,20.95,2.279
178,1176,6222,48.14,12.62,1.66,20.98,2.295
179,1178,6248,47.72,12.62,1.66,20.95,2.277
180,1178,6274,46.85,12.62,1.66,20.99,2.233
181,1180,6300,46.41,12.62,1.66,20.92,2.218
182,1180,6325,46.38,12.62,1.69,21.33,2.175
183,1182,6342,47.81,12.62,1.67,21.09,2.267
184,1182,6368,49.03,12.62,1.67,21.03,2.332
185,1184,6394,49.70,12.62,1.67,21.13,2.352
186,1184,6402,50.43,12.62,1.68,21.23,2.376
187,1186,6420,50.58,12.62,1.68,21.25,2.380
188,1186,6437,49.77,12.62,1.70,21.42,2.323
189,1188,6454,49.24,12.62,1.70,21.42,2.299
190,1188,6471,48.92,12.62,1.71,21.57,2.269
191,1190,6497,49.06,12.62,1.70,21.45,2.288
192,1190,6514,50.19,12.62,1.69,21.37,2.348
193,1192,6531,51.64,12.62,1.71,21.56,2.395
194,1192,6548,52.28,12.62,1.72,21.65,2.414
195,1194,6565,52.30,12.62,1.70,21.47,2.436
196,1194,6574,52.27,12.62,1.71,21.54,2.427
197,1196,6582,51.45,12.62,1.71,21.62,2.380
198,1196,6591,50.93,12.62,1.71,21.64,2.354
199,1198,6608,50.99,12.62,1.73,21.83,2.336
200,1198,6625,51.38,12.62,1.75,22.10,2.324
201,1200,6651,52.69,12.62,1.74,21.96,2.399
202,1200,6668,53.72,12.62,1.73,21.85,2.459
203,1202,6677,54.13,12.61,1.75,22.09,2.451
204,1202,6702,53.91,12.62,1.76,22.17,2.431
205,1204,6720,53.47,12.62,1.76,22.27,2.401
206,1204,6745,53.42,12.61,1.77,22.36,2.389
207,1206,6771,53.87,12.62,1.79,22.54,2.390
208,1206,6788,54.18,12.62,1.77,22.29,2.431
209,1208,6805,55.38,12.62,1.77,22.29,2.484
210,1208,6822,55.73,12.62,1.77,22.35,2.493
211,1210,6840,56.58,12.62,1.78,22.52,2.512
212,1210,6857,56.80,12.62,1.81,22.80,2.491
213,1212,6882,55.95,12.62,1.80,22.70,2.465
214,1212,6908,55.58,12.62,1.81,22.80,2.438
215,1214,6925,55.87,12.61,1.81,22.89,2.440
216,1214,6951,56.65,12.62,1.82,22.93,2.470
217,1216,6977,57.13,12.62,1.82,23.02,2.482
218,1216,6994,57.77,12.61,1.84,23.15,2.495
219,1218,7020,59.48,12.61,1.82,22.99,2.587
220,1218,7037,59.18,12.62,1.85,23.31,2.539
221,1220,7054,58.49,12.62,1.85,23.36,2.504
222,1220,7080,57.95,12.62,1.86,23.47,2.470
223,1222,7114,58.19,12.62,1.86,23.43,2.483
224,1222,7131,59.56,12.62,1.85,23.38,2.547
225,1224,7148,60.02,12.62,1.86,23.48,2.556
226,1224,7174,61.19,12.61,1.89,23.79,2.572
227,1226,7200,61.46,12.62,1.88,23.75,2.588
228,1226,7217,61.14,12.62,1.89,23.84,2.564
229,1228,7242,60.85,12.62,1.90,23.92,2.544
230,1228,7268,60.88,12.62,1.90,23.93,2.544
231,1230,7285,61.34,12.62,1.88,23.68,2.590
232,1230,7320,62.13,12.62,1.86,23.53,2.641
233,1232,7345,63.75,12.62,1.88,23.72,2.687
234,1232,7362,64.37,12.61,1.88,23.74,2.711
235,1234,7380,64.27,12.62,1.92,24.25,2.650
236,1234,7405,63.44,12.62,1.95,24.55,2.584
237,1236,7431,63.13,12.61,1.96,24.78,2.548
238,1236,7448,64.13,12.62,1.96,24.77,2.589
239,1238,7474,65.31,12.62,1.95,24.61,2.653
240,1238,7500,66.89,12.62,1.97,24.82,2.695
241,1240,7525,67.19,12.62,1.97,24.82,2.707
242,1240,7551,67.23,12.62,1.97,24.87,2.704
243,1242,7568,66.66,12.61,1.98,24.97,2.670
244,1242,7594,66.48,12.62,1.99,25.11,2.648
245,1244,7611,67.41,12.62,2.02,25.50,2.643
246,1244,7645,68.22,12.61,2.03,25.58,2.667
247,1246,7671,70.12,12.62,2.01,25.37,2.764
248,1246,7688,70.34,12.62,2.01,25.33,2.777
249,1248,7714,70.02,12.62,2.02,25.44,2.752
250,1248,7740,69.65,12.62,2.03,25.63,2.718
251,1250,7757,70.12,12.62,2.04,25.73,2.725
252,1250,7782,71.82,12.62,2.04,25.70,2.795
253,1252,7808,71.75,12.61,2.03,25.54,2.809
254,1252,7825,72.29,12.61,2.02,25.46,2.840
255,1254,7842,72.69,12.61,2.05,25.90,2.806
256,1254,7860,72.75,12.62,2.06,25.99,2.799
257,1256,7885,73.14,12.62,2.05,25.87,2.827
258,1256,7902,73.78,12.62,2.08,26.27,2.808
259,1258,7928,74.16,12.62,2.09,26.31,2.819
260,1258,7962,74.44,12.61,2.10,26.45,2.815
261,1260,7980,75.16,12.62,2.07,26.11,2.878
262,1260,7988,75.33,12.62,2.13,26.83,2.808
263,1262,8014,75.56,12.62,2.14,26.96,2.802
264,1262,8040,76.64,12.62,2.12,26.73,2.867
265,1264,8074,77.68,12.61,2.12,26.70,2.909
266,1264,8100,78.48,12.61,2.12,26.75,2.934
267,1266,8117,78.50,12.62,2.12,26.70,2.941
268,1266,8134,78.91,12.61,2.11,26.64,2.962
269,1268,8151,78.75,12.62,2.12,26.73,2.946
270,1268,8177,78.94,12.62,2.12,26.78,2.947
271,1270,8177,79.15,12.61,2.11,26.60,2.975
272,1270,8194,79.98,12.62,2.15,27.09,2.953
273,1272,8220,80.84,12.61,2.17,27.42,2.949
274,1272,8254,81.28,12.62,2.20,27.70,2.935
275,1274,8280,82.23,12.61,2.19,27.68,2.971
276,1274,8314,82.50,12.61,2.20,27.72,2.976
277,1276,8340,82.73,12.62,2.18,27.50,3.009
278,1276,8365,83.13,12.61,2.20,27.75,2.996
279,1278,8382,83.71,12.62,2.21,27.88,3.003
280,1278,8408,84.92,12.61,2.21,27.82,3.053
281,1280,8425,85.25,12.62,2.21,27.89,3.057
282,1280,8451,86.02,12.61,2.29,28.84,2.982
283,1282,8468,86.48,12.62,2.25,28.32,3.054
284,1282,8485,87.44,12.61,2.21,27.94,3.130
285,1284,8511,87.62,12.61,2.25,28.34,3.092
286,1284,8537,87.71,12.62,2.24,28.31,3.098
287,1286,8545,87.96,12.61,2.25,28.38,3.099
288,1286,8571,88.14,12.62,2.29,28.83,3.057
289,1288,8597,88.40,12.61,2.29,28.86,3.063
290,1288,8622,88.48,12.61,2.28,28.73,3.079
291,1290,8640,88.35,12.61,2.28,28.81,3.067
292,1290,8657,88.78,12.61,2.29,28.94,3.067
293,1292,8682,88.94,12.61,2.30,29.02,3.065
294,1292,8708,89.97,12.61,2.30,29.04,3.099
295,1294,8734,90.09,12.61,2.33,29.35,3.070
296,1294,8751,90.97,12.62,2.34,29.56,3.077
297,1296,8777,91.67,12.61,2.33,29.45,3.113
298,1296,8802,92.06,12.61,2.36,29.73,3.096
299,1298,8828,92.53,12.62,2.38,30.04,3.080
300,1298,8854,93.25,12.61,2.38,30.02,3.107
301,1300,8871,94.59,12.61,2.37,29.94,3.159
302,1300,8905,95.05,12.61,2.40,30.30,3.137
303,1302,8922,95.39,12.61,2.41,30.40,3.138
304,1302,8957,95.77,12.61,2.43,30.71,3.119
305,1304,9000,96.21,12.62,2.42,30.48,3.156
306,1304,9042,96.98,12.61,2.44,30.76,3.153
307,1306,9077,97.56,12.61,2.46,31.03,3.144
308,1306,9102,98.27,12.61,2.48,31.32,3.138
309,1308,9128,99.22,12.61,2.48,31.26,3.174
310,1308,9154,100.36,12.61,2.47,31.16,3.221
311,1310,9171,101.11,12.61,2.49,31.38,3.222
312,1310,9188,101.47,12.61,2.49,31.40,3.231
313,1312,9214,101.84,12.61,2.51,31.70,3.212
314,1312,9248,102.34,12.61,2.55,32.13,3.186
315,1314,9274,102.81,12.61,2.54,32.08,3.205
316,1314,9308,103.40,12.61,2.54,31.99,3.232
317,1316,9334,104.56,12.61,2.54,32.08,3.259
318,1316,9368,105.22,12.61,2.56,32.27,3.260
319,1318,9385,105.62,12.61,2.56,32.33,3.266
320,1318,9402,106.03,12.61,2.58,32.50,3.263
321,1320,9420,106.96,12.61,2.58,32.48,3.293
322,1320,9445,107.30,12.61,2.58,32.59,3.292
323,1322,9471,107.33,12.61,2.60,32.76,3.276
324,1322,9505,108.36,12.61,2.60,32.84,3.299
325,1324,9540,109.22,12.61,2.64,33.29,3.281
326,1324,9548,109.84,12.61,2.60,32.76,3.353
