seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.65,0.92,11.65,0.000
2,1000,0,0.00,12.65,0.92,11.60,0.000
3,1002,0,0.00,12.66,0.91,11.57,0.000
4,1002,0,0.00,12.66,0.91,11.57,0.000
5,1004,0,0.00,12.65,0.92,11.58,0.000
6,1004,0,0.00,12.66,0.92,11.66,0.000
7,1006,0,0.00,12.65,0.92,11.58,0.000
8,1006,0,0.00,12.65,0.92,11.66,0.000
9,1008,0,0.00,12.65,0.93,11.71,0.000
10,1008,0,0.00,12.66,0.92,11.67,0.000
11,1010,0,0.00,12.66,0.92,11.59,0.000
12,1010,0,0.00,12.66,0.92,11.62,0.000
13,1012,0,0.00,12.66,0.92,11.63,0.000
14,1012,0,0.00,12.65,0.91,11.50,0.000
15,1014,0,0.00,12.65,0.92,11.65,0.000
16,1014,0,0.00,12.65,0.92,11.69,0.000
17,1016,0,0.00,12.65,0.93,11.72,0.000
18,1016,0,0.00,12.64,1.17,14.73,0.000
19,1018,0,0.00,12.64,1.62,20.53,0.000
20,1018,0,4.67,12.64,1.73,21.92,0.213
21,1020,0,8.62,12.64,1.67,21.07,0.409
22,1020,0,11.27,12.64,1.55,19.61,0.575
23,1022,0,12.96,12.64,1.45,18.36,0.706
24,1022,0,13.95,12.63,1.37,17.27,0.808
25,1024,0,14.54,12.64,1.31,16.62,0.875
26,1024,0,15.01,12.64,1.30,16.40,0.915
27,1026,0,15.21,12.64,1.29,16.29,0.934
28,1026,0,15.46,12.64,1.28,16.17,0.956
29,1028,0,16.34,12.64,1.25,15.79,1.035
30,1028,0,18.14,12.64,1.23,15.51,1.169
31,1030,0,18.36,12.64,1.21,15.26,1.203
32,1030,0,19.43,12.64,1.20,15.21,1.277
33,1032,0,19.98,12.64,1.20,15.10,1.323
34,1032,0,20.60,12.64,1.19,15.00,1.373
35,1034,0,20.22,12.64,1.18,14.85,1.361
36,1034,0,20.52,12.64,1.18,14.86,1.381
37,1036,0,20.91,12.64,1.19,15.00,1.394
38,1036,0,20.83,12.64,1.19,14.99,1.390
39,1038,0,21.32,12.64,1.18,14.86,1.434
40,1038,0,21.05,12.64,1.17,14.81,1.421
41,1040,0,21.00,12.64,1.17,14.83,1.416
42,1040,0,20.82,12.64,1.19,14.98,1.390
43,1042,0,20.98,12.64,1.18,14.95,1.403
44,1042,0,20.86,12.64,1.20,15.12,1.380
45,1044,0,21.20,12.64,1.20,15.18,1.397
46,1044,0,21.27,12.64,1.19,15.02,1.416
47,1046,0,21.48,12.64,1.19,15.09,1.423
48,1046,0,21.65,12.64,1.20,15.21,1.424
49,1048,0,21.80,12.64,1.20,15.19,1.436
50,1048,0,22.20,12.64,1.21,15.26,1.455
51,1050,0,22.49,12.64,1.22,15.39,1.462
52,1050,0,22.94,12.64,1.21,15.32,1.497
53,1052,0,22.87,12.64,1.22,15.36,1.489
54,1052,0,23.49,12.64,1.22,15.47,1.519
55,1054,0,23.43,12.64,1.23,15.57,1.505
