seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.847,0.932
2,1000,0,0.00,16.852,0.933
3,1002,0,0.00,16.847,0.936
4,1002,0,0.00,16.846,0.924
5,1004,0,0.00,16.859,0.924
6,1004,0,0.00,16.850,0.927
7,1006,0,0.00,16.849,0.930
8,1006,0,0.00,16.847,0.936
9,1008,0,0.00,16.849,0.930
10,1008,0,0.00,16.850,0.927
11,1010,0,0.00,16.849,0.944
12,1010,0,0.00,16.849,0.942
13,1012,0,0.00,16.852,0.933
14,1012,0,0.00,16.841,0.919
15,1014,0,0.00,16.841,0.938
16,1014,0,0.00,16.840,0.946
17,1016,0,0.00,16.833,0.946
18,1016,0,0.00,16.824,1.285
19,1018,0,3.14,16.814,1.982
20,1018,0,9.11,16.811,2.276
21,1020,0,11.38,16.811,2.210
22,1020,0,11.43,16.816,2.030
23,1022,0,12.63,16.817,1.826
24,1022,0,14.85,16.821,1.680
25,1024,0,16.05,16.817,1.540
26,1024,0,18.36,16.819,1.535
27,1026,0,19.06,16.823,1.501
28,1026,0,21.59,16.823,1.439
29,1028,0,23.53,16.824,1.386
30,1028,0,24.36,16.825,1.365
31,1030,0,25.81,16.824,1.332
32,1030,0,27.19,16.825,1.317
33,1032,0,27.92,16.829,1.293
34,1032,0,29.94,16.827,1.289
35,1034,0,29.28,16.825,1.285
36,1034,0,30.26,16.827,1.278
37,1036,0,31.09,16.827,1.281
38,1036,0,31.16,16.827,1.272
39,1038,3814,31.84,16.825,1.254
40,1038,3865,31.93,16.828,1.271
41,1040,3900,33.53,16.824,1.277
42,1040,3942,34.26,16.825,1.288
43,1042,3977,33.97,16.830,1.274
44,1042,4011,34.74,16.824,1.281
45,1044,4037,35.24,16.828,1.293
46,1044,4071,35.37,16.827,1.290
47,1046,4097,36.32,16.834,1.285
48,1046,4131,36.30,16.824,1.294
49,1048,4157,36.45,16.826,1.294
50,1048,4191,36.46,16.823,1.306
51,1050,4225,36.54,16.826,1.317
52,1050,4251,38.18,16.825,1.326
53,1052,4277,37.54,16.824,1.338
54,1052,4311,37.25,16.825,1.343
55,1054,4354,39.24,16.827,1.341
56,1054,4380,39.94,16.829,1.345
57,1056,4422,41.20,16.824,1.350
58,1056,4448,42.00,16.826,1.351
59,1058,4491,42.36,16.825,1.377
60,1058,4525,43.11,16.823,1.380
61,1060,4568,42.47,16.824,1.390
62,1060,4594,42.22,16.825,1.380
63,1062,4628,44.54,16.823,1.367
64,1062,4662,44.90,16.824,1.387
65,1064,4697,45.21,16.825,1.374
66,1064,4714,44.65,16.826,1.390
67,1066,4748,45.14,16.823,1.394
68,1066,4774,46.17,16.825,1.402
69,1068,4808,46.73,16.825,1.406
70,1068,4834,48.44,16.822,1.415
71,1070,4860,47.95,16.821,1.424
72,1070,4894,47.96,16.821,1.417
73,1072,4920,48.61,16.822,1.439
74,1072,4954,48.92,16.824,1.448
75,1074,4988,49.43,16.820,1.432
76,1074,5014,49.84,16.823,1.459
77,1076,5048,50.62,16.825,1.476
78,1076,5082,52.42,16.821,1.463
79,1078,5117,53.50,16.822,1.464
80,1078,5142,53.86,16.826,1.456
81,1080,5177,54.33,16.825,1.465
82,1080,5202,53.91,16.821,1.513
83,1082,5228,53.52,16.823,1.510
84,1082,5262,54.00,16.822,1.514
85,1084,5297,55.56,16.824,1.515
86,1084,5331,56.98,16.824,1.530
87,1086,5365,57.56,16.822,1.517
88,1086,5400,58.49,16.825,1.522
89,1088,5425,58.59,16.820,1.508
90,1088,5451,57.76,16.821,1.540
91,1090,5477,57.95,16.821,1.542
92,1090,5502,58.85,16.817,1.552
93,1092,5528,60.46,16.824,1.558
94,1092,5562,60.79,16.818,1.555
95,1094,5597,60.93,16.825,1.577
96,1094,5631,61.67,16.821,1.578
97,1096,5665,61.87,16.819,1.576
98,1096,5682,61.80,16.822,1.582
99,1098,5717,63.18,16.818,1.563
100,1098,5742,64.05,16.816,1.592
101,1100,5768,64.81,16.820,1.585
102,1100,5794,64.23,16.819,1.620
103,1102,5811,63.57,16.824,1.601
104,1102,5845,64.45,16.821,1.599
105,1104,5871,64.94,16.821,1.617
106,1104,5897,69.19,16.818,1.641
107,1106,5922,69.45,16.819,1.649
108,1106,5957,69.52,16.821,1.673
109,1108,5991,69.49,16.819,1.665
110,1108,6017,68.39,16.819,1.664
111,1110,6042,68.61,16.822,1.654
112,1110,6068,70.40,16.817,1.669
113,1112,6094,72.37,16.821,1.664
114,1112,6120,73.24,16.815,1.694
115,1114,6145,72.69,16.815,1.705
116,1114,6180,72.66,16.813,1.713
117,1116,6205,73.01,16.819,1.722
118,1116,6240,73.02,16.821,1.733
119,1118,6265,73.82,16.819,1.729
120,1118,6300,75.89,16.815,1.736
121,1120,6334,77.06,16.815,1.756
122,1120,6360,78.19,16.811,1.750
123,1122,6385,78.20,16.815,1.761
124,1122,6420,78.26,16.818,1.778
125,1124,6437,78.22,16.817,1.768
126,1124,6471,78.18,16.818,1.754
127,1126,6497,80.66,16.816,1.773
128,1126,6531,81.10,16.816,1.798
129,1128,6548,82.49,16.813,1.810
130,1128,6582,83.33,16.812,1.823
131,1130,6608,82.93,16.815,1.814
132,1130,6634,82.61,16.813,1.803
133,1132,6660,82.54,16.817,1.797
134,1132,6668,83.16,16.813,1.795
135,1134,6685,84.37,16.813,1.800
136,1134,6711,85.52,16.812,1.812
137,1136,6720,86.66,16.811,1.821
138,1136,6745,87.33,16.814,1.833
139,1138,6771,86.30,16.808,1.858
140,1138,6788,85.49,16.814,1.859
141,1140,6814,87.41,16.814,1.852
142,1140,6840,88.11,16.810,1.848
143,1142,6857,90.01,16.814,1.855
144,1142,6882,91.19,16.811,1.872
145,1144,6900,92.08,16.813,1.910
146,1144,6925,91.59,16.814,1.913
147,1146,6960,90.62,16.812,1.909
148,1146,6985,92.47,16.814,1.906
149,1148,7011,93.45,16.813,1.915
150,1148,7037,95.05,16.811,1.931
151,1150,7054,96.32,16.811,1.933
152,1150,7080,96.47,16.811,1.935
153,1152,7105,96.35,16.812,1.939
154,1152,7131,95.61,16.813,1.943
155,1154,7157,97.46,16.813,1.926
156,1154,7174,98.68,16.808,1.950
157,1156,7191,100.17,16.809,1.966
158,1156,7217,101.44,16.811,1.986
159,1158,7242,101.37,16.812,2.021
160,1158,7277,100.95,16.809,2.007
161,1160,7311,101.97,16.813,2.007
162,1160,7337,102.59,16.812,2.026
163,1162,7362,104.59,16.808,2.044
164,1162,7397,105.58,16.810,2.050
165,1164,7422,106.18,16.808,2.057
166,1164,7457,107.52,16.810,2.063
167,1166,7482,107.14,16.812,2.059
168,1166,7508,107.19,16.812,2.092
169,1168,7542,109.28,16.810,2.085
170,1168,7568,110.52,16.809,2.093
171,1170,7602,112.23,16.814,2.140
172,1170,7628,113.17,16.810,2.128
173,1172,7671,113.60,16.812,2.126
174,1172,7714,114.18,16.812,2.117
175,1174,7731,114.16,16.814,2.108
176,1174,7757,116.74,16.809,2.125
177,1176,7765,117.39,16.809,2.142
178,1176,7791,117.49,16.806,2.145
179,1178,7808,117.75,16.807,2.132
180,1178,7834,117.22,16.807,2.167
181,1180,7860,117.56,16.805,2.185
182,1180,7885,119.09,16.809,2.199
183,1182,7920,120.50,16.805,2.211
184,1182,7954,122.03,16.807,2.247
185,1184,7988,122.57,16.803,2.220
186,1184,8022,123.31,16.808,2.259
187,1186,8040,124.77,16.805,2.213
188,1186,8065,125.25,16.809,2.252
189,1188,8082,125.23,16.806,2.265
190,1188,8134,126.26,16.804,2.298
191,1190,8151,128.24,16.801,2.269
192,1190,8185,129.59,16.806,2.276
193,1192,8202,129.31,16.805,2.287
194,1192,8228,130.16,16.807,2.301
195,1194,8254,130.97,16.805,2.295
196,1194,8280,131.28,16.804,2.334
197,1196,8314,132.25,16.805,2.338
198,1196,8340,134.03,16.809,2.379
199,1198,8374,134.92,16.804,2.385
200,1198,8400,135.90,16.802,2.372
201,1200,8425,136.70,16.804,2.372
202,1200,8460,137.90,16.805,2.453
203,1202,8485,138.81,16.804,2.442
204,1202,8537,139.64,16.804,2.442
205,1204,8571,141.39,16.803,2.447
206,1204,8597,141.99,16.799,2.467
207,1206,8631,143.59,16.803,2.483
208,1206,8657,143.94,16.801,2.497
209,1208,8691,144.06,16.803,2.521
210,1208,8734,145.31,16.801,2.532
211,1210,8768,146.42,16.801,2.541
212,1210,8811,148.11,16.801,2.538
213,1212,8837,149.61,16.798,2.540
214,1212,8862,150.17,16.801,2.578
215,1214,8905,151.61,16.802,2.587
216,1214,8931,152.55,16.809,2.630
217,1216,8982,153.08,16.799,2.666
218,1216,9017,155.11,16.797,2.676
219,1218,9068,157.03,16.798,2.693
220,1218,9102,158.68,16.798,2.734
221,1220,9154,159.38,16.800,2.728
222,1220,9188,160.42,16.799,2.740
223,1222,9214,162.46,16.798,2.775
224,1222,9248,163.61,16.796,2.779
225,1224,9308,164.36,16.794,2.796
226,1224,9360,166.30,16.798,2.805
227,1226,9394,167.75,16.797,2.813
228,1226,9420,169.56,16.797,2.825
229,1228,9454,171.02,16.795,2.850
230,1228,9488,171.66,16.806,2.848
231,1230,9531,172.43,16.799,2.835
232,1230,9548,172.61,16.796,2.876
233,1232,9574,174.99,16.800,2.911
234,1232,9600,176.15,16.797,2.918
235,1234,9617,177.88,16.795,2.916
236,1234,9668,179.55,16.796,2.937
237,1236,9702,179.22,16.795,2.942
