seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.686,0.911
2,1000,0,0.00,12.689,0.912
3,1002,0,0.00,12.685,0.924
4,1002,0,0.00,12.688,0.918
5,1004,0,0.00,12.694,0.922
6,1004,0,0.00,12.687,0.918
7,1006,0,0.00,12.687,0.922
8,1006,0,0.00,12.685,0.916
9,1008,0,0.00,12.692,0.915
10,1008,0,0.00,12.686,0.917
11,1010,0,0.00,12.687,0.919
12,1010,0,0.00,12.688,0.911
13,1012,0,0.00,12.689,0.919
14,1012,0,0.00,12.681,0.915
15,1014,0,0.00,12.682,0.922
16,1014,0,0.00,12.686,0.930
17,1016,0,0.00,12.681,0.933
18,1016,0,0.00,12.673,1.174
19,1018,0,0.00,12.663,1.558
20,1018,0,2.58,12.669,1.681
21,1020,0,4.60,12.671,1.651
22,1020,0,5.92,12.666,1.586
23,1022,0,6.84,12.669,1.484
24,1022,0,7.33,12.666,1.425
25,1024,0,8.75,12.672,1.368
26,1024,0,9.66,12.667,1.345
27,1026,0,10.44,12.675,1.343
28,1026,0,10.85,12.671,1.328
29,1028,0,12.23,12.672,1.312
30,1028,0,13.47,12.672,1.285
31,1030,0,14.22,12.672,1.265
32,1030,0,15.50,12.671,1.249
33,1032,0,16.68,12.673,1.246
34,1032,0,16.74,12.668,1.230
35,1034,0,17.93,12.674,1.217
36,1034,0,18.11,12.671,1.232
37,1036,0,18.62,12.676,1.223
38,1036,0,19.00,12.672,1.234
39,1038,0,19.19,12.667,1.224
40,1038,0,20.74,12.671,1.216
41,1040,0,20.07,12.670,1.217
42,1040,0,20.36,12.670,1.226
43,1042,0,20.79,12.674,1.226
44,1042,0,21.46,12.673,1.226
45,1044,0,21.63,12.678,1.234
46,1044,0,22.95,12.668,1.227
47,1046,0,23.39,12.673,1.229
48,1046,0,23.50,12.671,1.241
49,1048,0,23.95,12.676,1.240
50,1048,0,24.46,12.669,1.242
51,1050,0,24.99,12.673,1.234
52,1050,0,24.80,12.670,1.249
53,1052,0,25.12,12.674,1.251
54,1052,0,25.32,12.671,1.269
55,1054,0,26.02,12.674,1.256
