seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.68,0.87,11.04,0.000
2,1000,0,0.00,12.68,0.87,11.02,0.000
3,1002,0,0.00,12.69,0.88,11.12,0.000
4,1002,0,0.00,12.68,0.88,11.12,0.000
5,1004,0,0.00,12.69,0.87,11.05,0.000
6,1004,0,0.00,12.68,0.87,11.04,0.000
7,1006,0,0.00,12.69,0.88,11.11,0.000
8,1006,0,0.00,12.68,0.87,11.05,0.000
9,1008,0,0.00,12.68,0.88,11.12,0.000
10,1008,0,0.00,12.69,0.87,11.01,0.000
11,1010,0,0.00,12.68,0.87,11.08,0.000
12,1010,0,0.00,12.68,0.88,11.13,0.000
13,1012,0,0.00,12.69,0.87,11.09,0.000
14,1012,0,0.00,12.68,0.86,10.92,0.000
15,1014,0,0.00,12.68,0.87,11.07,0.000
16,1014,0,0.00,12.68,0.89,11.30,0.000
17,1016,0,0.00,12.68,0.88,11.18,0.000
18,1016,0,0.00,12.67,1.12,14.21,0.000
19,1018,0,0.00,12.67,1.44,18.28,0.000
20,1018,0,3.02,12.67,1.46,18.52,0.163
21,1020,0,4.75,12.67,1.38,17.53,0.271
22,1020,0,5.56,12.67,1.30,16.50,0.337
23,1022,0,6.19,12.67,1.23,15.62,0.396
24,1022,0,7.00,12.67,1.20,15.14,0.462
25,1024,0,7.91,12.67,1.19,15.10,0.523
26,1024,0,7.91,12.67,1.17,14.89,0.531
27,1026,0,8.70,12.67,1.15,14.60,0.595
28,1026,0,9.29,12.67,1.13,14.38,0.646
29,1028,0,9.81,12.67,1.11,14.12,0.695
30,1028,0,10.18,12.67,1.12,14.19,0.717
31,1030,0,10.59,12.67,1.10,13.98,0.758
32,1030,0,10.82,12.67,1.11,14.05,0.771
33,1032,0,11.48,12.67,1.10,13.93,0.824
34,1032,0,11.57,12.67,1.10,13.91,0.832
35,1034,0,11.48,12.67,1.09,13.80,0.832
36,1034,0,11.56,12.67,1.09,13.85,0.835
37,1036,0,11.43,12.67,1.10,13.98,0.817
38,1036,0,11.72,12.67,1.10,13.98,0.839
39,1038,0,12.11,12.67,1.11,14.12,0.857
40,1038,0,12.29,12.67,1.10,13.98,0.879
41,1040,0,12.30,12.67,1.10,13.98,0.880
42,1040,0,12.62,12.67,1.11,14.08,0.896
43,1042,0,12.67,12.67,1.12,14.17,0.894
44,1042,0,12.58,12.67,1.12,14.24,0.884
45,1044,0,12.61,12.67,1.12,14.26,0.885
46,1044,0,12.84,12.67,1.13,14.30,0.898
47,1046,0,13.29,12.67,1.13,14.30,0.929
48,1046,0,13.82,12.67,1.13,14.30,0.966
49,1048,0,14.07,12.67,1.13,14.37,0.980
50,1048,0,14.14,12.67,1.14,14.43,0.980
51,1050,0,14.21,12.67,1.14,14.48,0.982
52,1050,0,14.77,12.67,1.15,14.55,1.014
53,1052,0,14.93,12.67,1.15,14.53,1.028
54,1052,0,14.75,12.67,1.15,14.61,1.009
55,1054,0,14.71,12.67,1.15,14.63,1.005
56,1054,0,14.75,12.67,1.16,14.64,1.007
57,1056,0,14.95,12.67,1.16,14.65,1.021
58,1056,0,15.29,12.67,1.16,14.71,1.040
59,1058,0,15.33,12.67,1.16,14.75,1.039
60,1058,0,15.38,12.67,1.17,14.88,1.034
61,1060,0,16.06,12.67,1.17,14.83,1.083
62,1060,0,16.09,12.67,1.17,14.77,1.089
63,1062,0,16.23,12.67,1.17,14.80,1.097
64,1062,0,16.44,12.67,1.17,14.86,1.106
65,1064,0,16.53,12.67,1.18,14.98,1.103
66,1064,0,16.62,12.67,1.18,14.99,1.109
67,1066,0,16.57,12.67,1.19,15.06,1.101
68,1066,0,16.63,12.67,1.19,15.06,1.104
69,1068,3660,17.29,12.67,1.19,15.09,1.146
70,1068,3685,17.35,12.67,1.19,15.13,1.147
71,1070,3702,17.50,12.67,1.20,15.17,1.154
72,1070,3728,17.81,12.67,1.20,15.19,1.172
73,1072,3745,18.05,12.67,1.20,15.21,1.187
74,1072,3771,18.34,12.67,1.20,15.25,1.202
75,1074,3788,18.34,12.67,1.21,15.37,1.193
76,1074,3814,18.73,12.67,1.22,15.47,1.211
77,1076,3831,19.34,12.67,1.22,15.44,1.253
78,1076,3848,19.34,12.67,1.22,15.47,1.251
79,1078,3874,19.60,12.67,1.22,15.52,1.263
80,1078,3891,19.48,12.67,1.22,15.50,1.257
81,1080,3917,19.45,12.67,1.23,15.56,1.250
82,1080,3942,19.48,12.67,1.25,15.80,1.233
83,1082,3968,19.49,12.67,1.24,15.73,1.239
84,1082,3994,19.73,12.67,1.24,15.72,1.255
85,1084,4020,20.05,12.67,1.24,15.72,1.275
86,1084,4045,19.95,12.67,1.25,15.80,1.262
87,1086,4062,19.93,12.67,1.24,15.74,1.266
88,1086,4088,20.36,12.67,1.25,15.79,1.289
89,1088,4114,20.80,12.67,1.25,15.83,1.314
90,1088,4131,20.88,12.67,1.25,15.86,1.316
91,1090,4148,20.51,12.67,1.26,16.01,1.281
92,1090,4174,20.94,12.67,1.28,16.17,1.295
93,1092,4191,21.27,12.67,1.27,16.05,1.325
94,1092,4217,21.69,12.67,1.27,16.14,1.344
95,1094,4234,21.87,12.67,1.28,16.27,1.344
96,1094,4251,22.19,12.67,1.29,16.29,1.362
97,1096,4285,22.54,12.67,1.28,16.26,1.386
98,1096,4311,23.00,12.67,1.29,16.31,1.410
99,1098,4337,23.48,12.67,1.29,16.35,1.436
100,1098,4362,23.81,12.67,1.29,16.37,1.454
101,1100,4388,24.23,12.67,1.30,16.48,1.470
102,1100,4414,24.09,12.67,1.31,16.57,1.453
103,1102,4440,24.19,12.67,1.30,16.52,1.464
104,1102,4457,24.27,12.67,1.31,16.60,1.463
105,1104,4474,25.03,12.67,1.32,16.73,1.496
106,1104,4500,25.21,12.67,1.32,16.67,1.513
107,1106,4525,25.51,12.67,1.33,16.80,1.518
108,1106,4551,25.54,12.67,1.35,17.06,1.497
109,1108,4577,25.41,12.67,1.34,17.03,1.492
110,1108,4602,25.93,12.67,1.34,16.97,1.528
111,1110,4637,26.27,12.67,1.35,17.08,1.538
112,1110,4662,26.00,12.67,1.35,17.04,1.525
113,1112,4697,26.44,12.67,1.36,17.19,1.538
114,1112,4722,26.84,12.67,1.38,17.46,1.538
115,1114,4748,27.14,12.67,1.38,17.42,1.558
116,1114,4782,27.51,12.67,1.38,17.46,1.575
117,1116,4808,27.78,12.67,1.37,17.40,1.597
118,1116,4842,28.26,12.67,1.38,17.44,1.621
119,1118,4860,28.09,12.67,1.38,17.48,1.607
120,1118,4885,28.11,12.67,1.38,17.53,1.603
121,1120,4902,28.16,12.67,1.38,17.44,1.614
122,1120,4928,28.18,12.67,1.39,17.65,1.596
