seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.680,0.870
2,1000,0,0.00,12.680,0.868
3,1002,0,0.00,12.683,0.884
4,1002,0,0.00,12.679,0.878
5,1004,0,0.00,12.682,0.869
6,1004,0,0.00,12.682,0.869
7,1006,0,0.00,12.680,0.877
8,1006,0,0.00,12.679,0.869
9,1008,0,0.00,12.680,0.876
10,1008,0,0.00,12.687,0.871
11,1010,0,0.00,12.681,0.869
12,1010,0,0.00,12.681,0.876
13,1012,0,0.00,12.680,0.871
14,1012,0,0.00,12.675,0.858
15,1014,0,0.00,12.678,0.873
16,1014,0,0.00,12.677,0.891
17,1016,0,0.00,12.675,0.884
18,1016,0,0.00,12.662,1.157
19,1018,0,0.00,12.668,1.437
20,1018,0,4.15,12.665,1.442
21,1020,0,5.79,12.667,1.367
22,1020,0,6.50,12.668,1.293
23,1022,0,7.65,12.665,1.223
24,1022,0,8.41,12.663,1.203
25,1024,0,9.15,12.670,1.187
26,1024,0,9.13,12.664,1.172
27,1026,0,9.94,12.668,1.151
28,1026,0,10.64,12.671,1.129
29,1028,0,10.78,12.672,1.110
30,1028,0,11.14,12.667,1.113
31,1030,0,11.86,12.668,1.102
32,1030,0,11.91,12.668,1.106
33,1032,0,12.79,12.669,1.100
34,1032,0,12.55,12.668,1.093
35,1034,0,12.33,12.661,1.090
36,1034,0,12.05,12.668,1.091
37,1036,0,11.71,12.671,1.110
38,1036,0,12.16,12.669,1.099
39,1038,0,12.92,12.672,1.113
40,1038,0,12.99,12.667,1.102
41,1040,0,12.76,12.668,1.103
42,1040,0,12.67,12.668,1.116
43,1042,0,13.30,12.664,1.113
44,1042,0,13.47,12.670,1.120
45,1044,0,13.52,12.673,1.127
46,1044,0,13.88,12.663,1.129
47,1046,0,14.20,12.667,1.124
48,1046,0,14.83,12.667,1.128
49,1048,0,15.17,12.669,1.135
50,1048,0,15.09,12.666,1.141
51,1050,0,15.19,12.668,1.145
52,1050,0,15.97,12.668,1.146
53,1052,0,15.90,12.664,1.141
54,1052,0,15.69,12.665,1.152
55,1054,0,15.45,12.667,1.157
56,1054,0,15.68,12.664,1.159
57,1056,0,15.87,12.668,1.154
58,1056,0,16.22,12.671,1.163
59,1058,0,16.39,12.665,1.168
60,1058,0,16.04,12.667,1.175
61,1060,0,16.68,12.666,1.166
62,1060,0,16.79,12.668,1.167
63,1062,0,16.61,12.668,1.169
64,1062,0,17.35,12.671,1.168
65,1064,0,17.34,12.665,1.182
66,1064,0,17.27,12.670,1.182
67,1066,0,17.63,12.668,1.184
68,1066,0,17.21,12.665,1.187
69,1068,3660,18.35,12.666,1.200
70,1068,3677,18.61,12.669,1.187
71,1070,3702,18.57,12.668,1.201
72,1070,3720,19.00,12.667,1.194
73,1072,3737,18.77,12.665,1.199
74,1072,3762,19.06,12.671,1.195
75,1074,3780,19.30,12.667,1.208
76,1074,3797,19.37,12.668,1.218
77,1076,3822,19.69,12.671,1.221
78,1076,3840,19.97,12.669,1.220
79,1078,3865,20.04,12.669,1.224
80,1078,3891,20.16,12.667,1.227
81,1080,3917,20.24,12.665,1.224
82,1080,3942,20.51,12.668,1.252
83,1082,3968,20.47,12.669,1.242
84,1082,3994,20.51,12.665,1.246
85,1084,4020,20.85,12.669,1.250
86,1084,4045,20.54,12.671,1.239
87,1086,4062,20.59,12.667,1.247
88,1086,4088,21.47,12.666,1.243
89,1088,4114,21.46,12.672,1.249
90,1088,4131,21.64,12.667,1.259
91,1090,4148,21.06,12.664,1.253
