seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.66,0.88,11.08,0.000
2,1000,0,0.00,12.66,0.88,11.08,0.000
3,1002,0,0.00,12.66,0.88,11.12,0.000
4,1002,0,0.00,12.66,0.88,11.10,0.000
5,1004,0,0.00,12.66,0.87,11.07,0.000
6,1004,0,0.00,12.66,0.88,11.15,0.000
7,1006,0,0.00,12.66,0.88,11.12,0.000
8,1006,0,0.00,12.66,0.88,11.07,0.000
9,1008,0,0.00,12.66,0.87,11.07,0.000
10,1008,0,0.00,12.66,0.87,11.07,0.000
11,1010,0,0.00,12.66,0.88,11.14,0.000
12,1010,0,0.00,12.66,0.88,11.14,0.000
13,1012,0,0.00,12.66,0.88,11.20,0.000
14,1012,0,0.00,12.66,0.87,11.06,0.000
15,1014,0,0.00,12.65,0.89,11.25,0.000
16,1014,0,0.00,12.65,0.89,11.21,0.000
17,1016,0,0.00,12.65,0.89,11.32,0.000
18,1016,0,0.00,12.64,1.10,13.89,0.000
19,1018,0,0.00,12.64,1.56,19.77,0.000
20,1018,0,3.41,12.64,1.65,20.89,0.163
21,1020,0,5.30,12.64,1.54,19.41,0.273
22,1020,0,6.26,12.64,1.40,17.64,0.355
23,1022,0,7.25,12.64,1.29,16.36,0.443
24,1022,0,8.58,12.64,1.21,15.28,0.562
25,1024,0,8.78,12.64,1.19,15.10,0.582
26,1024,0,9.39,12.64,1.19,15.03,0.625
27,1026,0,10.25,12.64,1.16,14.63,0.701
28,1026,0,10.84,12.64,1.13,14.33,0.757
29,1028,0,12.21,12.64,1.12,14.14,0.863
30,1028,0,12.30,12.64,1.11,14.04,0.876
31,1030,0,12.25,12.64,1.10,13.95,0.878
32,1030,0,12.91,12.64,1.11,14.03,0.920
33,1032,0,13.01,12.64,1.10,13.96,0.932
34,1032,0,12.98,12.64,1.09,13.83,0.938
35,1034,0,13.13,12.65,1.09,13.80,0.952
36,1034,0,12.93,12.64,1.10,13.95,0.927
37,1036,0,13.77,12.64,1.11,13.98,0.985
38,1036,0,13.42,12.64,1.11,14.07,0.954
39,1038,0,13.62,12.65,1.11,14.06,0.968
40,1038,0,13.86,12.64,1.10,13.94,0.994
41,1040,0,13.82,12.65,1.11,14.00,0.987
42,1040,0,14.36,12.65,1.11,14.06,1.021
43,1042,0,14.04,12.64,1.12,14.10,0.995
44,1042,0,14.36,12.64,1.13,14.30,1.004
45,1044,0,15.17,12.64,1.13,14.30,1.061
46,1044,0,15.05,12.64,1.13,14.26,1.055
47,1046,0,15.71,12.65,1.13,14.24,1.103
48,1046,0,15.85,12.64,1.13,14.33,1.106
49,1048,0,15.89,12.65,1.14,14.35,1.107
50,1048,0,16.22,12.65,1.13,14.32,1.133
51,1050,0,15.91,12.65,1.14,14.47,1.100
52,1050,0,16.32,12.64,1.15,14.53,1.124
53,1052,0,16.38,12.64,1.15,14.58,1.124
54,1052,0,16.16,12.65,1.16,14.64,1.104
55,1054,0,16.84,12.64,1.15,14.60,1.154
56,1054,0,16.99,12.64,1.15,14.50,1.172
57,1056,0,17.05,12.65,1.15,14.56,1.171
58,1056,0,17.44,12.64,1.16,14.65,1.190
59,1058,0,17.15,12.65,1.17,14.80,1.159
60,1058,0,17.91,12.64,1.17,14.78,1.211
61,1060,0,17.95,12.65,1.17,14.81,1.213
62,1060,0,18.35,12.64,1.17,14.81,1.239
63,1062,0,18.56,12.64,1.17,14.82,1.252
64,1062,0,18.34,12.65,1.19,15.00,1.222
65,1064,0,18.93,12.65,1.19,15.02,1.260
66,1064,0,19.21,12.64,1.18,14.97,1.283
67,1066,0,19.03,12.64,1.19,15.02,1.267
68,1066,0,19.66,12.64,1.19,15.02,1.308
69,1068,3660,19.60,12.64,1.19,14.99,1.308
70,1068,3677,19.70,12.65,1.19,15.06,1.308
71,1070,3702,20.30,12.64,1.21,15.26,1.331
72,1070,3728,20.21,12.65,1.20,15.19,1.331
73,1072,3745,21.01,12.64,1.22,15.39,1.365
74,1072,3771,21.00,12.64,1.22,15.39,1.364
75,1074,3797,20.82,12.64,1.21,15.30,1.360
76,1074,3822,21.23,12.65,1.22,15.48,1.371
77,1076,3840,21.36,12.64,1.21,15.34,1.393
78,1076,3865,21.88,12.64,1.22,15.39,1.422
79,1078,3882,22.28,12.64,1.21,15.30,1.456
80,1078,3908,22.34,12.64,1.22,15.48,1.443
81,1080,3925,22.88,12.64,1.23,15.55,1.472
82,1080,3942,22.84,12.65,1.24,15.64,1.460
83,1082,3968,23.36,12.65,1.25,15.76,1.482
84,1082,3985,23.48,12.64,1.24,15.63,1.502
85,1084,4011,23.64,12.64,1.24,15.71,1.505
86,1084,4028,24.36,12.64,1.24,15.67,1.554
87,1086,4054,23.80,12.64,1.24,15.70,1.515
88,1086,4071,23.82,12.64,1.25,15.80,1.508
89,1088,4088,24.36,12.64,1.25,15.85,1.537
90,1088,4114,23.89,12.64,1.26,15.94,1.499
