seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.67,0.86,10.96,0.000
2,1000,0,0.00,12.67,0.87,11.02,0.000
3,1002,0,0.00,12.67,0.87,11.08,0.000
4,1002,0,0.00,12.67,0.87,10.99,0.000
5,1004,0,0.00,12.68,0.88,11.14,0.000
6,1004,0,0.00,12.67,0.87,11.06,0.000
7,1006,0,0.00,12.68,0.87,10.98,0.000
8,1006,0,0.00,12.67,0.87,11.01,0.000
9,1008,0,0.00,12.67,0.86,10.92,0.000
10,1008,0,0.00,12.67,0.87,11.02,0.000
11,1010,0,0.00,12.67,0.87,11.03,0.000
12,1010,0,0.00,12.67,0.87,11.04,0.000
13,1012,0,0.00,12.67,0.87,11.03,0.000
14,1012,0,0.00,12.67,0.87,10.99,0.000
15,1014,0,0.00,12.67,0.88,11.13,0.000
16,1014,0,0.00,12.67,0.88,11.19,0.000
17,1016,0,0.00,12.67,0.88,11.12,0.000
18,1016,0,0.00,12.65,1.16,14.63,0.000
19,1018,0,0.00,12.65,1.45,18.29,0.000
20,1018,0,0.94,12.65,1.43,18.15,0.052
21,1020,0,3.99,12.66,1.35,17.03,0.234
22,1020,0,6.05,12.66,1.26,15.98,0.379
23,1022,0,6.07,12.66,1.19,15.02,0.404
24,1022,0,7.40,12.66,1.18,14.90,0.497
25,1024,0,8.04,12.66,1.16,14.73,0.546
26,1024,0,8.61,12.66,1.14,14.48,0.595
27,1026,0,8.79,12.66,1.13,14.28,0.615
28,1026,0,9.08,12.66,1.12,14.12,0.643
29,1028,0,9.66,12.66,1.11,13.99,0.690
30,1028,0,10.30,12.66,1.10,13.97,0.737
31,1030,0,10.79,12.66,1.09,13.80,0.782
32,1030,0,11.18,12.66,1.09,13.80,0.810
33,1032,0,11.09,12.66,1.09,13.82,0.802
34,1032,0,10.97,12.66,1.08,13.70,0.801
35,1034,0,11.55,12.66,1.08,13.74,0.841
36,1034,0,11.41,12.66,1.09,13.77,0.829
37,1036,0,11.89,12.66,1.09,13.81,0.861
38,1036,0,11.95,12.66,1.10,13.93,0.857
39,1038,0,12.01,12.66,1.09,13.86,0.867
40,1038,0,12.32,12.66,1.10,13.93,0.885
41,1040,0,12.04,12.66,1.10,13.91,0.866
