seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.785,0.870
2,1000,0,0.00,16.786,0.873
3,1002,0,0.00,16.788,0.872
4,1002,0,0.00,16.795,0.870
5,1004,0,0.00,16.791,0.873
6,1004,0,0.00,16.791,0.869
7,1006,0,0.00,16.786,0.871
8,1006,0,0.00,16.792,0.869
9,1008,0,0.00,16.790,0.879
10,1008,0,0.00,16.788,0.877
11,1010,0,0.00,16.792,0.865
12,1010,0,0.00,16.793,0.873
13,1012,0,0.00,16.785,0.861
14,1012,0,0.00,16.785,0.860
15,1014,0,0.00,16.779,0.873
16,1014,0,0.00,16.783,0.876
17,1016,0,0.00,16.780,0.895
18,1016,0,0.00,16.771,1.243
19,1018,0,0.00,16.759,1.850
20,1018,0,3.06,16.763,1.884
21,1020,0,5.79,16.763,1.701
22,1020,0,9.98,16.767,1.518
23,1022,0,11.03,16.770,1.398
24,1022,0,12.62,16.770,1.351
25,1024,0,13.65,16.767,1.292
26,1024,0,15.03,16.769,1.246
27,1026,0,16.39,16.773,1.210
28,1026,0,16.83,16.774,1.170
29,1028,0,17.13,16.770,1.164
30,1028,0,17.65,16.768,1.171
31,1030,0,18.23,16.770,1.158
32,1030,0,18.72,16.770,1.149
33,1032,0,19.34,16.772,1.160
34,1032,0,20.00,16.771,1.153
35,1034,3822,20.57,16.763,1.148
36,1034,3857,20.86,16.772,1.150
37,1036,3891,21.39,16.770,1.155
38,1036,3925,21.36,16.769,1.172
39,1038,3951,21.53,16.769,1.160
40,1038,3985,22.37,16.768,1.166
41,1040,4011,22.01,16.776,1.175
42,1040,4037,21.96,16.772,1.165
43,1042,4054,22.54,16.777,1.173
44,1042,4088,23.26,16.771,1.186
45,1044,4122,23.57,16.773,1.190
46,1044,4157,23.57,16.771,1.186
47,1046,4182,24.00,16.770,1.194
48,1046,4225,24.30,16.768,1.208
49,1048,4260,24.08,16.771,1.208
50,1048,4302,24.24,16.770,1.213
51,1050,4337,26.05,16.770,1.222
52,1050,4371,26.85,16.769,1.215
53,1052,4405,27.34,16.773,1.222
54,1052,4440,27.46,16.771,1.224
55,1054,4465,28.33,16.767,1.233
56,1054,4508,29.09,16.769,1.241
57,1056,4534,28.70,16.770,1.234
58,1056,4568,28.50,16.772,1.238
59,1058,4611,27.91,16.772,1.241
60,1058,4637,28.23,16.771,1.258
61,1060,4671,28.94,16.770,1.262
62,1060,4705,28.92,16.774,1.265
63,1062,4731,29.65,16.770,1.233
64,1062,4757,29.99,16.771,1.265
65,1064,4782,30.50,16.766,1.277
66,1064,4817,31.04,16.766,1.275
67,1066,4842,31.29,16.769,1.275
68,1066,4868,31.70,16.767,1.279
69,1068,4911,31.39,16.776,1.293
70,1068,4937,30.51,16.769,1.312
71,1070,4971,30.70,16.771,1.302
72,1070,5014,31.34,16.771,1.320
73,1072,5048,32.26,16.769,1.320
74,1072,5091,33.36,16.768,1.315
75,1074,5134,33.98,16.769,1.309
76,1074,5168,34.39,16.770,1.333
77,1076,5202,34.04,16.771,1.356
78,1076,5245,33.03,16.766,1.331
79,1078,5271,33.40,16.765,1.331
80,1078,5305,33.45,16.766,1.336
81,1080,5340,34.33,16.768,1.339
82,1080,5365,34.66,16.768,1.339
83,1082,5382,34.68,16.769,1.364
84,1082,5417,35.16,16.771,1.372
85,1084,5460,35.47,16.767,1.388
86,1084,5494,35.73,16.764,1.388
87,1086,5528,36.13,16.769,1.385
88,1086,5571,36.21,16.764,1.388
89,1088,5597,36.60,16.765,1.383
90,1088,5631,37.06,16.769,1.400
91,1090,5665,36.83,16.767,1.402
92,1090,5691,37.42,16.764,1.416
93,1092,5725,37.56,16.762,1.415
94,1092,5760,37.97,16.764,1.419
95,1094,5785,38.37,16.769,1.417
96,1094,5820,38.35,16.761,1.417
97,1096,5845,39.42,16.766,1.417
98,1096,5880,40.13,16.766,1.429
99,1098,5897,40.64,16.766,1.434
100,1098,5931,41.49,16.766,1.450
101,1100,5957,39.58,16.760,1.452
102,1100,5991,39.92,16.762,1.459
103,1102,6025,40.29,16.766,1.465
104,1102,6051,40.76,16.764,1.473
105,1104,6085,42.27,16.764,1.479
106,1104,6120,42.46,16.762,1.475
107,1106,6145,42.99,16.765,1.481
108,1106,6171,42.94,16.764,1.494
109,1108,6205,43.11,16.762,1.487
110,1108,6240,43.26,16.764,1.510
111,1110,6274,42.75,16.761,1.507
112,1110,6300,43.27,16.763,1.516
113,1112,6325,44.36,16.762,1.520
114,1112,6360,44.58,16.764,1.528
115,1114,6394,45.98,16.760,1.547
116,1114,6428,45.68,16.765,1.541
117,1116,6462,45.45,16.761,1.546
118,1116,6497,45.31,16.765,1.580
119,1118,6531,45.46,16.764,1.554
120,1118,6557,46.30,16.758,1.546
121,1120,6582,47.26,16.763,1.558
122,1120,6608,47.56,16.758,1.561
123,1122,6634,47.27,16.762,1.564
124,1122,6660,47.00,16.764,1.591
125,1124,6685,47.10,16.761,1.585
126,1124,6720,47.74,16.758,1.577
127,1126,6737,48.56,16.767,1.558
128,1126,6754,49.71,16.763,1.575
129,1128,6771,48.75,16.757,1.601
130,1128,6797,49.10,16.758,1.621
131,1130,6822,49.54,16.758,1.614
132,1130,6857,49.20,16.766,1.612
133,1132,6882,50.26,16.760,1.629
134,1132,6917,51.06,16.765,1.628
135,1134,6951,51.36,16.762,1.634
136,1134,6977,51.57,16.762,1.647
137,1136,7002,51.01,16.762,1.629
138,1136,7037,51.73,16.765,1.645
139,1138,7062,52.40,16.765,1.653
140,1138,7088,52.49,16.759,1.659
141,1140,7122,53.54,16.764,1.660
142,1140,7140,54.23,16.765,1.639
143,1142,7157,53.85,16.757,1.648
144,1142,7174,53.91,16.763,1.658
145,1144,7200,53.61,16.761,1.668
146,1144,7217,54.08,16.764,1.702
147,1146,7242,55.03,16.759,1.707
148,1146,7277,55.41,16.758,1.697
149,1148,7320,56.45,16.759,1.709
150,1148,7345,56.13,16.763,1.710
151,1150,7371,57.17,16.758,1.715
152,1150,7405,58.08,16.762,1.717
153,1152,7431,58.36,16.758,1.726
154,1152,7440,58.31,16.758,1.718
155,1154,7465,57.94,16.761,1.728
156,1154,7491,58.05,16.760,1.742
157,1156,7525,59.24,16.757,1.745
158,1156,7560,60.85,16.760,1.762
159,1158,7585,61.15,16.759,1.756
160,1158,7611,60.14,16.758,1.766
161,1160,7637,60.00,16.760,1.763
162,1160,7662,61.75,16.755,1.773
163,1162,7688,63.17,16.760,1.785
164,1162,7731,63.42,16.764,1.801
165,1164,7757,62.90,16.758,1.798
166,1164,7791,62.87,16.762,1.817
167,1166,7817,63.87,16.759,1.810
168,1166,7842,64.31,16.753,1.824
169,1168,7877,64.44,16.761,1.822
170,1168,7911,64.69,16.757,1.845
171,1170,7945,64.31,16.757,1.854
172,1170,7988,65.77,16.761,1.921
173,1172,8031,65.99,16.757,1.882
174,1172,8074,65.96,16.753,1.878
175,1174,8100,65.71,16.753,1.868
176,1174,8125,66.33,16.756,1.887
177,1176,8151,66.95,16.765,1.853
178,1176,8168,67.65,16.759,1.883
179,1178,8194,68.09,16.757,1.906
180,1178,8220,69.21,16.755,1.915
181,1180,8254,70.00,16.756,1.931
182,1180,8280,70.58,16.755,1.921
183,1182,8305,70.91,16.759,1.926
184,1182,8348,70.44,16.754,1.950
185,1184,8374,71.34,16.757,1.959
186,1184,8417,73.40,16.753,1.953
187,1186,8451,74.32,16.758,1.983
188,1186,8494,74.29,16.755,1.992
189,1188,8520,74.67,16.755,1.992
190,1188,8562,76.12,16.756,1.989
191,1190,8597,77.05,16.760,1.990
192,1190,8622,77.66,16.757,1.993
193,1192,8640,77.87,16.759,2.005
194,1192,8682,77.50,16.750,2.047
195,1194,8708,78.11,16.754,2.057
196,1194,8760,78.54,16.753,2.065
197,1196,8794,78.95,16.758,2.056
198,1196,8837,79.91,16.754,2.067
199,1198,8880,80.38,16.754,2.123
200,1198,8931,81.73,16.755,2.118
201,1200,8974,82.56,16.753,2.172
202,1200,9034,83.81,16.755,2.175
203,1202,9077,85.05,16.752,2.176
204,1202,9128,85.39,16.755,2.140
205,1204,9162,86.20,16.756,2.160
206,1204,9180,87.23,16.757,2.188
207,1206,9231,87.61,16.751,2.205
208,1206,9257,88.99,16.755,2.206
209,1208,9291,89.80,16.752,2.201
210,1208,9325,89.45,16.750,2.231
211,1210,9360,90.04,16.754,2.249
212,1210,9394,90.51,16.749,2.258
213,1212,9462,90.83,16.749,2.259
214,1212,9514,93.15,16.752,2.280
215,1214,9548,93.88,16.749,2.292
216,1214,9591,93.57,16.751,2.300
217,1216,9617,93.99,16.748,2.292
218,1216,9642,94.07,16.747,2.264
219,1218,9668,94.80,16.754,2.302
220,1218,9702,95.59,16.750,2.320
221,1220,9728,96.44,16.752,2.349
222,1220,9762,96.19,16.750,2.336
223,1222,9788,96.70,16.752,2.345
224,1222,9831,97.86,16.751,2.371
225,1224,9865,99.14,16.751,2.327
226,1224,9891,99.25,16.751,2.371
227,1226,9908,98.49,16.749,2.382
228,1226,9942,99.63,16.749,2.403
229,1228,9977,100.91,16.751,2.409
230,1228,10002,101.43,16.750,2.389
231,1230,10028,101.09,16.744,2.399
232,1230,10062,100.88,16.753,2.438
233,1232,10088,101.01,16.753,2.422
234,1232,10131,102.41,16.749,2.482
235,1234,10174,104.01,16.748,2.463
236,1234,10191,103.72,16.749,2.472
237,1236,10217,104.26,16.747,2.503
238,1236,10260,104.43,16.751,2.501
239,1238,10277,106.05,16.745,2.504
240,1238,10302,107.33,16.747,2.531
241,1240,10354,106.36,16.750,2.502
242,1240,10380,107.54,16.751,2.504
243,1242,10405,107.91,16.746,2.551
244,1242,10431,108.90,16.746,2.573
245,1244,10457,109.20,16.743,2.608
246,1244,10517,108.95,16.745,2.629
247,1246,10568,110.30,16.747,2.623
248,1246,10611,111.67,16.744,2.643
249,1248,10637,113.40,16.742,2.632
250,1248,10671,113.29,16.745,2.637
251,1250,10697,112.83,16.743,2.647
252,1250,10714,114.27,16.744,2.656
253,1252,10748,115.45,16.745,2.654
