seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.656,0.884
2,1000,0,0.00,12.659,0.890
3,1002,0,0.00,12.657,0.890
4,1002,0,0.00,12.658,0.888
5,1004,0,0.00,12.659,0.894
6,1004,0,0.00,12.659,0.893
7,1006,0,0.00,12.656,0.885
8,1006,0,0.00,12.658,0.892
9,1008,0,0.00,12.656,0.893
10,1008,0,0.00,12.657,0.893
11,1010,0,0.00,12.657,0.891
12,1010,0,0.00,12.655,0.887
13,1012,0,0.00,12.658,0.890
14,1012,0,0.00,12.648,0.888
15,1014,0,0.00,12.649,0.900
16,1014,0,0.00,12.650,0.902
17,1016,0,0.00,12.647,0.909
18,1016,0,0.00,12.639,1.193
19,1018,0,0.00,12.640,1.654
20,1018,0,4.41,12.635,1.675
21,1020,0,5.50,12.637,1.561
22,1020,0,7.66,12.638,1.433
23,1022,0,9.42,12.639,1.330
24,1022,0,10.83,12.637,1.247
25,1024,0,11.56,12.645,1.238
26,1024,0,11.86,12.640,1.228
27,1026,0,12.34,12.644,1.204
28,1026,0,13.23,12.643,1.187
29,1028,0,13.63,12.643,1.167
30,1028,0,14.55,12.641,1.148
31,1030,0,15.80,12.645,1.139
32,1030,0,15.50,12.642,1.143
33,1032,0,16.62,12.637,1.143
34,1032,0,16.83,12.640,1.136
35,1034,0,17.03,12.638,1.123
36,1034,0,17.04,12.638,1.130
37,1036,0,16.68,12.642,1.130
38,1036,0,17.00,12.644,1.147
39,1038,0,16.88,12.639,1.136
40,1038,0,16.73,12.645,1.141
41,1040,0,17.60,12.640,1.144
42,1040,0,17.49,12.638,1.156
43,1042,0,18.42,12.636,1.151
44,1042,0,18.80,12.643,1.156
45,1044,0,19.07,12.643,1.162
46,1044,0,19.08,12.645,1.164
47,1046,0,18.66,12.644,1.153
48,1046,0,18.87,12.641,1.168
49,1048,0,18.81,12.640,1.169
50,1048,0,18.54,12.643,1.178
51,1050,0,19.04,12.639,1.176
52,1050,0,19.63,12.641,1.180
53,1052,0,20.02,12.639,1.184
