seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.86,0.91,15.30,0.000
2,1000,0,0.00,16.86,0.90,15.24,0.000
3,1002,0,0.00,16.86,0.91,15.36,0.000
4,1002,0,0.00,16.86,0.91,15.37,0.000
5,1004,0,0.00,16.86,0.91,15.26,0.000
6,1004,0,0.00,16.86,0.91,15.37,0.000
7,1006,0,0.00,16.86,0.91,15.26,0.000
8,1006,0,0.00,16.86,0.90,15.25,0.000
9,1008,0,0.00,16.86,0.91,15.28,0.000
10,1008,0,0.00,16.86,0.91,15.38,0.000
11,1010,0,0.00,16.86,0.91,15.31,0.000
12,1010,0,0.00,16.86,0.91,15.31,0.000
13,1012,0,0.00,16.86,0.90,15.22,0.000
14,1012,0,0.00,16.85,0.90,15.08,0.000
15,1014,0,0.00,16.85,0.91,15.39,0.000
16,1014,0,0.00,16.85,0.92,15.52,0.000
17,1016,0,0.00,16.85,0.92,15.57,0.000
18,1016,0,0.00,16.84,1.27,21.34,0.000
19,1018,0,0.96,16.83,1.75,29.52,0.033
20,1018,0,5.35,16.83,1.79,30.21,0.177
21,1020,0,8.40,16.83,1.66,27.96,0.300
22,1020,0,11.11,16.83,1.52,25.64,0.433
23,1022,0,12.05,16.84,1.42,23.83,0.506
24,1022,0,13.66,16.83,1.40,23.62,0.578
25,1024,0,15.51,16.84,1.37,23.01,0.674
26,1024,0,18.30,16.84,1.33,22.40,0.817
27,1026,0,20.27,16.84,1.28,21.51,0.943
28,1026,0,21.26,16.84,1.26,21.19,1.003
29,1028,0,22.59,16.84,1.24,20.92,1.080
30,1028,0,23.60,16.84,1.22,20.59,1.146
31,1030,0,24.21,16.84,1.22,20.54,1.179
32,1030,0,25.07,16.84,1.22,20.61,1.216
33,1032,0,25.68,16.84,1.22,20.61,1.246
34,1032,0,26.23,16.84,1.23,20.64,1.271
35,1034,0,27.38,16.84,1.21,20.45,1.339
36,1034,3771,27.52,16.84,1.22,20.49,1.343
37,1036,3814,28.04,16.84,1.23,20.64,1.359
38,1036,3857,28.54,16.84,1.23,20.64,1.383
39,1038,3900,28.52,16.84,1.23,20.80,1.371
40,1038,3925,28.89,16.84,1.23,20.78,1.390
41,1040,3951,29.05,16.84,1.23,20.66,1.406
42,1040,3985,29.87,16.84,1.24,20.89,1.430
43,1042,4011,30.31,16.84,1.24,20.92,1.449
44,1042,4045,30.31,16.84,1.26,21.19,1.430
