seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.62,0.90,11.32,0.000
2,1000,0,0.00,12.62,0.90,11.36,0.000
3,1002,0,0.00,12.63,0.89,11.29,0.000
4,1002,0,0.00,12.62,0.90,11.30,0.000
5,1004,0,0.00,12.63,0.90,11.33,0.000
6,1004,0,0.00,12.63,0.90,11.31,0.000
7,1006,0,0.00,12.62,0.90,11.34,0.000
8,1006,0,0.00,12.63,0.89,11.29,0.000
9,1008,0,0.00,12.62,0.90,11.30,0.000
10,1008,0,0.00,12.63,0.90,11.33,0.000
11,1010,0,0.00,12.62,0.90,11.34,0.000
12,1010,0,0.00,12.63,0.90,11.30,0.000
13,1012,0,0.00,12.62,0.90,11.33,0.000
14,1012,0,0.00,12.62,0.89,11.23,0.000
15,1014,0,0.00,12.62,0.90,11.41,0.000
16,1014,0,0.00,12.62,0.91,11.45,0.000
17,1016,0,0.00,12.62,0.91,11.44,0.000
18,1016,0,0.00,12.60,1.17,14.81,0.000
19,1018,0,0.00,12.61,1.60,20.17,0.000
20,1018,0,3.92,12.60,1.67,21.10,0.186
21,1020,0,4.94,12.60,1.60,20.18,0.245
22,1020,0,6.04,12.60,1.50,18.87,0.320
23,1022,0,7.41,12.61,1.40,17.68,0.419
24,1022,0,8.12,12.60,1.33,16.83,0.483
25,1024,0,8.94,12.61,1.29,16.27,0.549
26,1024,0,9.79,12.61,1.28,16.17,0.606
27,1026,0,10.04,12.60,1.27,15.95,0.629
28,1026,0,11.32,12.61,1.24,15.69,0.722
29,1028,0,11.88,12.60,1.21,15.29,0.777
30,1028,0,13.57,12.61,1.20,15.13,0.897
31,1030,0,14.00,12.61,1.19,15.03,0.931
32,1030,0,14.76,12.61,1.19,14.98,0.985
33,1032,0,14.88,12.61,1.18,14.84,1.003
34,1032,0,15.07,12.61,1.17,14.70,1.025
35,1034,0,15.85,12.61,1.16,14.66,1.081
36,1034,0,16.32,12.61,1.17,14.78,1.104
37,1036,0,16.55,12.61,1.17,14.75,1.122
38,1036,0,16.98,12.61,1.17,14.75,1.151
39,1038,0,17.34,12.61,1.17,14.72,1.178
40,1038,0,17.20,12.61,1.17,14.79,1.163
41,1040,0,17.60,12.61,1.18,14.86,1.184
42,1040,0,17.48,12.61,1.17,14.79,1.181
43,1042,0,17.91,12.61,1.17,14.78,1.211
44,1042,0,18.11,12.61,1.19,14.98,1.208
