seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.620,0.895
2,1000,0,0.00,12.618,0.895
3,1002,0,0.00,12.620,0.894
4,1002,0,0.00,12.618,0.897
5,1004,0,0.00,12.620,0.898
6,1004,0,0.00,12.623,0.898
7,1006,0,0.00,12.619,0.894
8,1006,0,0.00,12.621,0.901
9,1008,0,0.00,12.619,0.895
10,1008,0,0.00,12.618,0.902
11,1010,0,0.00,12.618,0.901
12,1010,0,0.00,12.620,0.890
13,1012,0,0.00,12.619,0.897
14,1012,0,0.00,12.618,0.891
15,1014,0,0.00,12.611,0.909
16,1014,0,0.00,12.615,0.906
17,1016,0,0.00,12.614,0.914
18,1016,0,0.00,12.602,1.150
19,1018,0,0.00,12.603,1.647
20,1018,0,4.40,12.598,1.762
21,1020,0,4.53,12.597,1.701
22,1020,0,5.57,12.598,1.567
23,1022,0,7.11,12.601,1.457
24,1022,0,7.71,12.598,1.377
25,1024,0,8.87,12.604,1.306
26,1024,0,10.10,12.603,1.292
27,1026,0,10.12,12.598,1.285
28,1026,0,11.34,12.606,1.263
29,1028,0,11.59,12.597,1.222
30,1028,0,13.15,12.598,1.210
31,1030,0,13.85,12.604,1.198
32,1030,0,14.28,12.604,1.189
33,1032,0,14.50,12.604,1.183
34,1032,0,14.99,12.600,1.174
35,1034,0,16.12,12.607,1.174
36,1034,0,16.26,12.605,1.177
37,1036,0,16.24,12.604,1.167
38,1036,0,16.81,12.602,1.172
39,1038,0,16.90,12.602,1.169
40,1038,0,16.79,12.603,1.176
41,1040,0,17.43,12.602,1.175
42,1040,0,17.40,12.600,1.179
43,1042,0,17.77,12.604,1.172
44,1042,0,18.46,12.606,1.189
45,1044,0,18.12,12.605,1.193
46,1044,0,18.67,12.604,1.182
47,1046,0,18.80,12.605,1.193
48,1046,0,18.28,12.602,1.205
49,1048,0,18.30,12.605,1.196
50,1048,0,18.55,12.605,1.204
51,1050,0,19.09,12.601,1.208
52,1050,0,19.19,12.601,1.213
53,1052,0,19.47,12.603,1.214
54,1052,0,20.13,12.603,1.219
55,1054,0,20.05,12.603,1.222
56,1054,0,20.18,12.600,1.215
57,1056,0,20.80,12.601,1.219
58,1056,0,21.17,12.602,1.223
59,1058,0,21.76,12.595,1.233
60,1058,0,21.86,12.604,1.245
61,1060,0,22.16,12.603,1.247
62,1060,0,22.55,12.605,1.241
