seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.65,0.89,11.31,0.000
2,1000,0,0.00,12.64,0.90,11.33,0.000
3,1002,0,0.00,12.64,0.90,11.41,0.000
4,1002,0,0.00,12.65,0.90,11.33,0.000
5,1004,0,0.00,12.65,0.90,11.34,0.000
6,1004,0,0.00,12.64,0.89,11.30,0.000
7,1006,0,0.00,12.64,0.89,11.30,0.000
8,1006,0,0.00,12.65,0.90,11.32,0.000
9,1008,0,0.00,12.65,0.90,11.39,0.000
10,1008,0,0.00,12.65,0.90,11.35,0.000
11,1010,0,0.00,12.65,0.89,11.29,0.000
12,1010,0,0.00,12.64,0.90,11.34,0.000
13,1012,0,0.00,12.64,0.90,11.35,0.000
14,1012,0,0.00,12.64,0.89,11.21,0.000
15,1014,0,0.00,12.64,0.90,11.32,0.000
16,1014,0,0.00,12.64,0.91,11.48,0.000
17,1016,0,0.00,12.64,0.91,11.51,0.000
18,1016,0,0.00,12.62,1.10,13.84,0.000
19,1018,0,0.00,12.62,1.50,18.89,0.000
20,1018,0,3.04,12.62,1.57,19.81,0.153
21,1020,0,4.97,12.62,1.52,19.19,0.259
22,1020,0,5.88,12.63,1.44,18.19,0.323
23,1022,0,7.07,12.63,1.36,17.23,0.411
24,1022,0,8.46,12.63,1.30,16.45,0.515
25,1024,0,8.90,12.63,1.27,16.09,0.553
26,1024,0,9.46,12.63,1.28,16.16,0.585
27,1026,0,10.21,12.63,1.25,15.77,0.648
28,1026,0,11.47,12.63,1.23,15.50,0.740
29,1028,0,12.64,12.63,1.21,15.23,0.830
30,1028,0,13.07,12.63,1.19,15.08,0.867
31,1030,0,14.09,12.63,1.18,14.95,0.943
32,1030,0,14.62,12.63,1.18,14.93,0.979
33,1032,0,15.30,12.63,1.18,14.87,1.029
34,1032,0,15.59,12.63,1.16,14.67,1.062
35,1034,0,15.71,12.63,1.16,14.70,1.069
36,1034,0,16.19,12.63,1.16,14.69,1.102
37,1036,0,16.17,12.63,1.16,14.69,1.101
38,1036,0,16.09,12.63,1.17,14.74,1.092
39,1038,0,16.62,12.63,1.17,14.74,1.128
