seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.779,0.900
2,1000,0,0.00,16.791,0.906
3,1002,0,0.00,16.787,0.909
4,1002,0,0.00,16.786,0.902
5,1004,0,0.00,16.789,0.907
6,1004,0,0.00,16.786,0.901
7,1006,0,0.00,16.784,0.907
8,1006,0,0.00,16.787,0.898
9,1008,0,0.00,16.781,0.903
10,1008,0,0.00,16.786,0.900
11,1010,0,0.00,16.785,0.910
12,1010,0,0.00,16.780,0.903
13,1012,0,0.00,16.783,0.894
14,1012,0,0.00,16.781,0.896
15,1014,0,0.00,16.780,0.897
16,1014,0,0.00,16.780,0.918
17,1016,0,0.00,16.772,0.914
18,1016,0,0.00,16.757,1.305
19,1018,0,0.00,16.757,1.986
20,1018,0,3.72,16.756,2.101
21,1020,0,6.65,16.756,1.966
22,1020,0,9.73,16.760,1.792
23,1022,0,10.78,16.759,1.623
24,1022,0,12.62,16.761,1.510
25,1024,0,14.68,16.753,1.471
26,1024,0,16.47,16.762,1.445
27,1026,0,18.09,16.763,1.409
28,1026,0,19.31,16.760,1.354
29,1028,0,20.87,16.763,1.332
30,1028,0,22.72,16.763,1.290
31,1030,0,23.00,16.763,1.278
32,1030,0,24.06,16.765,1.280
33,1032,0,24.82,16.757,1.274
34,1032,0,25.32,16.765,1.258
35,1034,0,26.04,16.767,1.269
36,1034,0,26.40,16.767,1.250
37,1036,0,27.54,16.764,1.265
38,1036,0,27.68,16.761,1.267
39,1038,3771,28.25,16.764,1.264
40,1038,3805,28.73,16.762,1.248
41,1040,3848,28.99,16.763,1.253
42,1040,3874,29.83,16.769,1.277
43,1042,3900,30.50,16.764,1.288
44,1042,3934,31.07,16.764,1.292
45,1044,3968,31.71,16.767,1.292
46,1044,3994,31.44,16.765,1.277
47,1046,4028,32.34,16.765,1.284
48,1046,4045,32.91,16.762,1.282
49,1048,4062,32.58,16.765,1.282
50,1048,4088,33.32,16.765,1.308
51,1050,4122,33.62,16.763,1.300
52,1050,4148,34.10,16.761,1.321
53,1052,4174,34.15,16.765,1.330
54,1052,4208,34.31,16.764,1.355
55,1054,4242,35.33,16.759,1.335
56,1054,4268,35.42,16.765,1.341
57,1056,4302,35.18,16.767,1.341
58,1056,4337,36.20,16.766,1.357
59,1058,4371,37.03,16.767,1.371
60,1058,4405,37.75,16.762,1.377
61,1060,4440,38.44,16.762,1.378
62,1060,4465,38.97,16.766,1.387
63,1062,4508,39.82,16.763,1.393
64,1062,4542,40.07,16.763,1.413
65,1064,4585,40.23,16.760,1.420
66,1064,4620,41.23,16.761,1.409
67,1066,4654,41.39,16.760,1.397
68,1066,4688,42.26,16.758,1.405
69,1068,4714,41.95,16.762,1.418
70,1068,4740,41.77,16.764,1.428
71,1070,4765,42.25,16.763,1.423
72,1070,4791,42.68,16.765,1.428
73,1072,4825,44.55,16.763,1.439
74,1072,4851,44.44,16.763,1.441
75,1074,4877,44.84,16.766,1.456
76,1074,4911,45.68,16.762,1.456
77,1076,4937,45.94,16.765,1.467
78,1076,4971,46.50,16.760,1.472
79,1078,5005,47.22,16.762,1.483
80,1078,5040,46.71,16.759,1.489
81,1080,5074,47.99,16.756,1.491
82,1080,5108,47.65,16.756,1.502
83,1082,5134,47.76,16.758,1.491
84,1082,5168,48.75,16.761,1.508
85,1084,5194,49.19,16.756,1.520
86,1084,5228,49.72,16.756,1.531
87,1086,5254,51.09,16.762,1.530
88,1086,5288,51.43,16.762,1.532
89,1088,5322,51.86,16.755,1.529
90,1088,5348,51.94,16.758,1.533
91,1090,5365,52.39,16.758,1.542
92,1090,5391,52.91,16.756,1.556
93,1092,5417,52.41,16.759,1.564
94,1092,5442,53.06,16.763,1.575
95,1094,5468,54.08,16.761,1.581
96,1094,5502,54.75,16.757,1.585
97,1096,5537,55.81,16.758,1.598
98,1096,5562,56.09,16.760,1.596
99,1098,5597,56.42,16.759,1.611
100,1098,5631,57.00,16.757,1.624
101,1100,5657,57.28,16.756,1.621
102,1100,5682,58.53,16.760,1.612
103,1102,5708,58.67,16.759,1.610
104,1102,5734,59.82,16.756,1.609
105,1104,5760,59.33,16.759,1.627
106,1104,5785,59.14,16.755,1.644
107,1106,5811,59.85,16.756,1.666
108,1106,5837,60.10,16.758,1.705
109,1108,5871,62.13,16.755,1.684
110,1108,5905,63.46,16.756,1.671
111,1110,5940,64.10,16.756,1.654
112,1110,5957,64.51,16.752,1.687
113,1112,5982,64.83,16.753,1.686
114,1112,6008,64.75,16.755,1.713
115,1114,6034,64.71,16.755,1.732
116,1114,6060,65.10,16.758,1.747
117,1116,6102,66.60,16.757,1.755
118,1116,6128,67.59,16.757,1.739
119,1118,6154,68.08,16.756,1.741
120,1118,6180,69.27,16.754,1.744
121,1120,6205,69.72,16.754,1.760
122,1120,6231,69.93,16.754,1.770
123,1122,6265,70.45,16.749,1.781
124,1122,6291,70.75,16.749,1.799
125,1124,6317,71.24,16.755,1.815
126,1124,6351,71.53,16.746,1.805
127,1126,6377,72.11,16.755,1.801
128,1126,6402,73.52,16.754,1.814
129,1128,6420,73.83,16.756,1.832
130,1128,6454,74.42,16.755,1.850
131,1130,6480,75.47,16.753,1.850
132,1130,6505,75.95,16.753,1.840
133,1132,6540,76.67,16.754,1.840
134,1132,6557,76.19,16.750,1.845
135,1134,6574,75.83,16.753,1.859
136,1134,6600,76.42,16.751,1.871
137,1136,6617,76.42,16.754,1.880
138,1136,6642,78.77,16.752,1.858
139,1138,6660,79.41,16.750,1.864
140,1138,6677,79.71,16.753,1.877
141,1140,6694,79.93,16.754,1.877
142,1140,6711,79.86,16.749,1.901
143,1142,6728,80.19,16.750,1.899
144,1142,6745,80.55,16.753,1.904
145,1144,6771,80.58,16.748,1.909
146,1144,6788,81.72,16.751,1.923
147,1146,6814,82.50,16.752,1.942
148,1146,6840,83.04,16.750,1.952
149,1148,6865,83.79,16.751,1.963
150,1148,6891,84.26,16.753,1.987
151,1150,6925,84.71,16.747,1.989
152,1150,6951,85.10,16.749,1.982
153,1152,6977,85.55,16.753,1.962
154,1152,7002,85.76,16.752,1.969
155,1154,7020,85.41,16.749,1.973
156,1154,7045,86.57,16.748,2.002
157,1156,7062,87.62,16.747,2.019
158,1156,7088,87.98,16.746,2.036
159,1158,7114,89.78,16.750,2.033
160,1158,7140,89.65,16.746,2.023
161,1160,7165,89.93,16.750,2.040
162,1160,7200,90.76,16.748,2.088
163,1162,7217,91.65,16.746,2.056
164,1162,7242,93.06,16.751,2.050
165,1164,7260,93.62,16.753,2.050
166,1164,7277,93.28,16.750,2.067
167,1166,7311,93.40,16.748,2.097
168,1166,7328,93.69,16.744,2.133
169,1168,7354,94.58,16.752,2.117
170,1168,7388,95.57,16.742,2.125
171,1170,7422,95.69,16.747,2.146
172,1170,7448,97.36,16.750,2.151
173,1172,7482,98.91,16.744,2.160
174,1172,7517,99.91,16.749,2.178
175,1174,7542,100.17,16.743,2.165
