seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.68,0.90,11.36,0.000
2,1000,0,0.00,12.68,0.90,11.37,0.000
3,1002,0,0.00,12.68,0.90,11.35,0.000
4,1002,0,0.00,12.68,0.89,11.30,0.000
5,1004,0,0.00,12.68,0.90,11.43,0.000
6,1004,0,0.00,12.68,0.89,11.31,0.000
7,1006,0,0.00,12.68,0.89,11.32,0.000
8,1006,0,0.00,12.68,0.90,11.38,0.000
9,1008,0,0.00,12.69,0.90,11.36,0.000
10,1008,0,0.00,12.68,0.90,11.36,0.000
11,1010,0,0.00,12.68,0.90,11.40,0.000
12,1010,0,0.00,12.68,0.89,11.34,0.000
13,1012,0,0.00,12.68,0.89,11.33,0.000
14,1012,0,0.00,12.68,0.89,11.30,0.000
15,1014,0,0.00,12.68,0.91,11.47,0.000
16,1014,0,0.00,12.68,0.91,11.47,0.000
17,1016,0,0.00,12.68,0.91,11.51,0.000
18,1016,0,0.00,12.67,1.16,14.71,0.000
19,1018,0,0.00,12.66,1.66,20.98,0.000
20,1018,0,4.39,12.67,1.83,23.19,0.189
21,1020,0,6.49,12.67,1.86,23.53,0.276
22,1020,0,7.12,12.67,1.81,22.96,0.310
23,1022,0,7.31,12.66,1.72,21.78,0.336
24,1022,0,7.91,12.67,1.58,20.05,0.394
25,1024,0,8.21,12.67,1.47,18.64,0.440
26,1024,0,8.61,12.67,1.40,17.71,0.486
27,1026,0,9.32,12.67,1.34,16.93,0.550
28,1026,0,9.68,12.67,1.27,16.10,0.601
29,1028,0,10.25,12.67,1.25,15.89,0.645
30,1028,0,10.74,12.67,1.24,15.73,0.683
31,1030,0,11.12,12.67,1.22,15.42,0.722
32,1030,0,11.70,12.67,1.21,15.32,0.763
33,1032,0,11.71,12.67,1.19,15.03,0.780
34,1032,0,12.43,12.67,1.18,14.92,0.833
35,1034,0,12.82,12.67,1.16,14.75,0.870
36,1034,0,12.88,12.67,1.15,14.57,0.884
37,1036,0,13.73,12.67,1.15,14.52,0.946
38,1036,0,13.69,12.67,1.15,14.51,0.943
39,1038,0,13.62,12.67,1.14,14.42,0.945
40,1038,0,14.27,12.67,1.14,14.41,0.990
41,1040,0,13.93,12.67,1.14,14.46,0.963
42,1040,0,14.21,12.67,1.14,14.46,0.983
43,1042,0,14.54,12.67,1.15,14.53,1.001
44,1042,0,14.63,12.67,1.15,14.60,1.002
45,1044,0,14.62,12.67,1.15,14.58,1.002
46,1044,0,14.78,12.67,1.15,14.60,1.012
47,1046,0,14.92,12.67,1.15,14.58,1.023
48,1046,0,15.18,12.67,1.15,14.60,1.040
49,1048,0,15.18,12.67,1.15,14.61,1.039
50,1048,0,15.45,12.67,1.16,14.71,1.050
51,1050,0,15.62,12.67,1.16,14.70,1.063
52,1050,0,15.77,12.67,1.17,14.86,1.062
53,1052,0,15.79,12.67,1.17,14.81,1.066
54,1052,0,15.43,12.67,1.19,15.09,1.022
55,1054,0,15.84,12.67,1.18,14.91,1.062
56,1054,0,16.39,12.67,1.17,14.83,1.106
57,1056,0,16.48,12.67,1.17,14.84,1.110
58,1056,0,16.55,12.67,1.18,14.97,1.106
59,1058,0,16.55,12.67,1.18,14.97,1.106
60,1058,0,17.24,12.67,1.20,15.18,1.135
61,1060,0,17.40,12.67,1.20,15.15,1.148
62,1060,0,17.06,12.67,1.19,15.09,1.131
63,1062,0,17.29,12.67,1.20,15.15,1.141
64,1062,0,17.59,12.67,1.20,15.25,1.153
65,1064,0,17.67,12.67,1.20,15.26,1.159
66,1064,0,18.02,12.67,1.20,15.19,1.186
67,1066,0,17.95,12.67,1.19,15.09,1.190
68,1066,0,18.51,12.67,1.21,15.32,1.208
69,1068,3677,18.83,12.67,1.20,15.26,1.234
70,1068,3694,18.93,12.67,1.21,15.34,1.234
71,1070,3720,19.31,12.67,1.22,15.46,1.249
72,1070,3737,19.48,12.67,1.22,15.46,1.260
73,1072,3762,19.67,12.67,1.21,15.39,1.278
74,1072,3780,19.89,12.67,1.22,15.51,1.282
75,1074,3805,19.82,12.67,1.24,15.67,1.265
76,1074,3822,20.46,12.67,1.24,15.71,1.302
77,1076,3848,20.34,12.67,1.24,15.70,1.295
78,1076,3865,20.23,12.67,1.24,15.64,1.293
79,1078,3882,20.45,12.67,1.24,15.69,1.304
80,1078,3908,20.75,12.67,1.25,15.79,1.314
81,1080,3934,21.30,12.67,1.24,15.72,1.354
82,1080,3960,21.02,12.67,1.25,15.78,1.332
