seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.857,0.906
2,1000,0,0.00,16.865,0.907
3,1002,0,0.00,16.863,0.907
4,1002,0,0.00,16.862,0.910
5,1004,0,0.00,16.869,0.909
6,1004,0,0.00,16.861,0.913
7,1006,0,0.00,16.865,0.904
8,1006,0,0.00,16.864,0.903
9,1008,0,0.00,16.861,0.908
10,1008,0,0.00,16.864,0.908
11,1010,0,0.00,16.864,0.909
12,1010,0,0.00,16.865,0.907
13,1012,0,0.00,16.863,0.907
14,1012,0,0.00,16.855,0.904
15,1014,0,0.00,16.855,0.908
16,1014,0,0.00,16.850,0.924
17,1016,0,0.00,16.853,0.935
18,1016,0,0.00,16.833,1.253
19,1018,0,0.00,16.828,1.759
20,1018,0,5.54,16.834,1.850
21,1020,0,8.88,16.835,1.742
22,1020,0,10.78,16.838,1.606
23,1022,0,13.12,16.833,1.496
24,1022,0,14.23,16.842,1.456
25,1024,0,14.11,16.837,1.425
26,1024,0,14.56,16.838,1.388
27,1026,0,15.68,16.840,1.336
28,1026,0,16.72,16.842,1.304
29,1028,0,17.41,16.838,1.262
30,1028,0,18.32,16.841,1.256
31,1030,0,18.50,16.840,1.231
32,1030,0,19.75,16.838,1.228
33,1032,0,20.02,16.842,1.227
34,1032,0,20.44,16.843,1.208
35,1034,0,21.01,16.843,1.205
36,1034,0,21.15,16.843,1.205
37,1036,3831,21.58,16.846,1.213
38,1036,3874,23.04,16.844,1.222
39,1038,3917,23.74,16.842,1.216
40,1038,3960,23.71,16.844,1.214
41,1040,3994,23.60,16.843,1.211
42,1040,4028,23.93,16.843,1.247
43,1042,4071,24.21,16.842,1.236
44,1042,4105,24.22,16.843,1.230
45,1044,4140,25.64,16.844,1.238
46,1044,4174,25.62,16.846,1.234
47,1046,4208,26.43,16.841,1.243
48,1046,4242,27.07,16.842,1.249
49,1048,4268,26.82,16.843,1.248
50,1048,4302,27.23,16.843,1.261
51,1050,4337,27.76,16.840,1.253
52,1050,4362,28.60,16.844,1.263
53,1052,4405,28.91,16.846,1.264
54,1052,4440,28.92,16.844,1.268
55,1054,4474,29.68,16.841,1.275
56,1054,4508,30.29,16.845,1.280
57,1056,4542,29.92,16.841,1.288
58,1056,4577,30.24,16.843,1.265
59,1058,4602,30.61,16.839,1.281
60,1058,4637,30.72,16.841,1.306
61,1060,4671,31.11,16.842,1.300
62,1060,4697,31.76,16.846,1.297
63,1062,4731,32.52,16.838,1.301
64,1062,4765,32.43,16.840,1.309
65,1064,4800,32.05,16.842,1.321
66,1064,4825,33.07,16.840,1.345
67,1066,4868,32.97,16.842,1.331
68,1066,4911,33.47,16.841,1.343
69,1068,4945,34.00,16.844,1.340
70,1068,4980,33.86,16.840,1.342
71,1070,5022,35.04,16.838,1.343
72,1070,5048,35.55,16.844,1.351
73,1072,5082,35.31,16.842,1.350
74,1072,5117,35.90,16.843,1.359
75,1074,5151,36.17,16.843,1.352
76,1074,5177,36.56,16.836,1.356
77,1076,5211,36.18,16.845,1.387
78,1076,5245,36.61,16.841,1.378
79,1078,5271,37.23,16.842,1.376
80,1078,5305,37.43,16.836,1.392
81,1080,5340,38.50,16.836,1.384
82,1080,5365,38.20,16.843,1.396
83,1082,5400,38.07,16.840,1.413
84,1082,5434,39.18,16.841,1.419
85,1084,5477,39.56,16.841,1.421
86,1084,5511,39.72,16.840,1.435
87,1086,5545,39.93,16.837,1.427
88,1086,5580,40.32,16.839,1.444
89,1088,5622,40.85,16.838,1.432
90,1088,5648,40.52,16.841,1.427
91,1090,5682,40.77,16.843,1.433
92,1090,5717,41.59,16.839,1.458
93,1092,5742,42.00,16.837,1.452
94,1092,5768,41.93,16.837,1.453
95,1094,5802,42.74,16.838,1.470
96,1094,5837,43.04,16.833,1.491
97,1096,5871,43.68,16.833,1.476
98,1096,5905,43.16,16.839,1.469
99,1098,5940,43.54,16.838,1.485
100,1098,5965,44.84,16.836,1.489
101,1100,5991,45.13,16.836,1.482
102,1100,6025,45.83,16.838,1.489
103,1102,6051,45.55,16.836,1.496
104,1102,6077,45.86,16.839,1.506
105,1104,6111,46.55,16.835,1.512
106,1104,6145,47.13,16.836,1.515
107,1106,6171,47.55,16.836,1.527
108,1106,6205,47.97,16.840,1.538
109,1108,6231,48.61,16.838,1.550
110,1108,6265,49.76,16.833,1.548
111,1110,6300,49.80,16.834,1.545
112,1110,6334,50.18,16.834,1.564
113,1112,6368,50.32,16.831,1.564
114,1112,6394,50.01,16.835,1.563
115,1114,6428,50.35,16.835,1.573
116,1114,6454,51.53,16.839,1.569
