seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.812,0.921
2,1000,0,0.00,16.814,0.927
3,1002,0,0.00,16.817,0.927
4,1002,0,0.00,16.810,0.934
5,1004,0,0.00,16.812,0.934
6,1004,0,0.00,16.820,0.929
7,1006,0,0.00,16.815,0.921
8,1006,0,0.00,16.813,0.927
9,1008,0,0.00,16.816,0.930
10,1008,0,0.00,16.813,0.930
11,1010,0,0.00,16.811,0.922
12,1010,0,0.00,16.813,0.929
13,1012,0,0.00,16.813,0.931
14,1012,0,0.00,16.811,0.923
15,1014,0,0.00,16.804,0.932
16,1014,0,0.00,16.804,0.942
17,1016,0,0.00,16.802,0.943
18,1016,0,0.00,16.787,1.291
19,1018,0,0.00,16.783,1.852
20,1018,0,3.69,16.783,2.006
21,1020,0,6.11,16.784,1.920
22,1020,0,8.37,16.787,1.800
23,1022,0,10.11,16.786,1.666
24,1022,0,14.07,16.787,1.576
25,1024,0,15.13,16.787,1.544
26,1024,0,16.91,16.784,1.533
27,1026,0,19.60,16.790,1.480
28,1026,0,21.14,16.788,1.442
29,1028,0,23.74,16.789,1.417
30,1028,0,25.02,16.792,1.386
31,1030,0,27.58,16.790,1.358
32,1030,0,29.31,16.790,1.345
33,1032,0,30.60,16.794,1.330
34,1032,0,31.59,16.794,1.323
35,1034,0,32.56,16.792,1.313
36,1034,0,32.67,16.796,1.313
37,1036,0,33.54,16.793,1.305
38,1036,0,34.30,16.798,1.331
39,1038,0,34.40,16.790,1.322
40,1038,0,35.76,16.793,1.319
41,1040,3754,35.86,16.791,1.312
42,1040,3797,36.50,16.795,1.330
43,1042,3831,37.18,16.796,1.344
44,1042,3874,37.45,16.796,1.341
45,1044,3908,38.23,16.792,1.333
46,1044,3934,39.67,16.792,1.335
47,1046,3968,41.47,16.795,1.341
48,1046,3994,42.15,16.793,1.345
49,1048,4020,42.28,16.789,1.352
50,1048,4045,42.52,16.791,1.359
51,1050,4071,42.54,16.796,1.357
52,1050,4097,42.28,16.790,1.362
53,1052,4122,43.13,16.796,1.380
54,1052,4148,43.34,16.789,1.384
55,1054,4174,44.09,16.793,1.394
56,1054,4200,44.69,16.789,1.398
57,1056,4225,45.04,16.789,1.395
58,1056,4251,45.78,16.790,1.402
59,1058,4285,46.53,16.791,1.418
60,1058,4311,47.13,16.787,1.437
61,1060,4337,48.80,16.795,1.447
62,1060,4371,49.27,16.789,1.445
63,1062,4405,49.53,16.789,1.450
64,1062,4440,49.73,16.791,1.454
65,1064,4465,50.28,16.794,1.461
66,1064,4500,50.79,16.795,1.473
67,1066,4525,51.43,16.790,1.478
68,1066,4560,52.02,16.791,1.491
69,1068,4594,53.26,16.791,1.486
70,1068,4620,54.52,16.789,1.489
71,1070,4654,56.21,16.788,1.492
72,1070,4671,56.63,16.790,1.493
73,1072,4705,56.65,16.792,1.509
74,1072,4740,57.03,16.791,1.516
75,1074,4765,56.40,16.788,1.530
76,1074,4800,57.20,16.788,1.552
77,1076,4834,57.09,16.790,1.545
78,1076,4868,57.46,16.786,1.542
79,1078,4894,59.48,16.793,1.554
80,1078,4928,61.01,16.798,1.562
81,1080,4954,61.46,16.789,1.561
82,1080,4980,62.70,16.793,1.588
83,1082,5005,62.49,16.790,1.585
84,1082,5031,62.90,16.791,1.581
85,1084,5065,62.80,16.789,1.585
86,1084,5091,62.99,16.790,1.607
87,1086,5117,64.15,16.786,1.622
88,1086,5151,64.73,16.786,1.613
89,1088,5177,67.93,16.789,1.627
90,1088,5211,68.55,16.787,1.657
91,1090,5237,68.79,16.785,1.633
92,1090,5271,68.76,16.789,1.641
93,1092,5297,68.48,16.786,1.649
94,1092,5322,69.16,16.787,1.655
95,1094,5340,70.15,16.786,1.659
96,1094,5365,71.74,16.784,1.668
97,1096,5391,73.75,16.786,1.687
98,1096,5425,74.19,16.787,1.713
99,1098,5451,74.00,16.785,1.693
100,1098,5477,74.11,16.790,1.708
101,1100,5511,73.44,16.793,1.706
102,1100,5528,74.46,16.783,1.714
103,1102,5554,75.22,16.786,1.726
104,1102,5580,77.19,16.785,1.728
105,1104,5597,77.83,16.788,1.740
106,1104,5631,77.51,16.784,1.765
107,1106,5648,78.41,16.787,1.760
108,1106,5682,79.35,16.787,1.771
109,1108,5708,79.96,16.783,1.777
110,1108,5742,81.27,16.786,1.775
111,1110,5760,80.05,16.785,1.785
112,1110,5785,81.29,16.782,1.812
113,1112,5811,82.52,16.783,1.816
114,1112,5828,83.64,16.784,1.859
115,1114,5862,85.18,16.786,1.850
116,1114,5888,86.10,16.788,1.847
117,1116,5922,86.52,16.783,1.853
118,1116,5940,87.17,16.785,1.842
119,1118,5974,87.04,16.779,1.849
120,1118,5991,88.09,16.782,1.846
121,1120,6017,89.20,16.783,1.866
122,1120,6034,89.84,16.785,1.885
123,1122,6060,91.15,16.785,1.893
124,1122,6085,91.29,16.781,1.928
125,1124,6111,91.86,16.777,1.923
126,1124,6137,92.06,16.778,1.925
127,1126,6162,92.13,16.784,1.925
128,1126,6188,93.41,16.786,1.937
129,1128,6214,94.55,16.777,1.942
130,1128,6231,95.37,16.784,1.952
131,1130,6257,96.37,16.780,1.971
132,1130,6282,97.03,16.782,1.972
133,1132,6308,97.28,16.774,1.970
134,1132,6334,96.92,16.778,2.004
135,1134,6360,97.57,16.782,2.015
136,1134,6385,99.11,16.776,2.025
137,1136,6411,99.59,16.778,2.013
138,1136,6428,101.34,16.781,2.026
139,1138,6454,102.53,16.780,2.021
140,1138,6480,102.50,16.779,2.044
141,1140,6497,102.51,16.781,2.047
142,1140,6514,102.44,16.779,2.034
143,1142,6540,103.27,16.776,2.041
144,1142,6565,104.52,16.777,2.054
145,1144,6565,105.33,16.776,2.060
146,1144,6591,106.91,16.776,2.078
147,1146,6608,106.86,16.778,2.074
148,1146,6625,106.94,16.777,2.058
149,1148,6651,106.92,16.779,2.080
150,1148,6660,106.96,16.779,2.082
151,1150,6677,107.95,16.781,2.100
152,1150,6694,109.42,16.778,2.109
153,1152,6711,110.35,16.777,2.113
154,1152,6728,110.54,16.773,2.131
155,1154,6745,109.83,16.772,2.134
156,1154,6762,110.38,16.776,2.127
157,1156,6780,111.94,16.775,2.136
158,1156,6805,112.07,16.774,2.169
159,1158,6822,113.57,16.777,2.182
160,1158,6857,114.64,16.775,2.191
161,1160,6874,114.72,16.775,2.189
162,1160,6917,115.32,16.772,2.260
163,1162,6942,115.43,16.772,2.241
164,1162,6968,117.48,16.775,2.233
165,1164,6994,119.22,16.777,2.234
166,1164,7020,120.11,16.774,2.254
167,1166,7045,120.73,16.775,2.251
168,1166,7071,119.14,16.770,2.275
169,1168,7088,120.02,16.773,2.300
170,1168,7114,121.20,16.773,2.310
171,1170,7148,122.74,16.774,2.311
172,1170,7174,125.21,16.775,2.333
173,1172,7200,125.93,16.777,2.332
174,1172,7234,125.49,16.772,2.378
175,1174,7260,126.02,16.769,2.376
176,1174,7285,127.32,16.771,2.366
177,1176,7311,129.89,16.773,2.367
178,1176,7345,131.23,16.774,2.406
179,1178,7371,132.34,16.772,2.411
180,1178,7397,132.86,16.775,2.414
