seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.829,0.829
2,1000,0,0.00,16.832,0.833
3,1002,0,0.00,16.837,0.823
4,1002,0,0.00,16.834,0.831
5,1004,0,0.00,16.828,0.835
6,1004,0,0.00,16.828,0.832
7,1006,0,0.00,16.830,0.821
8,1006,0,0.00,16.831,0.826
9,1008,0,0.00,16.834,0.837
10,1008,0,0.00,16.833,0.834
11,1010,0,0.00,16.833,0.841
12,1010,0,0.00,16.834,0.828
13,1012,0,0.00,16.832,0.843
14,1012,0,0.00,16.828,0.823
15,1014,0,0.00,16.825,0.843
16,1014,0,0.00,16.829,0.837
17,1016,0,0.00,16.825,0.851
18,1016,0,0.00,16.813,1.193
19,1018,0,0.00,16.809,1.517
20,1018,0,1.78,16.809,1.395
21,1020,0,4.18,16.816,1.225
22,1020,0,10.44,16.818,1.116
23,1022,0,10.07,16.816,1.095
24,1022,0,11.08,16.816,1.064
25,1024,0,12.24,16.820,1.052
26,1024,0,12.34,16.819,1.024
27,1026,0,13.29,16.818,1.003
28,1026,0,13.83,16.818,1.005
29,1028,0,13.99,16.813,1.000
30,1028,0,14.48,16.814,0.995
31,1030,0,14.06,16.815,0.995
32,1030,0,14.15,16.813,0.997
33,1032,0,14.21,16.819,1.007
34,1032,0,13.99,16.820,1.001
35,1034,0,14.69,16.819,0.998
36,1034,0,14.26,16.820,1.009
37,1036,0,15.05,16.818,0.992
38,1036,0,15.00,16.819,1.011
39,1038,3694,14.45,16.813,1.004
40,1038,3711,14.99,16.817,1.027
41,1040,3737,14.77,16.819,1.015
42,1040,3762,14.78,16.818,1.020
43,1042,3788,15.39,16.820,1.026
44,1042,3822,15.17,16.819,1.018
45,1044,3848,15.84,16.820,1.024
46,1044,3874,15.59,16.817,1.034
47,1046,3900,15.64,16.819,1.034
48,1046,3934,16.22,16.820,1.041
49,1048,3968,16.28,16.818,1.045
50,1048,3994,16.71,16.820,1.044
51,1050,4028,17.12,16.818,1.033
52,1050,4062,17.35,16.810,1.051
53,1052,4097,18.01,16.818,1.050
54,1052,4131,17.83,16.820,1.048
55,1054,4157,18.08,16.815,1.045
56,1054,4174,18.35,16.817,1.053
57,1056,4200,17.80,16.817,1.045
58,1056,4225,18.46,16.814,1.063
59,1058,4260,18.32,16.817,1.071
60,1058,4285,18.32,16.817,1.068
61,1060,4320,19.31,16.818,1.065
62,1060,4354,19.37,16.817,1.063
63,1062,4388,19.46,16.814,1.075
64,1062,4422,19.43,16.815,1.070
65,1064,4448,20.09,16.813,1.073
66,1064,4474,20.60,16.822,1.084
67,1066,4508,20.57,16.814,1.078
68,1066,4534,20.72,16.816,1.095
69,1068,4568,20.77,16.815,1.093
70,1068,4602,20.68,16.810,1.096
71,1070,4645,20.99,16.810,1.105
72,1070,4680,21.33,16.817,1.105
73,1072,4714,22.37,16.818,1.094
74,1072,4740,22.37,16.814,1.091
75,1074,4757,21.65,16.811,1.100
76,1074,4782,22.16,16.817,1.108
77,1076,4800,22.28,16.814,1.114
78,1076,4825,22.22,16.811,1.122
79,1078,4860,22.38,16.810,1.109
80,1078,4894,22.47,16.813,1.120
81,1080,4928,23.44,16.821,1.117
82,1080,4962,23.90,16.818,1.127
83,1082,4997,24.05,16.819,1.140
84,1082,5031,24.50,16.814,1.140
85,1084,5065,24.11,16.815,1.147
86,1084,5108,24.14,16.815,1.140
87,1086,5134,24.28,16.817,1.136
88,1086,5168,24.66,16.811,1.142
89,1088,5202,25.34,16.807,1.145
90,1088,5220,25.54,16.812,1.149
91,1090,5228,25.73,16.818,1.143
92,1090,5254,26.20,16.813,1.150
93,1092,5280,25.84,16.810,1.158
94,1092,5314,27.04,16.814,1.166
95,1094,5348,27.27,16.817,1.161
96,1094,5391,27.01,16.813,1.160
97,1096,5417,27.62,16.815,1.162
98,1096,5451,27.39,16.814,1.176
99,1098,5485,27.67,16.809,1.185
100,1098,5520,28.34,16.810,1.185
101,1100,5554,29.46,16.810,1.183
102,1100,5588,29.84,16.822,1.193
103,1102,5622,29.82,16.808,1.190
104,1102,5657,30.02,16.813,1.202
105,1104,5691,30.65,16.812,1.182
106,1104,5725,30.80,16.810,1.191
107,1106,5742,31.26,16.817,1.200
108,1106,5777,31.78,16.811,1.201
109,1108,5802,31.87,16.809,1.201
110,1108,5828,32.70,16.814,1.195
111,1110,5854,32.47,16.811,1.216
112,1110,5888,32.91,16.816,1.229
113,1112,5914,33.53,16.814,1.212
114,1112,5948,33.45,16.814,1.227
115,1114,5982,34.65,16.808,1.229
116,1114,6017,34.21,16.815,1.240
117,1116,6051,34.50,16.812,1.241
118,1116,6077,34.79,16.810,1.247
119,1118,6111,35.17,16.819,1.249
120,1118,6154,35.50,16.813,1.264
121,1120,6188,35.72,16.814,1.258
122,1120,6214,36.13,16.805,1.253
123,1122,6248,36.47,16.808,1.244
124,1122,6274,35.83,16.810,1.254
125,1124,6291,36.40,16.806,1.270
126,1124,6308,37.21,16.807,1.272
127,1126,6351,37.15,16.811,1.260
128,1126,6377,37.36,16.814,1.277
129,1128,6402,37.94,16.807,1.284
130,1128,6445,38.47,16.810,1.303
131,1130,6471,38.82,16.811,1.300
132,1130,6505,39.06,16.815,1.301
133,1132,6540,40.05,16.806,1.285
134,1132,6565,40.00,16.810,1.294
135,1134,6591,39.79,16.812,1.323
136,1134,6625,40.61,16.812,1.324
137,1136,6660,41.28,16.808,1.318
138,1136,6694,42.11,16.805,1.307
139,1138,6720,42.01,16.809,1.310
140,1138,6737,41.64,16.809,1.317
141,1140,6762,42.10,16.813,1.327
142,1140,6805,42.40,16.813,1.348
143,1142,6840,42.66,16.811,1.339
144,1142,6865,44.33,16.815,1.336
145,1144,6908,43.46,16.814,1.357
146,1144,6942,44.35,16.810,1.362
147,1146,6977,44.88,16.810,1.358
148,1146,7011,45.25,16.807,1.347
149,1148,7045,46.46,16.808,1.353
150,1148,7062,45.71,16.811,1.359
151,1150,7080,46.44,16.821,1.352
152,1150,7097,45.99,16.806,1.374
153,1152,7114,46.25,16.809,1.367
154,1152,7148,46.74,16.812,1.362
155,1154,7157,46.68,16.810,1.369
156,1154,7191,46.80,16.811,1.386
157,1156,7217,46.99,16.812,1.384
158,1156,7234,47.78,16.812,1.369
159,1158,7260,48.23,16.810,1.392
160,1158,7277,48.22,16.807,1.391
161,1160,7302,48.64,16.807,1.395
162,1160,7337,49.67,16.811,1.394
163,1162,7371,49.49,16.813,1.409
164,1162,7397,49.72,16.810,1.409
165,1164,7422,50.45,16.815,1.411
166,1164,7448,50.67,16.803,1.412
167,1166,7465,51.33,16.807,1.419
168,1166,7500,50.88,16.814,1.428
169,1168,7525,50.60,16.806,1.427
170,1168,7542,51.38,16.807,1.425
171,1170,7560,51.10,16.806,1.416
172,1170,7594,52.34,16.812,1.450
173,1172,7620,52.17,16.805,1.459
174,1172,7645,52.93,16.809,1.435
175,1174,7680,53.43,16.810,1.431
176,1174,7705,53.28,16.804,1.443
177,1176,7731,53.66,16.809,1.453
178,1176,7748,54.48,16.804,1.449
179,1178,7774,55.46,16.808,1.459
180,1178,7800,55.39,16.809,1.476
181,1180,7834,55.71,16.810,1.483
182,1180,7877,56.66,16.807,1.480
183,1182,7902,57.15,16.810,1.483
184,1182,7928,57.19,16.810,1.479
185,1184,7954,57.85,16.804,1.479
186,1184,7988,57.92,16.810,1.478
187,1186,8014,58.23,16.803,1.503
188,1186,8031,58.45,16.806,1.495
189,1188,8057,58.79,16.807,1.506
190,1188,8082,59.70,16.807,1.521
191,1190,8134,60.07,16.808,1.523
192,1190,8160,59.74,16.810,1.511
193,1192,8194,60.93,16.807,1.527
194,1192,8220,61.21,16.803,1.535
195,1194,8254,62.01,16.812,1.535
196,1194,8280,62.19,16.809,1.525
197,1196,8305,62.04,16.810,1.545
198,1196,8348,63.03,16.801,1.548
