seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.80,0.82,13.84,0.000
2,1000,0,0.00,16.80,0.82,13.80,0.000
3,1002,0,0.00,16.80,0.82,13.81,0.000
4,1002,0,0.00,16.80,0.83,13.87,0.000
5,1004,0,0.00,16.80,0.82,13.79,0.000
6,1004,0,0.00,16.80,0.82,13.86,0.000
7,1006,0,0.00,16.80,0.82,13.80,0.000
8,1006,0,0.00,16.80,0.83,13.95,0.000
9,1008,0,0.00,16.80,0.82,13.85,0.000
10,1008,0,0.00,16.80,0.82,13.85,0.000
11,1010,0,0.00,16.80,0.81,13.68,0.000
12,1010,0,0.00,16.80,0.83,13.93,0.000
13,1012,0,0.00,16.80,0.83,13.96,0.000
14,1012,0,0.00,16.79,0.82,13.85,0.000
15,1014,0,0.00,16.79,0.83,14.01,0.000
16,1014,0,0.00,16.79,0.84,14.06,0.000
17,1016,0,0.00,16.79,0.84,14.18,0.000
18,1016,0,0.00,16.77,1.11,18.69,0.000
19,1018,0,0.00,16.77,1.54,25.84,0.000
20,1018,0,2.60,16.77,1.52,25.46,0.102
21,1020,0,6.97,16.78,1.35,22.73,0.307
22,1020,0,10.52,16.78,1.23,20.58,0.511
23,1022,0,12.02,16.78,1.16,19.41,0.619
24,1022,0,12.54,16.78,1.14,19.11,0.656
25,1024,0,13.54,16.78,1.12,18.81,0.720
26,1024,0,14.03,16.78,1.09,18.35,0.764
27,1026,0,15.46,16.78,1.07,17.96,0.861
28,1026,0,15.97,16.78,1.05,17.66,0.905
29,1028,0,16.86,16.78,1.03,17.31,0.974
30,1028,0,17.17,16.78,1.03,17.29,0.993
31,1030,0,17.40,16.78,1.03,17.29,1.006
32,1030,0,17.38,16.78,1.03,17.28,1.005
33,1032,0,17.77,16.78,1.02,17.15,1.036
34,1032,0,17.44,16.78,1.02,17.14,1.017
35,1034,0,17.84,16.78,1.02,17.11,1.043
36,1034,0,17.95,16.78,1.02,17.09,1.050
37,1036,0,17.81,16.78,1.03,17.27,1.031
38,1036,0,18.52,16.78,1.03,17.23,1.075
39,1038,0,18.74,16.78,1.03,17.34,1.081
40,1038,0,19.03,16.78,1.02,17.13,1.111
41,1040,3702,19.63,16.78,1.03,17.30,1.134
42,1040,3720,19.54,16.78,1.04,17.43,1.121
43,1042,3745,19.62,16.78,1.04,17.53,1.119
44,1042,3780,20.02,16.78,1.05,17.56,1.140
45,1044,3805,20.46,16.78,1.04,17.43,1.174
46,1044,3831,21.02,16.78,1.05,17.65,1.191
47,1046,3857,21.05,16.78,1.04,17.44,1.207
48,1046,3891,21.70,16.78,1.05,17.59,1.234
