seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.835,0.837
2,1000,0,0.00,16.838,0.828
3,1002,0,0.00,16.835,0.833
4,1002,0,0.00,16.836,0.832
5,1004,0,0.00,16.839,0.835
6,1004,0,0.00,16.838,0.832
7,1006,0,0.00,16.836,0.828
8,1006,0,0.00,16.831,0.826
9,1008,0,0.00,16.834,0.822
10,1008,0,0.00,16.836,0.821
11,1010,0,0.00,16.839,0.826
12,1010,0,0.00,16.839,0.826
13,1012,0,0.00,16.834,0.829
14,1012,0,0.00,16.825,0.824
15,1014,0,0.00,16.827,0.839
16,1014,0,0.00,16.830,0.852
17,1016,0,0.00,16.826,0.849
18,1016,0,0.00,16.821,1.063
19,1018,0,0.00,16.815,1.669
20,1018,0,2.77,16.813,1.861
21,1020,0,7.24,16.817,1.733
22,1020,0,9.84,16.816,1.519
23,1022,0,11.48,16.813,1.348
24,1022,0,13.03,16.814,1.236
25,1024,0,14.67,16.814,1.214
26,1024,0,14.54,16.825,1.195
27,1026,0,15.93,16.814,1.168
28,1026,0,17.70,16.817,1.140
29,1028,0,19.17,16.819,1.124
30,1028,0,20.42,16.820,1.099
31,1030,0,20.21,16.822,1.082
32,1030,0,19.99,16.817,1.085
33,1032,0,21.14,16.811,1.081
34,1032,0,21.34,16.820,1.073
35,1034,0,21.96,16.818,1.063
36,1034,0,22.50,16.820,1.061
37,1036,0,22.89,16.817,1.080
38,1036,0,23.53,16.822,1.074
39,1038,0,22.79,16.816,1.074
40,1038,0,23.36,16.820,1.077
41,1040,0,23.77,16.824,1.078
42,1040,0,23.13,16.818,1.096
43,1042,0,24.36,16.821,1.090
44,1042,0,24.40,16.821,1.104
45,1044,3694,25.05,16.819,1.090
46,1044,3720,25.58,16.823,1.096
47,1046,3745,25.10,16.821,1.085
48,1046,3771,25.25,16.821,1.090
49,1048,3797,25.51,16.822,1.104
50,1048,3822,26.15,16.819,1.118
51,1050,3848,26.58,16.815,1.118
52,1050,3874,26.39,16.817,1.110
53,1052,3900,26.78,16.815,1.118
54,1052,3925,27.18,16.822,1.129
55,1054,3960,27.69,16.815,1.126
56,1054,3977,28.87,16.819,1.125
57,1056,4002,28.58,16.818,1.123
58,1056,4028,29.47,16.821,1.148
59,1058,4062,29.79,16.817,1.143
60,1058,4080,29.82,16.815,1.157
61,1060,4114,30.57,16.819,1.163
62,1060,4140,31.13,16.821,1.156
63,1062,4165,31.46,16.815,1.149
64,1062,4200,31.91,16.821,1.156
65,1064,4225,31.74,16.823,1.167
66,1064,4251,32.69,16.818,1.178
67,1066,4277,33.11,16.822,1.172
68,1066,4302,33.30,16.822,1.144
69,1068,4328,33.90,16.818,1.153
70,1068,4354,33.64,16.819,1.190
71,1070,4371,33.69,16.814,1.188
72,1070,4397,34.57,16.816,1.199
73,1072,4422,34.79,16.821,1.221
74,1072,4457,35.81,16.815,1.215
75,1074,4491,35.81,16.817,1.215
76,1074,4525,36.12,16.816,1.215
77,1076,4560,37.34,16.813,1.235
78,1076,4594,37.40,16.819,1.232
79,1078,4620,39.20,16.817,1.223
80,1078,4645,38.98,16.816,1.236
81,1080,4680,38.92,16.818,1.238
82,1080,4714,39.78,16.822,1.261
83,1082,4740,40.22,16.819,1.263
84,1082,4774,40.72,16.815,1.251
85,1084,4800,41.46,16.819,1.241
86,1084,4825,41.69,16.820,1.258
87,1086,4851,42.98,16.814,1.268
88,1086,4885,43.03,16.812,1.268
89,1088,4911,44.06,16.818,1.267
90,1088,4937,44.68,16.818,1.275
91,1090,4962,44.43,16.818,1.263
