seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.74,0.83,13.90,0.000
2,1000,0,0.00,16.74,0.83,13.87,0.000
3,1002,0,0.00,16.74,0.83,13.92,0.000
4,1002,0,0.00,16.74,0.83,13.87,0.000
5,1004,0,0.00,16.74,0.83,13.91,0.000
6,1004,0,0.00,16.74,0.82,13.78,0.000
7,1006,0,0.00,16.74,0.83,13.86,0.000
8,1006,0,0.00,16.75,0.84,14.02,0.000
9,1008,0,0.00,16.74,0.83,13.85,0.000
10,1008,0,0.00,16.75,0.83,13.90,0.000
11,1010,0,0.00,16.74,0.82,13.81,0.000
12,1010,0,0.00,16.74,0.83,13.84,0.000
13,1012,0,0.00,16.74,0.83,13.89,0.000
14,1012,0,0.00,16.74,0.82,13.79,0.000
15,1014,0,0.00,16.74,0.83,13.95,0.000
16,1014,0,0.00,16.74,0.84,14.14,0.000
17,1016,0,0.00,16.74,0.85,14.18,0.000
18,1016,0,0.00,16.72,1.07,17.95,0.000
19,1018,0,0.00,16.72,1.63,27.32,0.000
20,1018,0,5.45,16.72,1.86,31.09,0.175
21,1020,0,7.69,16.71,1.90,31.73,0.242
22,1020,0,10.51,16.72,1.81,30.19,0.348
23,1022,0,11.28,16.72,1.66,27.67,0.408
24,1022,0,14.02,16.72,1.53,25.55,0.549
25,1024,0,16.70,16.72,1.43,23.92,0.698
26,1024,0,18.80,16.72,1.40,23.35,0.805
27,1026,0,20.53,16.72,1.36,22.73,0.903
28,1026,0,22.71,16.72,1.36,22.68,1.001
29,1028,0,24.32,16.72,1.33,22.18,1.096
30,1028,0,27.34,16.73,1.29,21.63,1.264
31,1030,0,29.16,16.73,1.26,21.04,1.386
32,1030,0,30.48,16.73,1.25,20.94,1.456
33,1032,0,31.95,16.72,1.23,20.57,1.553
34,1032,0,32.98,16.72,1.21,20.23,1.631
35,1034,0,33.99,16.72,1.19,19.98,1.701
36,1034,0,35.11,16.72,1.19,19.92,1.762
37,1036,0,36.22,16.73,1.19,19.93,1.818
38,1036,0,37.77,16.72,1.20,20.04,1.885
39,1038,0,38.00,16.73,1.20,20.05,1.895
40,1038,0,39.17,16.73,1.20,20.03,1.956
41,1040,0,40.38,16.73,1.19,19.91,2.028
42,1040,0,40.79,16.73,1.20,20.03,2.036
43,1042,0,41.23,16.73,1.20,20.00,2.062
44,1042,0,41.66,16.73,1.20,20.07,2.075
45,1044,0,42.31,16.72,1.20,20.09,2.106
46,1044,0,43.38,16.72,1.20,20.07,2.162
47,1046,0,44.34,16.73,1.20,20.00,2.217
48,1046,0,45.40,16.73,1.21,20.21,2.246
49,1048,0,45.44,16.73,1.22,20.37,2.230
50,1048,0,45.38,16.73,1.22,20.35,2.229
51,1050,0,46.14,16.73,1.23,20.50,2.251
52,1050,0,47.05,16.73,1.23,20.52,2.293
53,1052,0,48.08,16.73,1.22,20.48,2.348
54,1052,0,48.36,16.73,1.25,20.84,2.320
55,1054,3677,48.53,16.73,1.23,20.63,2.353
56,1054,3694,49.50,16.73,1.23,20.62,2.400
57,1056,3720,49.63,16.72,1.24,20.78,2.389
58,1056,3745,49.49,16.73,1.26,21.03,2.353
59,1058,3771,50.42,16.73,1.26,21.11,2.389
60,1058,3797,51.19,16.73,1.27,21.19,2.416
61,1060,3822,52.64,16.73,1.27,21.22,2.481
62,1060,3840,53.06,16.73,1.27,21.29,2.492
63,1062,3865,53.25,16.72,1.28,21.34,2.496
64,1062,3891,54.12,16.72,1.29,21.56,2.510
65,1064,3908,54.39,16.73,1.30,21.72,2.505
66,1064,3934,54.88,16.73,1.30,21.69,2.530
67,1066,3960,55.71,16.73,1.30,21.74,2.562
68,1066,3985,56.00,16.72,1.30,21.73,2.577
69,1068,4002,56.98,16.72,1.31,21.84,2.609
70,1068,4028,57.45,16.72,1.32,22.13,2.596
71,1070,4054,57.77,16.72,1.32,22.11,2.612
72,1070,4071,58.70,16.72,1.33,22.18,2.647
73,1072,4097,59.49,16.72,1.34,22.36,2.660
74,1072,4122,60.59,16.72,1.35,22.66,2.674
75,1074,4140,61.17,16.72,1.36,22.78,2.685
76,1074,4165,61.77,16.72,1.38,23.03,2.683
77,1076,4191,62.79,16.72,1.38,23.01,2.728
78,1076,4225,63.36,16.72,1.38,23.14,2.738
79,1078,4242,64.06,16.72,1.38,23.13,2.770
80,1078,4268,64.91,16.72,1.39,23.22,2.796
81,1080,4294,65.19,16.72,1.41,23.50,2.774
82,1080,4320,66.13,16.73,1.41,23.52,2.812
83,1082,4345,66.30,16.72,1.40,23.44,2.829
84,1082,4371,66.87,16.72,1.42,23.73,2.818
85,1084,4397,67.72,16.73,1.44,24.08,2.813
86,1084,4422,67.94,16.72,1.45,24.30,2.795
87,1086,4448,68.86,16.72,1.45,24.17,2.849
88,1086,4474,69.86,16.72,1.44,24.05,2.904
89,1088,4500,70.84,16.72,1.44,24.08,2.943
90,1088,4525,71.35,16.72,1.46,24.38,2.927
91,1090,4551,71.74,16.72,1.47,24.52,2.926
92,1090,4568,72.64,16.72,1.47,24.55,2.959
93,1092,4594,73.79,16.72,1.46,24.47,3.015
94,1092,4611,74.23,16.72,1.48,24.66,3.010
95,1094,4637,75.01,16.72,1.48,24.80,3.024
96,1094,4654,75.44,16.72,1.50,25.02,3.015
97,1096,4680,76.52,16.72,1.51,25.21,3.036
98,1096,4697,77.62,16.72,1.52,25.46,3.049
99,1098,4714,78.02,16.72,1.52,25.45,3.066
100,1098,4740,79.09,16.72,1.52,25.41,3.112
101,1100,4765,79.84,16.72,1.52,25.49,3.133
102,1100,4791,80.81,16.72,1.54,25.77,3.136
103,1102,4808,82.05,16.72,1.55,25.99,3.157
104,1102,4834,82.32,16.72,1.55,25.88,3.181
105,1104,4860,83.40,16.72,1.56,26.14,3.190
106,1104,4877,84.13,16.72,1.58,26.47,3.179
107,1106,4902,84.19,16.72,1.57,26.27,3.204
108,1106,4928,85.13,16.72,1.59,26.56,3.205
109,1108,4954,86.06,16.72,1.59,26.65,3.229
110,1108,4980,86.88,16.72,1.60,26.72,3.251
111,1110,4997,87.68,16.72,1.59,26.65,3.290
112,1110,5022,87.71,16.72,1.62,27.02,3.246
113,1112,5040,88.73,16.72,1.62,27.16,3.267
114,1112,5065,89.36,16.72,1.63,27.32,3.271
115,1114,5082,89.64,16.72,1.64,27.41,3.270
116,1114,5108,91.12,16.72,1.64,27.43,3.322
117,1116,5125,91.47,16.72,1.65,27.59,3.315
118,1116,5151,92.52,16.72,1.66,27.78,3.330
119,1118,5168,92.91,16.72,1.67,27.94,3.325
120,1118,5185,93.46,16.72,1.67,27.84,3.357
121,1120,5211,94.22,16.72,1.67,27.96,3.370
122,1120,5228,94.65,16.71,1.69,28.21,3.355
123,1122,5245,95.60,16.71,1.70,28.46,3.359
124,1122,5271,96.51,16.72,1.70,28.45,3.392
125,1124,5288,96.88,16.71,1.69,28.27,3.427
126,1124,5305,97.78,16.72,1.70,28.48,3.434
127,1126,5322,97.83,16.72,1.72,28.67,3.412
128,1126,5340,98.18,16.72,1.73,28.90,3.397
129,1128,5357,99.23,16.72,1.74,29.15,3.404
130,1128,5374,99.92,16.71,1.76,29.46,3.392
131,1130,5391,101.11,16.71,1.75,29.26,3.456
132,1130,5417,101.53,16.71,1.77,29.52,3.439
133,1132,5442,102.03,16.71,1.77,29.58,3.450
134,1132,5460,102.91,16.72,1.78,29.68,3.468
135,1134,5485,102.72,16.72,1.79,29.87,3.438
136,1134,5502,103.09,16.72,1.81,30.26,3.407
137,1136,5528,104.52,16.72,1.80,30.17,3.464
138,1136,5537,105.07,16.71,1.81,30.29,3.469
139,1138,5554,106.02,16.71,1.81,30.30,3.499
140,1138,5580,106.25,16.71,1.84,30.73,3.458
141,1140,5597,106.84,16.71,1.84,30.81,3.468
142,1140,5614,107.51,16.71,1.85,30.90,3.479
143,1142,5640,107.55,16.71,1.86,31.08,3.460
144,1142,5657,108.86,16.71,1.88,31.35,3.473
145,1144,5674,109.72,16.71,1.87,31.27,3.509
146,1144,5700,110.76,16.71,1.89,31.55,3.511
147,1146,5717,111.83,16.71,1.88,31.50,3.550
148,1146,5734,112.16,16.71,1.89,31.62,3.547
149,1148,5751,113.12,16.71,1.90,31.74,3.564
150,1148,5777,114.03,16.71,1.91,31.92,3.572
151,1150,5785,114.59,16.71,1.92,32.04,3.577
152,1150,5811,115.13,16.71,1.95,32.55,3.537
153,1152,5828,116.28,16.71,1.95,32.57,3.570
154,1152,5845,117.27,16.71,1.95,32.56,3.602
155,1154,5862,118.07,16.71,1.96,32.67,3.614
156,1154,5871,118.22,16.71,1.98,33.01,3.581
157,1156,5897,118.80,16.72,1.98,33.05,3.594
158,1156,5914,119.91,16.71,1.99,33.25,3.607
159,1158,5931,120.34,16.71,1.99,33.25,3.619
160,1158,5957,121.42,16.71,2.01,33.58,3.616
161,1160,5974,121.56,16.71,2.01,33.64,3.613
162,1160,5991,122.72,16.71,2.03,33.93,3.617
163,1162,6008,123.31,16.71,2.04,34.00,3.627
164,1162,6025,123.44,16.71,2.03,33.91,3.640
165,1164,6042,124.58,16.71,2.03,33.91,3.674
166,1164,6060,124.96,16.72,2.05,34.31,3.642
167,1166,6085,125.96,16.71,2.08,34.80,3.620
168,1166,6094,126.66,16.71,2.08,34.84,3.636
169,1168,6111,126.98,16.71,2.09,34.87,3.641
170,1168,6137,127.52,16.71,2.10,35.06,3.637
171,1170,6154,127.90,16.71,2.10,35.07,3.647
172,1170,6171,129.06,16.71,2.12,35.49,3.637
173,1172,6188,130.05,16.71,2.12,35.34,3.680
174,1172,6205,130.34,16.71,2.13,35.53,3.669
175,1174,6222,131.69,16.71,2.15,35.85,3.673
176,1174,6240,131.76,16.71,2.15,35.84,3.676
177,1176,6257,131.74,16.70,2.15,35.87,3.672
178,1176,6274,133.00,16.71,2.16,36.01,3.693
179,1178,6291,133.41,16.71,2.17,36.25,3.680
180,1178,6308,134.18,16.71,2.18,36.41,3.685
181,1180,6317,134.71,16.70,2.18,36.47,3.694
182,1180,6342,134.94,16.70,2.20,36.78,3.668
183,1182,6351,135.96,16.71,2.23,37.23,3.652
184,1182,6377,136.55,16.71,2.23,37.28,3.663
185,1184,6394,137.31,16.70,2.24,37.40,3.671
186,1184,6402,138.80,16.71,2.24,37.41,3.710
187,1186,6428,139.73,16.70,2.25,37.50,3.726
188,1186,6445,140.46,16.70,2.25,37.64,3.732
