seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.82,0.83,13.95,0.000
2,1000,0,0.00,16.82,0.83,13.95,0.000
3,1002,0,0.00,16.82,0.83,13.91,0.000
4,1002,0,0.00,16.82,0.83,13.92,0.000
5,1004,0,0.00,16.82,0.83,13.96,0.000
6,1004,0,0.00,16.82,0.83,13.90,0.000
7,1006,0,0.00,16.83,0.82,13.86,0.000
8,1006,0,0.00,16.82,0.83,13.91,0.000
9,1008,0,0.00,16.82,0.83,13.91,0.000
10,1008,0,0.00,16.82,0.83,13.94,0.000
11,1010,0,0.00,16.82,0.83,13.98,0.000
12,1010,0,0.00,16.82,0.82,13.81,0.000
13,1012,0,0.00,16.82,0.82,13.88,0.000
14,1012,0,0.00,16.81,0.82,13.86,0.000
15,1014,0,0.00,16.82,0.83,14.03,0.000
16,1014,0,0.00,16.82,0.83,14.04,0.000
17,1016,0,0.00,16.82,0.85,14.30,0.000
18,1016,0,0.00,16.80,1.15,19.40,0.000
19,1018,0,0.00,16.80,1.56,26.26,0.000
20,1018,0,1.63,16.80,1.62,27.22,0.060
21,1020,0,7.62,16.80,1.54,25.90,0.294
22,1020,0,10.18,16.80,1.44,24.17,0.421
23,1022,0,11.45,16.80,1.34,22.50,0.509
24,1022,0,12.22,16.80,1.29,21.70,0.563
25,1024,0,13.53,16.80,1.31,22.00,0.615
26,1024,0,14.59,16.80,1.31,21.97,0.664
27,1026,0,15.55,16.81,1.27,21.27,0.731
28,1026,0,18.67,16.80,1.25,20.92,0.893
29,1028,0,20.27,16.81,1.22,20.43,0.993
30,1028,0,22.42,16.81,1.19,20.07,1.117
31,1030,0,24.46,16.80,1.19,19.94,1.227
32,1030,0,25.71,16.80,1.18,19.76,1.301
33,1032,0,27.20,16.81,1.17,19.60,1.387
34,1032,0,28.75,16.81,1.16,19.50,1.474
35,1034,0,29.95,16.80,1.16,19.44,1.540
36,1034,0,30.89,16.80,1.15,19.32,1.599
37,1036,0,31.50,16.80,1.15,19.30,1.632
38,1036,0,31.66,16.81,1.17,19.60,1.616
39,1038,0,31.82,16.80,1.16,19.54,1.628
40,1038,0,32.20,16.80,1.15,19.28,1.670
41,1040,0,32.73,16.80,1.15,19.35,1.692
42,1040,0,33.12,16.81,1.16,19.46,1.702
43,1042,0,34.19,16.81,1.17,19.66,1.739
44,1042,0,34.67,16.81,1.18,19.80,1.751
45,1044,0,34.77,16.80,1.17,19.69,1.766
46,1044,0,35.25,16.81,1.16,19.53,1.805
47,1046,0,36.09,16.80,1.17,19.70,1.831
48,1046,0,36.70,16.81,1.18,19.78,1.856
49,1048,0,36.89,16.80,1.18,19.79,1.863
50,1048,0,37.71,16.80,1.19,19.97,1.888
51,1050,3668,38.22,16.80,1.19,20.00,1.911
52,1050,3685,38.80,16.80,1.19,20.03,1.937
53,1052,3711,39.38,16.81,1.19,20.04,1.965
54,1052,3737,39.66,16.80,1.21,20.36,1.948
55,1054,3762,40.28,16.80,1.21,20.25,1.989
56,1054,3780,40.99,16.80,1.22,20.42,2.007
57,1056,3805,42.31,16.80,1.21,20.40,2.074
58,1056,3831,42.76,16.80,1.23,20.70,2.066
59,1058,3848,43.03,16.81,1.24,20.77,2.072
60,1058,3874,43.59,16.80,1.24,20.88,2.088
61,1060,3900,44.37,16.80,1.24,20.86,2.127
62,1060,3925,45.25,16.80,1.23,20.75,2.180
63,1062,3951,46.02,16.80,1.25,20.98,2.193
64,1062,3977,47.25,16.80,1.24,20.90,2.261
65,1064,4002,47.69,16.80,1.26,21.12,2.258
66,1064,4028,48.02,16.80,1.27,21.31,2.253
67,1066,4045,48.69,16.80,1.27,21.37,2.278
68,1066,4071,48.91,16.81,1.28,21.46,2.279
69,1068,4097,49.82,16.80,1.27,21.38,2.331
70,1068,4114,50.47,16.80,1.29,21.75,2.321
71,1070,4140,51.39,16.80,1.30,21.89,2.347
72,1070,4157,52.27,16.80,1.30,21.91,2.385
73,1072,4191,52.95,16.80,1.32,22.16,2.389
74,1072,4208,53.55,16.80,1.32,22.16,2.416
75,1074,4234,54.24,16.81,1.33,22.32,2.430
76,1074,4260,54.74,16.80,1.34,22.51,2.432
77,1076,4294,55.02,16.81,1.34,22.54,2.442
78,1076,4311,55.95,16.80,1.34,22.44,2.493
79,1078,4345,56.61,16.80,1.35,22.74,2.489
80,1078,4362,57.12,16.80,1.36,22.92,2.492
81,1080,4397,57.59,16.80,1.36,22.82,2.524
82,1080,4422,58.31,16.80,1.37,23.02,2.533
83,1082,4440,59.14,16.80,1.37,23.05,2.565
84,1082,4474,59.81,16.80,1.37,23.01,2.599
85,1084,4491,60.29,16.80,1.38,23.23,2.596
86,1084,4525,61.45,16.80,1.40,23.49,2.616
87,1086,4551,61.93,16.80,1.40,23.58,2.627
88,1086,4568,62.97,16.80,1.41,23.66,2.662
89,1088,4594,63.66,16.80,1.42,23.79,2.676
90,1088,4620,64.03,16.80,1.42,23.87,2.682
91,1090,4645,65.00,16.80,1.42,23.85,2.726
92,1090,4671,65.93,16.80,1.43,24.03,2.744
93,1092,4697,66.85,16.80,1.44,24.18,2.765
94,1092,4714,67.43,16.80,1.44,24.16,2.791
95,1094,4740,68.27,16.80,1.45,24.28,2.811
96,1094,4765,69.16,16.80,1.45,24.42,2.832
97,1096,4782,69.70,16.80,1.46,24.59,2.835
98,1096,4808,70.39,16.80,1.47,24.70,2.850
99,1098,4834,71.13,16.80,1.46,24.60,2.891
100,1098,4860,72.63,16.80,1.49,24.96,2.910
101,1100,4877,73.28,16.80,1.48,24.88,2.946
102,1100,4894,74.35,16.80,1.47,24.77,3.002
103,1102,4920,75.08,16.80,1.49,25.09,2.993
104,1102,4945,75.61,16.80,1.51,25.37,2.981
105,1104,4962,75.94,16.80,1.52,25.56,2.971
106,1104,4988,76.46,16.80,1.52,25.46,3.004
107,1106,5014,77.19,16.80,1.53,25.66,3.008
108,1106,5022,77.85,16.80,1.54,25.93,3.002
109,1108,5048,78.66,16.80,1.54,25.81,3.048
110,1108,5074,79.19,16.80,1.54,25.92,3.056
111,1110,5091,79.63,16.80,1.54,25.91,3.073
112,1110,5117,80.06,16.80,1.56,26.24,3.051
113,1112,5142,80.83,16.80,1.57,26.46,3.055
114,1112,5160,82.13,16.80,1.59,26.72,3.074
115,1114,5185,83.26,16.80,1.59,26.76,3.111
116,1114,5211,84.15,16.80,1.60,26.80,3.140
117,1116,5237,84.91,16.80,1.60,26.84,3.163
118,1116,5254,85.54,16.80,1.58,26.60,3.216
119,1118,5280,86.28,16.80,1.60,26.91,3.206
120,1118,5297,86.93,16.80,1.62,27.17,3.199
121,1120,5322,88.09,16.80,1.63,27.38,3.218
122,1120,5340,88.90,16.80,1.64,27.50,3.232
123,1122,5357,89.48,16.80,1.64,27.53,3.250
124,1122,5374,89.98,16.80,1.65,27.65,3.254
125,1124,5400,90.49,16.80,1.65,27.74,3.263
126,1124,5425,90.87,16.79,1.68,28.15,3.228
127,1126,5442,91.25,16.79,1.67,28.13,3.244
128,1126,5468,91.82,16.79,1.67,28.09,3.269
129,1128,5494,92.88,16.79,1.68,28.16,3.299
130,1128,5511,93.41,16.80,1.70,28.50,3.277
131,1130,5537,93.86,16.80,1.70,28.59,3.283
132,1130,5554,94.13,16.79,1.71,28.69,3.282
133,1132,5571,94.72,16.79,1.71,28.75,3.295
134,1132,5588,95.31,16.80,1.72,28.90,3.298
135,1134,5614,95.76,16.79,1.73,29.06,3.295
136,1134,5631,95.91,16.79,1.75,29.40,3.263
137,1136,5648,96.59,16.79,1.75,29.44,3.281
138,1136,5674,97.22,16.79,1.76,29.52,3.294
139,1138,5691,98.25,16.79,1.76,29.62,3.317
140,1138,5717,98.99,16.80,1.78,29.90,3.311
141,1140,5734,99.36,16.79,1.78,29.86,3.327
142,1140,5760,100.50,16.79,1.78,29.96,3.355
143,1142,5785,101.75,16.80,1.79,30.13,3.377
144,1142,5802,102.44,16.79,1.78,29.95,3.420
145,1144,5820,103.35,16.79,1.80,30.19,3.424
146,1144,5837,103.88,16.79,1.83,30.71,3.382
147,1146,5854,104.39,16.80,1.82,30.62,3.409
148,1146,5880,105.44,16.80,1.83,30.72,3.433
149,1148,5897,106.78,16.79,1.83,30.77,3.470
150,1148,5914,107.73,16.79,1.84,30.97,3.479
151,1150,5931,108.72,16.80,1.86,31.17,3.488
152,1150,5948,109.10,16.79,1.86,31.29,3.487
153,1152,5965,110.03,16.80,1.87,31.48,3.496
154,1152,5982,110.92,16.79,1.88,31.55,3.516
155,1154,6008,111.32,16.79,1.88,31.61,3.521
156,1154,6017,112.35,16.79,1.89,31.72,3.542
157,1156,6042,113.69,16.79,1.89,31.78,3.578
158,1156,6060,114.03,16.79,1.92,32.25,3.535
159,1158,6085,114.60,16.79,1.91,32.15,3.565
160,1158,6102,115.33,16.79,1.93,32.42,3.557
161,1160,6120,116.19,16.79,1.93,32.39,3.587
162,1160,6137,116.98,16.79,1.94,32.62,3.586
163,1162,6154,118.24,16.79,1.95,32.73,3.613
164,1162,6171,119.28,16.79,1.96,32.88,3.628
165,1164,6188,119.97,16.79,1.96,32.89,3.647
166,1164,6205,120.28,16.79,1.97,33.08,3.636
167,1166,6231,120.62,16.79,1.99,33.34,3.618
168,1166,6240,121.52,16.79,2.00,33.61,3.615
169,1168,6257,122.70,16.79,2.00,33.60,3.652
170,1168,6282,123.65,16.79,2.01,33.82,3.656
171,1170,6291,124.27,16.79,2.02,33.88,3.668
172,1170,6325,125.31,16.79,2.03,34.09,3.676
173,1172,6342,126.00,16.78,2.07,34.69,3.632
174,1172,6368,127.02,16.79,2.08,34.89,3.640
175,1174,6385,128.03,16.79,2.06,34.55,3.705
176,1174,6402,128.59,16.79,2.06,34.55,3.722
177,1176,6420,129.17,16.79,2.07,34.76,3.716
178,1176,6437,129.78,16.79,2.08,34.92,3.716
179,1178,6454,130.94,16.79,2.08,34.92,3.749
