seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.802,0.826
2,1000,0,0.00,16.811,0.835
3,1002,0,0.00,16.806,0.835
4,1002,0,0.00,16.808,0.829
5,1004,0,0.00,16.807,0.830
6,1004,0,0.00,16.805,0.826
7,1006,0,0.00,16.808,0.824
8,1006,0,0.00,16.808,0.837
9,1008,0,0.00,16.806,0.827
10,1008,0,0.00,16.806,0.828
11,1010,0,0.00,16.805,0.832
12,1010,0,0.00,16.805,0.822
13,1012,0,0.00,16.809,0.828
14,1012,0,0.00,16.797,0.822
15,1014,0,0.00,16.800,0.834
16,1014,0,0.00,16.800,0.833
17,1016,0,0.00,16.800,0.851
18,1016,0,0.00,16.788,1.186
19,1018,0,0.00,16.786,1.555
20,1018,0,3.26,16.785,1.589
21,1020,0,9.60,16.786,1.521
22,1020,0,12.18,16.785,1.416
23,1022,0,13.46,16.786,1.329
24,1022,0,14.33,16.787,1.290
25,1024,0,15.97,16.790,1.311
26,1024,0,16.33,16.782,1.315
27,1026,0,16.94,16.784,1.262
28,1026,0,20.91,16.787,1.229
29,1028,0,22.51,16.790,1.211
30,1028,0,23.96,16.792,1.189
31,1030,0,26.16,16.793,1.187
32,1030,0,27.18,16.788,1.174
33,1032,0,29.00,16.789,1.166
34,1032,0,30.39,16.791,1.159
35,1034,0,32.00,16.787,1.154
36,1034,0,32.44,16.788,1.155
37,1036,0,33.35,16.787,1.143
38,1036,0,33.46,16.789,1.168
39,1038,0,33.87,16.787,1.166
40,1038,0,34.27,16.786,1.144
41,1040,0,34.77,16.789,1.155
42,1040,0,34.87,16.787,1.166
43,1042,0,36.30,16.793,1.164
44,1042,0,36.73,16.790,1.180
45,1044,0,36.89,16.788,1.169
46,1044,0,37.53,16.792,1.163
47,1046,0,38.49,16.790,1.168
48,1046,0,38.89,16.790,1.175
49,1048,0,38.56,16.784,1.181
50,1048,0,40.08,16.792,1.188
51,1050,3668,40.69,16.787,1.192
52,1050,3685,41.50,16.786,1.190
53,1052,3711,42.17,16.794,1.193
54,1052,3737,42.65,16.785,1.207
55,1054,3762,43.12,16.783,1.205
56,1054,3780,43.44,16.792,1.215
57,1056,3805,44.51,16.788,1.206
58,1056,3831,44.84,16.791,1.232
59,1058,3848,44.70,16.794,1.233
60,1058,3874,45.64,16.787,1.239
61,1060,3900,47.15,16.788,1.237
62,1060,3925,47.79,16.786,1.234
63,1062,3951,48.53,16.785,1.254
64,1062,3977,49.57,16.787,1.258
65,1064,4002,49.79,16.790,1.269
66,1064,4028,50.49,16.787,1.264
67,1066,4045,51.45,16.792,1.267
68,1066,4071,51.72,16.793,1.266
69,1068,4097,52.45,16.788,1.270
70,1068,4114,53.12,16.786,1.290
71,1070,4140,54.10,16.789,1.300
72,1070,4157,54.42,16.789,1.313
73,1072,4191,55.00,16.781,1.313
74,1072,4208,55.60,16.784,1.314
75,1074,4234,56.48,16.791,1.325
76,1074,4260,57.23,16.784,1.342
77,1076,4294,57.37,16.789,1.334
78,1076,4311,58.03,16.787,1.330
79,1078,4337,58.71,16.786,1.340
80,1078,4362,59.06,16.791,1.362
81,1080,4388,59.79,16.783,1.353
82,1080,4414,60.43,16.792,1.375
83,1082,4440,61.27,16.786,1.388
84,1082,4474,62.03,16.778,1.377
85,1084,4491,62.72,16.785,1.379
86,1084,4525,63.90,16.786,1.391
87,1086,4551,64.51,16.788,1.393
88,1086,4568,65.27,16.787,1.393
89,1088,4594,66.07,16.783,1.415
90,1088,4620,66.41,16.783,1.419
91,1090,4645,67.34,16.785,1.425
92,1090,4671,68.19,16.788,1.424
93,1092,4697,69.22,16.784,1.435
94,1092,4714,69.70,16.783,1.432
95,1094,4740,70.40,16.784,1.426
96,1094,4757,70.96,16.776,1.449
97,1096,4782,71.35,16.782,1.455
98,1096,4808,72.21,16.787,1.485
99,1098,4825,73.12,16.785,1.473
100,1098,4851,74.69,16.784,1.486
101,1100,4877,75.13,16.783,1.474
102,1100,4894,76.47,16.779,1.462
103,1102,4911,77.14,16.780,1.490
104,1102,4937,77.62,16.784,1.505
105,1104,4954,77.89,16.783,1.525
106,1104,4971,78.33,16.783,1.518
107,1106,4988,78.55,16.781,1.536
108,1106,5014,79.66,16.783,1.544
109,1108,5040,80.82,16.781,1.531
110,1108,5065,81.19,16.783,1.541
111,1110,5091,81.54,16.782,1.552
112,1110,5108,81.94,16.784,1.564
113,1112,5134,82.80,16.787,1.581
114,1112,5160,83.71,16.782,1.599
115,1114,5185,85.26,16.784,1.598
116,1114,5211,86.29,16.785,1.584
117,1116,5237,87.03,16.777,1.627
118,1116,5254,87.58,16.781,1.600
119,1118,5280,88.21,16.779,1.596
120,1118,5297,88.69,16.785,1.609
121,1120,5322,89.61,16.781,1.615
122,1120,5340,90.73,16.777,1.623
123,1122,5357,91.44,16.780,1.631
124,1122,5374,91.83,16.782,1.647
125,1124,5400,92.10,16.786,1.646
126,1124,5417,92.56,16.781,1.671
127,1126,5442,93.04,16.780,1.676
128,1126,5460,93.26,16.779,1.664
129,1128,5477,94.78,16.778,1.673
130,1128,5502,95.08,16.782,1.694
131,1130,5520,95.44,16.783,1.709
132,1130,5545,95.68,16.780,1.705
133,1132,5571,96.39,16.780,1.713
134,1132,5580,97.04,16.781,1.730
135,1134,5605,97.21,16.782,1.734
