seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.84,0.86,14.47,0.000
2,1000,0,0.00,16.84,0.87,14.60,0.000
3,1002,0,0.00,16.84,0.86,14.53,0.000
4,1002,0,0.00,16.84,0.86,14.45,0.000
5,1004,0,0.00,16.84,0.86,14.41,0.000
6,1004,0,0.00,16.84,0.86,14.57,0.000
7,1006,0,0.00,16.84,0.86,14.48,0.000
8,1006,0,0.00,16.84,0.86,14.52,0.000
9,1008,0,0.00,16.84,0.87,14.63,0.000
10,1008,0,0.00,16.84,0.86,14.49,0.000
11,1010,0,0.00,16.84,0.86,14.53,0.000
12,1010,0,0.00,16.84,0.86,14.55,0.000
13,1012,0,0.00,16.84,0.86,14.50,0.000
14,1012,0,0.00,16.84,0.86,14.44,0.000
15,1014,0,0.00,16.83,0.87,14.62,0.000
16,1014,0,0.00,16.83,0.87,14.69,0.000
17,1016,0,0.00,16.83,0.88,14.74,0.000
18,1016,0,0.00,16.82,1.23,20.62,0.000
19,1018,0,0.81,16.81,1.82,30.62,0.026
20,1018,0,5.73,16.81,1.87,31.37,0.183
21,1020,0,8.38,16.81,1.69,28.42,0.295
22,1020,0,10.99,16.82,1.50,25.28,0.435
23,1022,0,13.23,16.82,1.39,23.37,0.566
24,1022,0,14.32,16.82,1.37,23.03,0.622
25,1024,0,16.57,16.82,1.32,22.20,0.746
26,1024,0,18.42,16.82,1.27,21.44,0.859
27,1026,0,19.77,16.82,1.24,20.92,0.945
28,1026,0,21.69,16.82,1.20,20.20,1.074
29,1028,0,22.11,16.82,1.17,19.62,1.127
30,1028,0,22.70,16.82,1.16,19.52,1.163
31,1030,0,23.16,16.82,1.16,19.49,1.188
32,1030,0,23.86,16.82,1.15,19.40,1.230
33,1032,0,24.40,16.82,1.14,19.20,1.271
34,1032,3977,25.48,16.82,1.12,18.90,1.348
35,1034,4054,26.20,16.82,1.12,18.91,1.386
36,1034,4088,26.07,16.83,1.13,19.10,1.365
37,1036,4140,26.04,16.82,1.13,19.08,1.365
38,1036,4200,26.21,16.82,1.15,19.31,1.358
39,1038,4251,26.87,16.82,1.14,19.25,1.396
40,1038,4285,27.31,16.82,1.15,19.33,1.413
41,1040,4328,27.48,16.82,1.15,19.26,1.426
42,1040,4362,27.77,16.82,1.15,19.37,1.434
43,1042,4405,27.87,16.83,1.16,19.54,1.427
44,1042,4440,28.09,16.82,1.18,19.81,1.418
45,1044,4474,28.63,16.82,1.18,19.79,1.447
46,1044,4508,29.29,16.82,1.18,19.84,1.476
47,1046,4542,29.92,16.82,1.17,19.67,1.521
48,1046,4577,29.94,16.82,1.17,19.61,1.526
49,1048,4611,30.86,16.82,1.19,20.02,1.541
50,1048,4637,31.22,16.82,1.19,20.09,1.554
51,1050,4671,31.83,16.82,1.19,20.04,1.588
52,1050,4697,32.16,16.82,1.19,20.00,1.608
53,1052,4731,32.41,16.82,1.20,20.22,1.602
54,1052,4774,32.84,16.82,1.21,20.41,1.609
55,1054,4817,33.28,16.82,1.21,20.33,1.637
56,1054,4851,34.22,16.82,1.23,20.62,1.660
57,1056,4894,34.35,16.82,1.22,20.60,1.668
58,1056,4928,35.00,16.82,1.23,20.63,1.696
59,1058,4962,35.78,16.82,1.23,20.71,1.728
60,1058,4997,36.02,16.82,1.24,20.92,1.722
61,1060,5031,36.30,16.82,1.25,21.05,1.724
62,1060,5065,37.00,16.82,1.24,20.85,1.775
63,1062,5100,37.64,16.82,1.25,21.05,1.788
64,1062,5134,38.23,16.82,1.26,21.14,1.808
65,1064,5168,38.43,16.82,1.25,21.01,1.829
66,1064,5202,38.87,16.82,1.25,21.08,1.844
67,1066,5237,39.00,16.82,1.25,21.08,1.851
68,1066,5262,39.70,16.82,1.27,21.36,1.859
69,1068,5297,39.97,16.82,1.26,21.23,1.883
70,1068,5322,40.59,16.82,1.28,21.54,1.885
71,1070,5357,41.51,16.82,1.28,21.47,1.933
72,1070,5382,41.78,16.82,1.30,21.94,1.904
73,1072,5425,41.45,16.82,1.30,21.84,1.898
74,1072,5460,42.08,16.82,1.30,21.84,1.927
75,1074,5494,43.23,16.82,1.30,21.84,1.979
76,1074,5520,43.86,16.82,1.31,21.98,1.996
77,1076,5554,44.07,16.82,1.31,22.01,2.002
78,1076,5580,44.29,16.82,1.32,22.17,1.998
79,1078,5614,44.69,16.82,1.30,21.86,2.044
80,1078,5648,45.11,16.82,1.32,22.21,2.031
81,1080,5674,45.30,16.82,1.33,22.37,2.025
82,1080,5708,46.03,16.82,1.33,22.45,2.050
83,1082,5742,46.73,16.82,1.34,22.46,2.080
84,1082,5768,47.25,16.82,1.34,22.56,2.094
85,1084,5802,47.85,16.82,1.36,22.81,2.098
86,1084,5837,47.86,16.82,1.37,23.01,2.080
87,1086,5871,48.75,16.82,1.38,23.22,2.099
88,1086,5905,49.78,16.82,1.38,23.17,2.149
89,1088,5940,50.86,16.82,1.38,23.25,2.187
90,1088,5974,51.19,16.82,1.39,23.34,2.193
