seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.823,0.858
2,1000,0,0.00,16.821,0.867
3,1002,0,0.00,16.826,0.860
4,1002,0,0.00,16.827,0.863
5,1004,0,0.00,16.828,0.856
6,1004,0,0.00,16.829,0.866
7,1006,0,0.00,16.826,0.856
8,1006,0,0.00,16.823,0.862
9,1008,0,0.00,16.827,0.868
10,1008,0,0.00,16.829,0.857
11,1010,0,0.00,16.823,0.866
12,1010,0,0.00,16.827,0.870
13,1012,0,0.00,16.824,0.865
14,1012,0,0.00,16.822,0.860
15,1014,0,0.00,16.814,0.873
16,1014,0,0.00,16.817,0.872
17,1016,0,0.00,16.816,0.883
18,1016,0,0.00,16.802,1.280
19,1018,0,0.00,16.800,1.748
20,1018,0,6.93,16.796,1.739
21,1020,0,9.95,16.799,1.573
22,1020,0,11.86,16.800,1.430
23,1022,0,13.30,16.807,1.365
24,1022,0,14.10,16.804,1.351
25,1024,0,15.54,16.805,1.299
26,1024,0,17.75,16.806,1.251
27,1026,0,19.00,16.804,1.225
28,1026,0,22.21,16.808,1.197
29,1028,0,22.08,16.810,1.164
30,1028,0,22.81,16.807,1.156
31,1030,0,23.82,16.807,1.151
32,1030,0,23.74,16.806,1.148
33,1032,0,24.71,16.808,1.150
34,1032,3977,25.90,16.807,1.126
35,1034,4054,26.76,16.807,1.124
36,1034,4088,27.20,16.809,1.138
37,1036,4140,26.92,16.808,1.128
38,1036,4200,26.91,16.807,1.153
39,1038,4251,27.83,16.807,1.148
40,1038,4285,27.93,16.806,1.146
41,1040,4328,28.29,16.810,1.149
42,1040,4362,28.79,16.807,1.150
43,1042,4405,28.73,16.814,1.166
44,1042,4440,28.92,16.806,1.171
45,1044,4474,29.32,16.803,1.177
46,1044,4508,30.13,16.808,1.172
47,1046,4542,31.15,16.810,1.162
48,1046,4577,30.67,16.805,1.156
49,1048,4611,31.89,16.803,1.189
50,1048,4637,31.76,16.804,1.196
51,1050,4662,32.56,16.808,1.189
52,1050,4697,32.80,16.810,1.200
53,1052,4731,32.67,16.810,1.216
54,1052,4774,33.29,16.808,1.223
55,1054,4817,33.71,16.802,1.210
56,1054,4851,35.19,16.806,1.228
57,1056,4894,35.55,16.810,1.217
58,1056,4928,36.06,16.802,1.224
59,1058,4962,36.88,16.801,1.228
60,1058,4997,36.98,16.809,1.244
61,1060,5031,37.22,16.806,1.245
62,1060,5065,37.99,16.806,1.238
63,1062,5100,38.18,16.803,1.255
64,1062,5134,39.03,16.809,1.264
65,1064,5168,39.28,16.807,1.242
66,1064,5194,39.38,16.805,1.245
67,1066,5228,39.61,16.803,1.246
68,1066,5254,39.92,16.808,1.274
69,1068,5288,40.05,16.808,1.265
70,1068,5322,40.79,16.804,1.291
71,1070,5348,41.72,16.807,1.278
72,1070,5382,42.37,16.804,1.315
73,1072,5425,42.06,16.806,1.301
74,1072,5460,42.60,16.803,1.301
75,1074,5494,43.91,16.808,1.294
76,1074,5520,44.26,16.804,1.302
77,1076,5554,44.34,16.803,1.301
78,1076,5580,44.72,16.803,1.322
79,1078,5597,45.07,16.803,1.292
80,1078,5631,45.86,16.806,1.315
81,1080,5665,45.79,16.804,1.335
82,1080,5700,46.06,16.802,1.320
83,1082,5725,46.76,16.807,1.327
84,1082,5760,46.79,16.802,1.339
85,1084,5794,48.16,16.804,1.363
86,1084,5820,48.17,16.803,1.359
87,1086,5862,48.77,16.803,1.384
88,1086,5897,49.99,16.802,1.379
89,1088,5940,50.61,16.805,1.381
90,1088,5965,51.28,16.803,1.389
91,1090,6000,51.98,16.808,1.399
92,1090,6034,52.44,16.803,1.393
93,1092,6068,52.86,16.809,1.397
94,1092,6102,53.29,16.800,1.395
95,1094,6128,53.67,16.804,1.403
96,1094,6162,54.10,16.804,1.417
97,1096,6197,54.14,16.806,1.425
98,1096,6231,54.64,16.799,1.425
99,1098,6257,55.39,16.798,1.430
100,1098,6291,55.85,16.800,1.429
101,1100,6325,56.70,16.801,1.427
102,1100,6342,56.99,16.800,1.447
103,1102,6377,57.84,16.799,1.454
104,1102,6402,58.27,16.803,1.461
105,1104,6428,58.22,16.799,1.458
106,1104,6462,59.52,16.801,1.485
107,1106,6497,59.73,16.801,1.483
108,1106,6531,60.48,16.800,1.494
109,1108,6565,61.46,16.803,1.493
110,1108,6591,61.79,16.802,1.508
111,1110,6634,62.18,16.799,1.493
112,1110,6660,62.42,16.802,1.510
113,1112,6685,63.47,16.797,1.514
114,1112,6720,64.30,16.794,1.527
115,1114,6737,64.88,16.803,1.521
116,1114,6771,65.62,16.798,1.534
117,1116,6797,66.03,16.802,1.541
118,1116,6831,66.66,16.800,1.546
119,1118,6865,67.69,16.801,1.569
120,1118,6900,67.99,16.798,1.585
121,1120,6942,68.93,16.802,1.583
122,1120,6977,69.18,16.806,1.566
123,1122,7011,69.49,16.799,1.567
124,1122,7028,70.66,16.800,1.557
125,1124,7054,70.85,16.799,1.580
126,1124,7080,71.14,16.803,1.577
127,1126,7097,72.30,16.799,1.583
128,1126,7122,72.42,16.801,1.599
129,1128,7148,73.31,16.797,1.601
130,1128,7165,73.48,16.801,1.613
131,1130,7208,74.13,16.797,1.635
132,1130,7242,75.13,16.804,1.639
133,1132,7268,75.26,16.799,1.646
134,1132,7302,75.58,16.799,1.638
135,1134,7320,76.88,16.797,1.627
136,1134,7354,77.05,16.796,1.620
137,1136,7362,77.49,16.800,1.625
138,1136,7388,77.88,16.800,1.647
139,1138,7414,78.08,16.800,1.672
140,1138,7448,78.58,16.795,1.685
141,1140,7482,79.25,16.797,1.683
142,1140,7517,80.86,16.798,1.686
143,1142,7542,81.09,16.799,1.689
144,1142,7568,81.75,16.802,1.696
145,1144,7594,82.89,16.796,1.686
146,1144,7611,82.90,16.796,1.673
147,1146,7620,83.02,16.800,1.664
148,1146,7654,83.30,16.795,1.725
149,1148,7680,84.60,16.797,1.749
150,1148,7722,85.53,16.799,1.763
151,1150,7765,85.76,16.793,1.761
152,1150,7808,86.73,16.796,1.763
153,1152,7834,87.24,16.796,1.782
154,1152,7868,87.59,16.792,1.772
155,1154,7911,88.23,16.796,1.787
