seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.601,0.818
2,1000,0,0.00,12.606,0.816
3,1002,0,0.00,12.605,0.816
4,1002,0,0.00,12.601,0.812
5,1004,0,0.00,12.603,0.815
6,1004,0,0.00,12.606,0.815
7,1006,0,0.00,12.599,0.808
8,1006,0,0.00,12.603,0.812
9,1008,0,0.00,12.606,0.815
10,1008,0,0.00,12.604,0.824
11,1010,0,0.00,12.604,0.813
12,1010,0,0.00,12.605,0.810
13,1012,0,0.00,12.601,0.808
14,1012,0,0.00,12.595,0.807
15,1014,0,0.00,12.597,0.822
16,1014,0,0.00,12.596,0.826
17,1016,0,0.00,12.593,0.829
18,1016,0,0.00,12.588,1.131
19,1018,0,1.69,12.585,1.650
20,1018,0,3.98,12.586,1.885
21,1020,0,4.27,12.585,1.809
22,1020,0,4.87,12.588,1.590
23,1022,0,6.84,12.585,1.406
24,1022,0,8.80,12.591,1.277
25,1024,0,9.45,12.592,1.191
26,1024,0,10.86,12.589,1.176
27,1026,0,11.06,12.590,1.167
28,1026,0,11.94,12.587,1.130
29,1028,0,12.66,12.587,1.103
30,1028,0,12.66,12.593,1.085
31,1030,0,13.33,12.591,1.081
32,1030,0,13.37,12.589,1.061
33,1032,0,13.18,12.589,1.051
34,1032,0,14.16,12.591,1.046
35,1034,0,14.47,12.588,1.042
36,1034,0,14.56,12.590,1.042
37,1036,0,14.79,12.588,1.046
38,1036,0,14.85,12.589,1.048
39,1038,0,15.58,12.591,1.049
40,1038,0,15.27,12.591,1.042
41,1040,0,15.74,12.590,1.039
42,1040,0,15.61,12.591,1.044
43,1042,0,15.76,12.592,1.049
44,1042,0,16.45,12.588,1.052
45,1044,0,15.78,12.594,1.053
46,1044,0,16.00,12.593,1.042
47,1046,0,16.60,12.589,1.053
48,1046,0,16.86,12.589,1.060
49,1048,0,16.71,12.593,1.053
50,1048,0,16.71,12.587,1.057
51,1050,0,17.06,12.592,1.050
52,1050,0,17.27,12.593,1.060
53,1052,0,16.84,12.590,1.070
54,1052,0,17.02,12.590,1.081
55,1054,0,18.09,12.591,1.071
56,1054,0,18.35,12.592,1.071
57,1056,0,18.31,12.593,1.061
58,1056,0,18.43,12.591,1.075
59,1058,3685,19.08,12.589,1.081
60,1058,3711,19.03,12.592,1.102
61,1060,3737,18.54,12.587,1.080
62,1060,3771,18.89,12.591,1.084
63,1062,3797,19.23,12.591,1.091
64,1062,3814,19.61,12.592,1.081
65,1064,3831,20.09,12.591,1.089
66,1064,3857,19.99,12.590,1.093
67,1066,3874,20.35,12.592,1.089
68,1066,3891,20.60,12.591,1.103
69,1068,3908,20.35,12.591,1.114
70,1068,3917,20.86,12.592,1.119
71,1070,3942,20.81,12.588,1.108
72,1070,3960,20.77,12.593,1.120
73,1072,3977,21.19,12.588,1.115
74,1072,4011,21.46,12.589,1.120
75,1074,4045,21.74,12.588,1.121
76,1074,4071,21.98,12.591,1.128
77,1076,4097,21.78,12.592,1.137
78,1076,4131,22.21,12.589,1.133
79,1078,4165,22.15,12.590,1.143
80,1078,4191,22.88,12.587,1.153
81,1080,4208,23.75,12.591,1.133
82,1080,4242,24.22,12.592,1.145
83,1082,4268,24.79,12.591,1.143
84,1082,4285,24.75,12.593,1.161
85,1084,4320,25.48,12.585,1.150
86,1084,4345,25.55,12.590,1.158
87,1086,4371,25.43,12.589,1.156
88,1086,4397,26.21,12.592,1.154
89,1088,4414,26.67,12.591,1.163
90,1088,4440,26.94,12.591,1.186
91,1090,4465,27.10,12.591,1.178
92,1090,4491,27.39,12.586,1.190
93,1092,4517,27.78,12.593,1.183
94,1092,4551,27.81,12.586,1.178
95,1094,4577,27.96,12.592,1.204
96,1094,4602,28.42,12.588,1.206
97,1096,4628,28.24,12.591,1.217
98,1096,4662,28.34,12.587,1.217
99,1098,4697,29.36,12.593,1.234
100,1098,4722,29.60,12.586,1.235
101,1100,4748,30.73,12.592,1.216
102,1100,4782,30.64,12.598,1.228
103,1102,4817,30.16,12.586,1.232
104,1102,4842,30.77,12.593,1.230
105,1104,4860,31.44,12.595,1.222
106,1104,4868,32.10,12.586,1.219
107,1106,4894,31.88,12.591,1.233
108,1106,4920,31.91,12.590,1.253
109,1108,4945,32.19,12.592,1.262
110,1108,4980,32.48,12.591,1.267
111,1110,5005,33.30,12.589,1.259
112,1110,5031,33.39,12.590,1.295
113,1112,5065,33.51,12.588,1.265
114,1112,5100,34.23,12.587,1.281
115,1114,5125,33.82,12.590,1.273
116,1114,5151,34.26,12.591,1.271
117,1116,5177,35.37,12.589,1.259
118,1116,5202,35.62,12.593,1.293
119,1118,5228,35.84,12.591,1.307
120,1118,5254,36.35,12.585,1.287
121,1120,5280,36.33,12.587,1.295
122,1120,5305,36.67,12.592,1.303
123,1122,5322,36.99,12.587,1.304
124,1122,5348,38.18,12.586,1.294
125,1124,5365,38.87,12.588,1.298
126,1124,5391,38.13,12.589,1.311
127,1126,5408,38.83,12.585,1.304
128,1126,5434,38.61,12.591,1.325
129,1128,5451,38.82,12.589,1.332
130,1128,5485,39.65,12.590,1.342
131,1130,5511,40.31,12.588,1.340
132,1130,5528,40.58,12.585,1.344
133,1132,5562,40.48,12.588,1.342
134,1132,5588,40.79,12.590,1.339
135,1134,5614,41.46,12.587,1.365
136,1134,5631,41.24,12.589,1.380
137,1136,5665,41.99,12.592,1.388
138,1136,5691,42.22,12.588,1.380
139,1138,5725,42.33,12.588,1.379
140,1138,5751,42.74,12.587,1.385
141,1140,5777,42.68,12.589,1.380
142,1140,5794,43.60,12.587,1.393
143,1142,5828,43.92,12.591,1.382
144,1142,5845,43.68,12.585,1.409
145,1144,5871,44.73,12.588,1.403
146,1144,5897,44.91,12.585,1.418
147,1146,5922,44.89,12.584,1.421
148,1146,5948,46.31,12.588,1.427
149,1148,5974,46.38,12.585,1.423
150,1148,6000,47.03,12.589,1.433
151,1150,6025,47.32,12.588,1.434
152,1150,6051,47.99,12.587,1.481
153,1152,6085,48.62,12.588,1.471
154,1152,6111,48.38,12.592,1.451
155,1154,6145,49.19,12.589,1.445
156,1154,6162,49.56,12.587,1.446
157,1156,6197,50.06,12.589,1.447
158,1156,6214,50.92,12.588,1.456
159,1158,6231,50.89,12.587,1.468
160,1158,6257,51.09,12.586,1.481
161,1160,6274,51.70,12.587,1.490
162,1160,6308,51.95,12.586,1.500
163,1162,6334,52.61,12.586,1.504
164,1162,6360,53.16,12.587,1.501
165,1164,6385,53.22,12.596,1.501
166,1164,6402,53.64,12.590,1.510
167,1166,6420,53.83,12.586,1.488
168,1166,6445,54.33,12.589,1.512
169,1168,6471,54.86,12.585,1.530
170,1168,6497,54.62,12.585,1.517
171,1170,6514,55.38,12.583,1.508
172,1170,6540,55.81,12.586,1.529
173,1172,6557,56.07,12.587,1.517
