seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.658,0.859
2,1000,0,0.00,12.660,0.864
3,1002,0,0.00,12.663,0.858
4,1002,0,0.00,12.664,0.856
5,1004,0,0.00,12.659,0.853
6,1004,0,0.00,12.656,0.858
7,1006,0,0.00,12.663,0.849
8,1006,0,0.00,12.660,0.852
9,1008,0,0.00,12.664,0.863
10,1008,0,0.00,12.661,0.857
11,1010,0,0.00,12.665,0.850
12,1010,0,0.00,12.661,0.857
13,1012,0,0.00,12.659,0.865
14,1012,0,0.00,12.665,0.849
15,1014,0,0.00,12.655,0.861
16,1014,0,0.00,12.656,0.871
17,1016,0,0.00,12.652,0.871
18,1016,0,0.00,12.639,1.040
19,1018,0,0.00,12.645,1.539
20,1018,0,5.38,12.642,1.593
21,1020,0,8.49,12.640,1.494
22,1020,0,10.99,12.641,1.383
23,1022,0,12.81,12.643,1.289
24,1022,0,14.61,12.646,1.222
25,1024,0,15.41,12.645,1.213
26,1024,0,15.97,12.647,1.206
27,1026,0,15.91,12.644,1.180
28,1026,0,16.33,12.648,1.153
29,1028,0,16.52,12.647,1.122
30,1028,0,17.14,12.645,1.120
31,1030,0,18.28,12.642,1.105
32,1030,0,17.87,12.641,1.101
33,1032,0,17.93,12.647,1.102
34,1032,0,17.64,12.649,1.096
35,1034,0,18.09,12.645,1.081
36,1034,0,18.86,12.652,1.089
37,1036,0,19.19,12.647,1.094
38,1036,0,19.60,12.646,1.091
39,1038,0,19.70,12.649,1.093
40,1038,0,20.25,12.649,1.090
41,1040,0,20.09,12.647,1.095
42,1040,0,20.11,12.643,1.104
43,1042,0,20.42,12.646,1.107
44,1042,0,20.60,12.649,1.109
45,1044,0,20.41,12.646,1.092
46,1044,0,20.84,12.644,1.110
47,1046,0,20.58,12.645,1.101
48,1046,0,21.30,12.647,1.120
49,1048,0,21.40,12.647,1.124
50,1048,0,21.04,12.644,1.122
51,1050,0,21.53,12.653,1.106
52,1050,0,21.86,12.644,1.118
53,1052,0,21.92,12.645,1.135
54,1052,0,22.10,12.650,1.144
55,1054,0,21.78,12.649,1.137
56,1054,0,22.09,12.644,1.134
57,1056,0,22.10,12.646,1.139
58,1056,0,22.37,12.649,1.138
59,1058,3677,22.81,12.644,1.132
60,1058,3702,22.55,12.650,1.147
61,1060,3720,23.59,12.641,1.150
62,1060,3745,23.75,12.644,1.147
63,1062,3762,24.14,12.649,1.155
64,1062,3788,24.84,12.652,1.159
65,1064,3805,24.93,12.645,1.163
66,1064,3831,24.84,12.648,1.167
67,1066,3857,25.19,12.643,1.171
68,1066,3882,25.53,12.645,1.163
69,1068,3891,25.85,12.651,1.168
70,1068,3917,26.21,12.641,1.176
71,1070,3942,26.92,12.648,1.191
72,1070,3960,28.02,12.647,1.185
73,1072,3968,28.15,12.644,1.180
74,1072,3985,28.50,12.647,1.188
75,1074,4011,29.23,12.644,1.188
76,1074,4037,30.37,12.640,1.202
77,1076,4062,31.27,12.645,1.211
78,1076,4088,31.29,12.645,1.203
79,1078,4114,31.38,12.646,1.210
80,1078,4131,32.14,12.646,1.202
81,1080,4165,32.02,12.650,1.224
82,1080,4191,32.39,12.647,1.226
83,1082,4208,32.34,12.642,1.226
84,1082,4242,32.78,12.646,1.232
