seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.83,0.86,14.44,0.000
2,1000,0,0.00,16.83,0.86,14.53,0.000
3,1002,0,0.00,16.83,0.86,14.48,0.000
4,1002,0,0.00,16.83,0.86,14.51,0.000
5,1004,0,0.00,16.83,0.86,14.44,0.000
6,1004,0,0.00,16.83,0.86,14.45,0.000
7,1006,0,0.00,16.83,0.86,14.51,0.000
8,1006,0,0.00,16.83,0.86,14.55,0.000
9,1008,0,0.00,16.83,0.86,14.51,0.000
10,1008,0,0.00,16.83,0.86,14.50,0.000
11,1010,0,0.00,16.83,0.87,14.60,0.000
12,1010,0,0.00,16.83,0.86,14.46,0.000
13,1012,0,0.00,16.83,0.86,14.55,0.000
14,1012,0,0.00,16.83,0.85,14.31,0.000
15,1014,0,0.00,16.82,0.87,14.59,0.000
16,1014,0,0.00,16.82,0.87,14.70,0.000
17,1016,0,0.00,16.82,0.88,14.77,0.000
18,1016,0,0.00,16.80,1.20,20.17,0.000
19,1018,0,0.00,16.80,1.96,32.86,0.000
20,1018,0,5.97,16.80,2.18,36.63,0.163
21,1020,0,9.86,16.80,2.03,34.03,0.290
22,1020,0,12.66,16.80,1.79,30.01,0.422
23,1022,0,17.48,16.80,1.58,26.51,0.660
24,1022,0,19.79,16.81,1.47,24.66,0.802
25,1024,0,20.45,16.80,1.41,23.68,0.863
26,1024,0,21.98,16.80,1.36,22.91,0.959
27,1026,0,23.54,16.81,1.31,21.96,1.072
28,1026,0,25.35,16.81,1.26,21.21,1.195
29,1028,0,26.34,16.81,1.24,20.84,1.264
30,1028,0,28.18,16.81,1.22,20.58,1.369
31,1030,0,28.89,16.81,1.20,20.24,1.427
32,1030,0,29.74,16.81,1.19,19.95,1.491
33,1032,0,29.96,16.81,1.18,19.79,1.514
34,1032,0,30.69,16.81,1.16,19.54,1.570
35,1034,3900,31.55,16.81,1.16,19.50,1.618
36,1034,4002,31.46,16.81,1.17,19.61,1.604
37,1036,4071,32.16,16.81,1.16,19.51,1.648
38,1036,4097,32.83,16.81,1.17,19.69,1.668
39,1038,4140,33.47,16.81,1.17,19.60,1.708
40,1038,4191,34.03,16.81,1.17,19.64,1.733
41,1040,4234,34.14,16.81,1.16,19.55,1.746
42,1040,4268,34.59,16.81,1.18,19.80,1.747
43,1042,4311,34.99,16.81,1.19,20.04,1.746
44,1042,4345,35.61,16.81,1.20,20.09,1.772
45,1044,4371,36.80,16.81,1.20,20.15,1.827
46,1044,4397,37.00,16.81,1.21,20.29,1.824
47,1046,4440,37.75,16.81,1.20,20.21,1.868
48,1046,4482,38.21,16.81,1.21,20.37,1.875
49,1048,4525,38.64,16.81,1.21,20.40,1.895
50,1048,4551,39.45,16.81,1.21,20.27,1.947
51,1050,4585,40.27,16.81,1.19,20.07,2.006
52,1050,4620,41.28,16.81,1.21,20.34,2.030
53,1052,4645,41.95,16.81,1.23,20.70,2.027
54,1052,4671,41.77,16.81,1.24,20.82,2.007
55,1054,4705,42.19,16.81,1.25,21.03,2.006
56,1054,4740,43.02,16.81,1.25,20.93,2.055
57,1056,4774,43.40,16.81,1.26,21.16,2.051
58,1056,4808,43.98,16.81,1.26,21.21,2.074
59,1058,4851,44.29,16.81,1.26,21.22,2.087
60,1058,4877,45.30,16.81,1.27,21.37,2.120
61,1060,4920,46.16,16.81,1.28,21.46,2.151
62,1060,4954,46.05,16.81,1.28,21.50,2.142
