seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.83,0.89,14.92,0.000
2,1000,0,0.00,16.84,0.88,14.87,0.000
3,1002,0,0.00,16.84,0.88,14.89,0.000
4,1002,0,0.00,16.84,0.89,14.92,0.000
5,1004,0,0.00,16.84,0.89,14.95,0.000
6,1004,0,0.00,16.84,0.89,14.93,0.000
7,1006,0,0.00,16.84,0.89,14.99,0.000
8,1006,0,0.00,16.84,0.88,14.86,0.000
9,1008,0,0.00,16.84,0.88,14.88,0.000
10,1008,0,0.00,16.84,0.89,14.98,0.000
11,1010,0,0.00,16.84,0.88,14.85,0.000
12,1010,0,0.00,16.84,0.89,14.91,0.000
13,1012,0,0.00,16.84,0.88,14.85,0.000
14,1012,0,0.00,16.83,0.88,14.76,0.000
15,1014,0,0.00,16.83,0.89,14.90,0.000
16,1014,0,0.00,16.83,0.90,15.11,0.000
17,1016,0,0.00,16.82,0.89,15.02,0.000
18,1016,0,0.00,16.81,1.27,21.36,0.000
19,1018,0,0.81,16.80,2.03,34.09,0.024
20,1018,0,5.29,16.80,2.32,38.98,0.136
21,1020,0,8.09,16.80,2.36,39.59,0.204
22,1020,0,9.62,16.80,2.30,38.68,0.249
23,1022,0,10.66,16.81,2.12,35.54,0.300
24,1022,0,12.11,16.81,1.90,31.96,0.379
25,1024,0,14.79,16.81,1.76,29.54,0.501
26,1024,0,17.69,16.81,1.63,27.47,0.644
27,1026,0,19.37,16.81,1.54,25.84,0.750
28,1026,0,21.87,16.81,1.49,25.10,0.871
29,1028,0,24.01,16.81,1.46,24.51,0.980
30,1028,0,27.58,16.81,1.41,23.69,1.164
31,1030,0,29.81,16.81,1.37,22.99,1.297
32,1030,0,32.28,16.81,1.34,22.59,1.429
33,1032,0,34.38,16.81,1.31,22.07,1.558
34,1032,0,35.86,16.82,1.29,21.73,1.650
35,1034,0,36.84,16.81,1.28,21.56,1.709
36,1034,0,37.46,16.82,1.28,21.57,1.737
37,1036,3840,38.36,16.82,1.27,21.41,1.792
38,1036,3900,39.54,16.82,1.28,21.45,1.844
39,1038,3960,40.75,16.82,1.27,21.37,1.907
40,1038,4011,40.98,16.82,1.26,21.23,1.930
41,1040,4062,41.91,16.82,1.26,21.19,1.978
42,1040,4105,42.92,16.81,1.27,21.43,2.003
43,1042,4140,43.42,16.82,1.27,21.43,2.026
44,1042,4174,44.72,16.81,1.28,21.52,2.078
45,1044,4208,45.67,16.81,1.28,21.54,2.120
46,1044,4251,46.32,16.81,1.29,21.64,2.140
47,1046,4285,46.83,16.82,1.28,21.54,2.174
48,1046,4328,47.11,16.81,1.30,21.80,2.161
49,1048,4354,47.55,16.81,1.30,21.88,2.173
50,1048,4397,48.29,16.82,1.31,22.01,2.194
51,1050,4431,48.76,16.81,1.31,21.99,2.217
52,1050,4457,49.60,16.81,1.31,21.97,2.258
53,1052,4491,50.22,16.81,1.32,22.12,2.270
54,1052,4525,51.05,16.81,1.33,22.38,2.280
55,1054,4560,51.89,16.81,1.35,22.63,2.293
56,1054,4585,52.53,16.81,1.34,22.45,2.340
57,1056,4620,53.33,16.82,1.35,22.73,2.346
58,1056,4654,54.34,16.81,1.34,22.59,2.405
59,1058,4688,54.78,16.81,1.35,22.73,2.410
60,1058,4705,55.75,16.82,1.37,22.97,2.427
61,1060,4740,56.62,16.81,1.37,23.01,2.461
62,1060,4774,57.48,16.81,1.38,23.16,2.481
63,1062,4808,57.97,16.81,1.38,23.26,2.492
64,1062,4851,58.06,16.81,1.38,23.23,2.500
65,1064,4877,58.76,16.81,1.40,23.47,2.504
66,1064,4902,59.65,16.81,1.41,23.68,2.519
67,1066,4937,60.23,16.81,1.41,23.68,2.543
68,1066,4962,61.26,16.81,1.41,23.72,2.582
69,1068,4988,61.94,16.81,1.42,23.80,2.603
70,1068,5022,63.10,16.81,1.42,23.88,2.642
71,1070,5048,63.94,16.81,1.44,24.20,2.642
72,1070,5082,64.16,16.81,1.43,24.11,2.661
73,1072,5108,65.42,16.81,1.44,24.21,2.702
74,1072,5142,66.19,16.81,1.45,24.43,2.709
75,1074,5168,67.23,16.81,1.46,24.50,2.744
76,1074,5194,67.66,16.81,1.46,24.57,2.754
77,1076,5220,68.10,16.81,1.47,24.68,2.760
78,1076,5245,68.93,16.81,1.47,24.78,2.782
79,1078,5271,69.25,16.81,1.47,24.72,2.801
80,1078,5305,70.58,16.81,1.48,24.91,2.834
81,1080,5331,71.60,16.81,1.48,24.94,2.871
82,1080,5365,72.21,16.81,1.51,25.34,2.850
83,1082,5391,72.93,16.81,1.50,25.24,2.889
84,1082,5408,73.44,16.81,1.50,25.18,2.917
85,1084,5442,73.78,16.81,1.51,25.36,2.909
86,1084,5468,74.41,16.81,1.54,25.83,2.880
87,1086,5502,75.25,16.81,1.54,25.85,2.912
88,1086,5520,76.31,16.81,1.53,25.79,2.958
89,1088,5554,77.00,16.81,1.54,25.83,2.981
90,1088,5580,77.44,16.81,1.54,25.91,2.989
91,1090,5605,77.97,16.81,1.57,26.32,2.962
92,1090,5631,78.16,16.81,1.58,26.63,2.935
93,1092,5665,78.62,16.81,1.58,26.59,2.957
94,1092,5691,80.27,16.81,1.59,26.67,3.010
95,1094,5717,81.09,16.81,1.59,26.71,3.035
96,1094,5742,82.34,16.81,1.59,26.77,3.076
