seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.62,0.79,10.02,0.000
2,1000,0,0.00,12.63,0.79,10.03,0.000
3,1002,0,0.00,12.63,0.79,9.99,0.000
4,1002,0,0.00,12.63,0.79,10.01,0.000
5,1004,0,0.00,12.63,0.79,10.02,0.000
6,1004,0,0.00,12.63,0.79,9.95,0.000
7,1006,0,0.00,12.63,0.79,10.03,0.000
8,1006,0,0.00,12.63,0.80,10.04,0.000
9,1008,0,0.00,12.63,0.79,9.98,0.000
10,1008,0,0.00,12.63,0.79,9.99,0.000
11,1010,0,0.00,12.63,0.79,10.01,0.000
12,1010,0,0.00,12.63,0.80,10.10,0.000
13,1012,0,0.00,12.63,0.80,10.05,0.000
14,1012,0,0.00,12.62,0.79,9.96,0.000
15,1014,0,0.00,12.62,0.80,10.12,0.000
16,1014,0,0.00,12.62,0.80,10.07,0.000
17,1016,0,0.00,12.62,0.80,10.11,0.000
18,1016,0,0.00,12.61,1.05,13.30,0.000
19,1018,0,0.00,12.61,1.33,16.78,0.000
20,1018,0,3.81,12.61,1.30,16.38,0.232
21,1020,0,6.83,12.62,1.21,15.28,0.447
22,1020,0,8.56,12.62,1.12,14.10,0.607
23,1022,0,8.98,12.61,1.07,13.48,0.667
24,1022,0,9.71,12.62,1.08,13.59,0.714
25,1024,0,9.96,12.62,1.06,13.37,0.745
26,1024,0,10.24,12.62,1.05,13.22,0.775
27,1026,0,10.62,12.62,1.03,13.02,0.816
28,1026,0,11.07,12.62,1.01,12.74,0.869
29,1028,0,11.59,12.62,1.00,12.64,0.917
30,1028,0,11.89,12.62,0.99,12.55,0.947
31,1030,0,12.25,12.61,0.98,12.39,0.989
32,1030,0,12.56,12.61,0.98,12.41,1.012
33,1032,0,12.51,12.62,0.99,12.44,1.006
34,1032,0,12.55,12.62,0.99,12.45,1.009
35,1034,0,12.57,12.62,0.99,12.44,1.011
36,1034,0,13.30,12.62,0.99,12.45,1.068
37,1036,0,13.22,12.61,1.01,12.72,1.039
38,1036,0,13.18,12.62,1.01,12.69,1.039
39,1038,0,13.15,12.62,1.01,12.72,1.034
40,1038,0,13.32,12.62,1.00,12.65,1.053
41,1040,0,13.70,12.62,1.00,12.63,1.084
42,1040,0,13.81,12.61,1.01,12.70,1.087
43,1042,0,14.14,12.62,1.01,12.76,1.108
44,1042,0,14.03,12.62,1.02,12.83,1.094
45,1044,0,14.28,12.62,1.02,12.81,1.115
46,1044,0,14.43,12.62,1.02,12.85,1.122
47,1046,0,14.46,12.62,1.00,12.65,1.143
48,1046,0,14.63,12.61,1.02,12.89,1.136
49,1048,0,14.61,12.62,1.02,12.93,1.130
50,1048,0,14.75,12.62,1.03,13.01,1.134
51,1050,0,14.86,12.62,1.03,12.94,1.149
52,1050,0,14.80,12.62,1.03,12.99,1.140
53,1052,0,14.73,12.62,1.03,13.01,1.132
54,1052,0,15.17,12.62,1.04,13.15,1.154
55,1054,0,15.15,12.61,1.04,13.13,1.154
56,1054,0,15.17,12.62,1.04,13.18,1.151
57,1056,0,15.38,12.62,1.04,13.11,1.173
58,1056,3694,15.60,12.62,1.05,13.19,1.183
59,1058,3711,15.58,12.61,1.06,13.33,1.169
60,1058,3728,15.93,12.62,1.06,13.43,1.187
61,1060,3762,16.30,12.61,1.06,13.31,1.225
62,1060,3780,16.33,12.62,1.05,13.30,1.228
63,1062,3805,16.33,12.62,1.05,13.21,1.236
64,1062,3814,16.44,12.62,1.06,13.31,1.235
65,1064,3831,16.62,12.62,1.06,13.39,1.241
66,1064,3848,16.54,12.61,1.07,13.50,1.225
67,1066,3882,16.36,12.61,1.07,13.54,1.208
68,1066,3900,16.68,12.62,1.06,13.42,1.243
69,1068,3925,17.09,12.62,1.07,13.53,1.262
70,1068,3942,17.12,12.62,1.07,13.51,1.267
71,1070,3968,16.95,12.61,1.08,13.66,1.240
72,1070,3985,17.05,12.62,1.08,13.68,1.246
73,1072,4002,17.58,12.62,1.08,13.63,1.290
74,1072,4020,17.89,12.62,1.09,13.76,1.300
75,1074,4045,18.34,12.62,1.09,13.73,1.336
76,1074,4071,18.65,12.61,1.10,13.89,1.342
77,1076,4105,18.68,12.62,1.10,13.94,1.339
78,1076,4140,18.86,12.62,1.11,13.97,1.349
79,1078,4174,19.16,12.62,1.11,13.98,1.370
80,1078,4217,19.89,12.62,1.10,13.87,1.434
81,1080,4251,20.19,12.62,1.10,13.93,1.450
82,1080,4285,20.09,12.61,1.12,14.08,1.427
83,1082,4311,20.80,12.62,1.12,14.14,1.471
84,1082,4328,20.70,12.62,1.12,14.10,1.468
85,1084,4345,20.49,12.62,1.12,14.17,1.446
86,1084,4371,20.70,12.62,1.13,14.27,1.451
87,1086,4397,20.62,12.62,1.13,14.28,1.444
88,1086,4422,20.90,12.62,1.13,14.31,1.460
89,1088,4440,21.36,12.62,1.14,14.34,1.489
90,1088,4465,21.34,12.62,1.14,14.39,1.483
91,1090,4500,21.61,12.62,1.14,14.38,1.504
92,1090,4534,22.05,12.61,1.17,14.71,1.498
93,1092,4568,22.23,12.62,1.16,14.65,1.517
94,1092,4602,22.80,12.62,1.14,14.38,1.585
