seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.625,0.790
2,1000,0,0.00,12.627,0.794
3,1002,0,0.00,12.629,0.793
4,1002,0,0.00,12.623,0.784
5,1004,0,0.00,12.627,0.797
6,1004,0,0.00,12.626,0.788
7,1006,0,0.00,12.626,0.798
8,1006,0,0.00,12.625,0.792
9,1008,0,0.00,12.626,0.791
10,1008,0,0.00,12.629,0.792
11,1010,0,0.00,12.628,0.793
12,1010,0,0.00,12.623,0.797
13,1012,0,0.00,12.624,0.787
14,1012,0,0.00,12.621,0.789
15,1014,0,0.00,12.620,0.801
16,1014,0,0.00,12.622,0.799
17,1016,0,0.00,12.616,0.807
18,1016,0,0.00,12.609,1.063
19,1018,0,0.00,12.611,1.341
20,1018,0,4.73,12.610,1.309
21,1020,0,7.31,12.614,1.213
22,1020,0,8.42,12.612,1.120
23,1022,0,9.00,12.611,1.073
24,1022,0,9.86,12.613,1.077
25,1024,0,10.11,12.610,1.061
26,1024,0,10.54,12.614,1.049
27,1026,0,10.76,12.614,1.033
28,1026,0,11.19,12.619,1.015
29,1028,0,11.37,12.615,1.003
30,1028,0,11.83,12.613,0.995
31,1030,0,12.11,12.609,0.982
32,1030,0,12.68,12.609,0.981
33,1032,0,12.84,12.614,0.986
34,1032,0,12.90,12.615,0.994
35,1034,0,12.93,12.614,0.989
36,1034,0,13.56,12.616,0.990
37,1036,0,13.58,12.609,1.013
38,1036,0,13.53,12.615,1.008
39,1038,0,13.54,12.613,1.009
40,1038,0,13.55,12.614,1.003
41,1040,0,13.68,12.612,1.001
42,1040,0,13.89,12.609,1.009
43,1042,0,14.30,12.615,1.004
44,1042,0,14.15,12.613,1.016
45,1044,0,14.20,12.613,1.011
46,1044,0,14.31,12.615,1.013
47,1046,0,14.59,12.614,1.009
48,1046,0,14.82,12.612,1.025
49,1048,0,14.81,12.615,1.020
50,1048,0,14.79,12.612,1.024
51,1050,0,14.87,12.617,1.027
52,1050,0,14.93,12.611,1.034
53,1052,0,14.76,12.617,1.031
54,1052,0,15.19,12.615,1.038
55,1054,0,15.24,12.612,1.043
56,1054,0,15.37,12.617,1.042
57,1056,0,15.62,12.611,1.042
58,1056,3694,15.57,12.614,1.039
59,1058,3711,15.68,12.608,1.062
60,1058,3728,15.62,12.618,1.055
61,1060,3762,16.15,12.614,1.062
62,1060,3780,16.31,12.614,1.060
63,1062,3805,16.43,12.613,1.051
64,1062,3814,16.73,12.613,1.048
65,1064,3831,16.82,12.615,1.059
66,1064,3848,16.47,12.614,1.069
67,1066,3865,16.51,12.611,1.076
68,1066,3882,16.90,12.614,1.067
69,1068,3908,17.22,12.620,1.083
70,1068,3925,17.49,12.612,1.073
71,1070,3951,17.18,12.609,1.079
72,1070,3968,17.03,12.616,1.076
73,1072,3985,17.22,12.614,1.084
74,1072,4002,17.45,12.615,1.093
75,1074,4028,18.13,12.611,1.084
76,1074,4045,18.35,12.611,1.103
