seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.61,0.81,10.26,0.000
2,1000,0,0.00,12.61,0.81,10.20,0.000
3,1002,0,0.00,12.61,0.81,10.28,0.000
4,1002,0,0.00,12.61,0.81,10.22,0.000
5,1004,0,0.00,12.62,0.81,10.21,0.000
6,1004,0,0.00,12.62,0.81,10.24,0.000
7,1006,0,0.00,12.61,0.81,10.25,0.000
8,1006,0,0.00,12.62,0.81,10.23,0.000
9,1008,0,0.00,12.61,0.81,10.23,0.000
10,1008,0,0.00,12.61,0.81,10.19,0.000
11,1010,0,0.00,12.61,0.81,10.19,0.000
12,1010,0,0.00,12.62,0.81,10.18,0.000
13,1012,0,0.00,12.61,0.80,10.14,0.000
14,1012,0,0.00,12.61,0.80,10.14,0.000
15,1014,0,0.00,12.61,0.81,10.24,0.000
16,1014,0,0.00,12.61,0.82,10.33,0.000
17,1016,0,0.00,12.61,0.82,10.39,0.000
18,1016,0,0.00,12.60,1.08,13.64,0.000
19,1018,0,0.00,12.60,1.48,18.60,0.000
20,1018,0,1.60,12.60,1.49,18.81,0.085
21,1020,0,4.02,12.60,1.34,16.85,0.238
22,1020,0,6.17,12.60,1.20,15.15,0.407
23,1022,0,6.98,12.60,1.12,14.10,0.495
24,1022,0,7.25,12.60,1.09,13.69,0.529
25,1024,0,7.79,12.60,1.07,13.49,0.577
26,1024,0,7.97,12.60,1.06,13.37,0.596
27,1026,0,8.59,12.60,1.03,13.03,0.659
28,1026,0,8.91,12.60,1.02,12.82,0.696
29,1028,0,9.07,12.60,1.00,12.55,0.723
30,1028,0,9.34,12.60,0.99,12.53,0.745
31,1030,0,9.49,12.60,0.99,12.50,0.760
32,1030,0,9.75,12.60,0.99,12.49,0.780
33,1032,0,9.91,12.60,0.99,12.49,0.794
34,1032,0,9.85,12.60,0.99,12.47,0.790
35,1034,0,9.96,12.60,0.98,12.38,0.805
36,1034,0,10.13,12.60,0.98,12.32,0.823
37,1036,0,10.02,12.61,1.00,12.58,0.797
38,1036,0,10.09,12.60,1.00,12.62,0.800
39,1038,0,10.36,12.60,1.00,12.63,0.820
40,1038,0,10.36,12.60,1.00,12.56,0.825
41,1040,0,10.35,12.60,1.00,12.60,0.821
42,1040,0,10.75,12.60,1.00,12.61,0.853
