seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.627,0.804
2,1000,0,0.00,12.628,0.810
3,1002,0,0.00,12.625,0.812
4,1002,0,0.00,12.629,0.815
5,1004,0,0.00,12.628,0.815
6,1004,0,0.00,12.631,0.820
7,1006,0,0.00,12.631,0.808
8,1006,0,0.00,12.630,0.814
9,1008,0,0.00,12.628,0.806
10,1008,0,0.00,12.627,0.815
11,1010,0,0.00,12.634,0.809
12,1010,0,0.00,12.632,0.817
13,1012,0,0.00,12.628,0.815
14,1012,0,0.00,12.623,0.804
15,1014,0,0.00,12.626,0.819
16,1014,0,0.00,12.620,0.829
17,1016,0,0.00,12.620,0.826
18,1016,0,0.00,12.614,1.026
19,1018,0,0.00,12.614,1.437
20,1018,0,3.60,12.614,1.405
21,1020,0,7.66,12.619,1.267
22,1020,0,9.76,12.617,1.158
23,1022,0,11.45,12.618,1.083
24,1022,0,11.99,12.618,1.085
25,1024,0,11.62,12.618,1.072
26,1024,0,11.90,12.618,1.051
27,1026,0,12.33,12.618,1.020
28,1026,0,12.91,12.619,1.002
29,1028,0,12.92,12.618,0.996
30,1028,0,12.87,12.620,0.997
31,1030,0,12.97,12.615,0.987
32,1030,0,13.25,12.613,0.990
33,1032,0,13.03,12.616,0.990
34,1032,0,13.27,12.621,0.994
35,1034,0,13.35,12.624,0.991
36,1034,0,13.26,12.622,0.999
37,1036,0,13.59,12.617,0.997
38,1036,0,13.76,12.621,1.000
39,1038,0,13.70,12.620,1.014
40,1038,0,13.98,12.617,1.001
41,1040,0,13.89,12.616,0.996
42,1040,0,13.80,12.617,1.005
43,1042,0,13.58,12.619,1.008
44,1042,0,13.51,12.620,1.020
45,1044,0,13.61,12.617,1.018
46,1044,0,13.72,12.617,1.009
47,1046,0,13.84,12.617,1.005
48,1046,0,13.77,12.618,1.024
49,1048,0,13.71,12.616,1.015
50,1048,0,14.52,12.620,1.020
51,1050,0,14.74,12.621,1.022
52,1050,0,14.43,12.617,1.017
53,1052,0,14.16,12.618,1.023
54,1052,0,14.58,12.620,1.040
55,1054,0,14.47,12.621,1.024
56,1054,3694,14.67,12.622,1.028
57,1056,3720,14.84,12.619,1.038
58,1056,3745,14.77,12.620,1.038
59,1058,3771,14.86,12.616,1.043
60,1058,3797,15.03,12.615,1.048
61,1060,3822,15.44,12.620,1.046
62,1060,3840,15.65,12.620,1.040
63,1062,3865,15.24,12.617,1.043
64,1062,3891,15.79,12.620,1.043
65,1064,3908,15.77,12.617,1.052
66,1064,3934,16.10,12.619,1.062
67,1066,3951,15.84,12.617,1.049
68,1066,3977,16.35,12.613,1.049
69,1068,3994,16.24,12.618,1.052
70,1068,4020,16.12,12.623,1.053
71,1070,4037,16.30,12.620,1.047
72,1070,4062,16.41,12.616,1.068
73,1072,4097,16.69,12.611,1.070
74,1072,4140,17.00,12.618,1.076
75,1074,4182,17.30,12.616,1.070
76,1074,4217,17.38,12.619,1.072
77,1076,4251,17.46,12.618,1.074
78,1076,4277,17.55,12.616,1.084
79,1078,4302,17.35,12.619,1.075
80,1078,4328,17.75,12.620,1.076
81,1080,4354,17.98,12.620,1.075
82,1080,4380,18.00,12.617,1.089
83,1082,4397,17.99,12.616,1.088
84,1082,4405,18.23,12.618,1.110
85,1084,4440,18.61,12.619,1.087
86,1084,4457,18.97,12.614,1.100
87,1086,4491,18.97,12.622,1.100
88,1086,4525,20.15,12.617,1.122
89,1088,4560,20.42,12.620,1.131
90,1088,4602,20.88,12.620,1.112
91,1090,4628,20.95,12.617,1.117
92,1090,4662,20.98,12.619,1.132
93,1092,4688,20.89,12.615,1.119
94,1092,4722,21.32,12.619,1.138
95,1094,4757,21.34,12.615,1.133
96,1094,4782,21.39,12.616,1.131
97,1096,4817,22.35,12.618,1.136
98,1096,4842,22.33,12.615,1.147
99,1098,4868,22.46,12.617,1.143
100,1098,4902,22.80,12.619,1.138
101,1100,4928,22.94,12.618,1.145
102,1100,4954,22.98,12.615,1.163
103,1102,4988,23.17,12.614,1.159
104,1102,5014,23.22,12.612,1.142
105,1104,5048,23.33,12.611,1.166
106,1104,5074,23.41,12.617,1.168
107,1106,5100,23.48,12.618,1.169
108,1106,5134,23.58,12.620,1.180
109,1108,5160,24.48,12.616,1.162
110,1108,5185,24.99,12.615,1.154
111,1110,5211,25.27,12.617,1.162
112,1110,5237,25.21,12.616,1.189
113,1112,5254,25.11,12.611,1.168
114,1112,5288,25.33,12.617,1.183
115,1114,5314,25.96,12.620,1.194
116,1114,5340,25.88,12.617,1.182
117,1116,5374,25.89,12.614,1.194
118,1116,5400,25.63,12.618,1.200
119,1118,5425,25.60,12.615,1.185
120,1118,5451,26.58,12.617,1.190
121,1120,5477,27.28,12.617,1.210
122,1120,5502,27.30,12.617,1.215
123,1122,5537,26.81,12.618,1.214
124,1122,5562,27.00,12.617,1.224
125,1124,5597,27.34,12.615,1.220
126,1124,5622,27.41,12.617,1.211
127,1126,5640,27.48,12.617,1.211
128,1126,5665,27.46,12.619,1.236
129,1128,5691,27.59,12.615,1.239
130,1128,5725,27.83,12.615,1.243
131,1130,5760,27.99,12.611,1.251
132,1130,5794,28.62,12.617,1.239
133,1132,5820,29.21,12.615,1.245
134,1132,5845,29.55,12.617,1.245
135,1134,5871,29.80,12.614,1.242
136,1134,5897,30.09,12.620,1.259
137,1136,5931,30.52,12.612,1.261
138,1136,5957,30.97,12.613,1.262
139,1138,5991,31.20,12.617,1.267
140,1138,6025,31.00,12.614,1.270
141,1140,6060,31.33,12.613,1.306
142,1140,6094,31.79,12.620,1.294
143,1142,6120,32.08,12.615,1.274
144,1142,6145,32.76,12.615,1.277
145,1144,6171,32.72,12.614,1.287
146,1144,6197,32.90,12.615,1.304
147,1146,6231,33.26,12.613,1.307
148,1146,6257,33.27,12.616,1.305
149,1148,6282,33.81,12.614,1.305
150,1148,6300,34.37,12.616,1.320
151,1150,6342,34.46,12.616,1.318
152,1150,6368,33.99,12.614,1.318
153,1152,6402,34.32,12.612,1.301
154,1152,6437,34.74,12.615,1.323
155,1154,6454,34.76,12.616,1.309
156,1154,6471,34.48,12.615,1.317
157,1156,6497,34.53,12.617,1.334
158,1156,6522,35.02,12.617,1.342
159,1158,6548,35.85,12.616,1.349
160,1158,6574,36.22,12.618,1.350
161,1160,6608,36.86,12.612,1.372
162,1160,6634,37.17,12.616,1.354
163,1162,6668,37.53,12.613,1.353
164,1162,6694,37.66,12.613,1.350
165,1164,6720,38.04,12.617,1.335
166,1164,6737,38.70,12.615,1.350
167,1166,6754,38.58,12.618,1.349
