seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.823,0.816
2,1000,0,0.00,16.823,0.823
3,1002,0,0.00,16.820,0.821
4,1002,0,0.00,16.825,0.821
5,1004,0,0.00,16.821,0.825
6,1004,0,0.00,16.825,0.823
7,1006,0,0.00,16.826,0.818
8,1006,0,0.00,16.827,0.820
9,1008,0,0.00,16.823,0.812
10,1008,0,0.00,16.822,0.823
11,1010,0,0.00,16.825,0.818
12,1010,0,0.00,16.819,0.818
13,1012,0,0.00,16.821,0.834
14,1012,0,0.00,16.820,0.811
15,1014,0,0.00,16.817,0.820
16,1014,0,0.00,16.810,0.837
17,1016,0,0.00,16.818,0.833
18,1016,0,0.00,16.802,1.141
19,1018,0,0.00,16.803,1.707
20,1018,0,4.74,16.796,1.654
21,1020,0,8.39,16.801,1.447
22,1020,0,10.43,16.804,1.293
23,1022,0,12.25,16.799,1.238
24,1022,0,13.48,16.806,1.198
25,1024,0,16.37,16.807,1.146
26,1024,0,17.49,16.802,1.108
27,1026,0,18.00,16.808,1.088
28,1026,0,18.48,16.805,1.080
29,1028,0,18.70,16.804,1.053
30,1028,0,18.94,16.808,1.059
31,1030,0,19.20,16.806,1.072
32,1030,0,19.49,16.807,1.067
33,1032,0,20.52,16.800,1.067
34,1032,4054,20.54,16.802,1.057
35,1034,4140,20.78,16.809,1.051
36,1034,4208,21.13,16.809,1.063
37,1036,4242,21.48,16.806,1.076
38,1036,4285,21.57,16.804,1.086
39,1038,4328,21.48,16.806,1.086
40,1038,4371,21.86,16.808,1.079
41,1040,4405,22.39,16.805,1.092
42,1040,4448,22.63,16.802,1.104
43,1042,4500,23.02,16.805,1.092
44,1042,4534,23.67,16.809,1.106
45,1044,4568,24.30,16.804,1.100
46,1044,4611,24.47,16.807,1.101
47,1046,4654,24.83,16.808,1.106
48,1046,4688,24.81,16.805,1.118
49,1048,4731,24.91,16.804,1.123
50,1048,4757,25.26,16.806,1.114
51,1050,4800,25.71,16.806,1.124
52,1050,4834,26.25,16.802,1.125
53,1052,4868,26.29,16.803,1.130
54,1052,4902,27.04,16.806,1.162
55,1054,4945,27.40,16.810,1.135
56,1054,4980,28.26,16.805,1.132
57,1056,5014,28.56,16.804,1.135
58,1056,5040,28.43,16.806,1.135
59,1058,5065,28.48,16.808,1.160
60,1058,5100,28.78,16.804,1.161
61,1060,5134,29.59,16.802,1.166
62,1060,5168,29.97,16.804,1.164
63,1062,5202,30.03,16.802,1.180
64,1062,5245,30.39,16.802,1.165
65,1064,5280,30.57,16.806,1.164
66,1064,5305,30.61,16.805,1.173
67,1066,5331,31.19,16.804,1.167
68,1066,5357,31.32,16.804,1.188
69,1068,5391,31.70,16.803,1.186
70,1068,5425,32.10,16.800,1.207
71,1070,5460,32.33,16.803,1.199
72,1070,5502,32.71,16.805,1.200
73,1072,5537,33.27,16.804,1.198
74,1072,5571,33.78,16.803,1.212
75,1074,5605,33.88,16.806,1.221
76,1074,5648,34.42,16.805,1.239
77,1076,5682,34.61,16.806,1.250
78,1076,5725,34.78,16.804,1.227
79,1078,5760,34.99,16.800,1.242
80,1078,5794,35.20,16.805,1.239
81,1080,5828,35.46,16.800,1.250
82,1080,5862,35.84,16.803,1.257
83,1082,5905,36.92,16.804,1.247
84,1082,5940,37.29,16.799,1.259
85,1084,5974,37.50,16.801,1.255
86,1084,6000,37.86,16.801,1.274
87,1086,6034,38.40,16.801,1.270
88,1086,6060,38.69,16.804,1.282
89,1088,6094,39.04,16.801,1.282
90,1088,6128,39.60,16.800,1.299
91,1090,6154,40.11,16.799,1.300
92,1090,6197,40.04,16.801,1.290
93,1092,6214,40.27,16.799,1.305
94,1092,6248,40.48,16.806,1.324
95,1094,6282,40.86,16.801,1.331
96,1094,6317,41.53,16.801,1.342
97,1096,6360,42.08,16.804,1.341
98,1096,6411,43.06,16.798,1.339
99,1098,6454,43.42,16.801,1.338
100,1098,6488,43.79,16.799,1.340
101,1100,6522,44.01,16.805,1.351
102,1100,6548,44.46,16.805,1.345
103,1102,6582,44.84,16.807,1.369
104,1102,6617,45.02,16.798,1.367
105,1104,6651,45.65,16.800,1.365
106,1104,6685,45.91,16.799,1.377
107,1106,6711,46.28,16.802,1.386
108,1106,6745,46.69,16.801,1.404
109,1108,6788,46.97,16.800,1.396
110,1108,6814,47.29,16.800,1.388
111,1110,6840,48.00,16.799,1.402
112,1110,6874,48.01,16.801,1.431
113,1112,6908,48.25,16.797,1.428
