seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.62,0.86,10.84,0.000
2,1000,0,0.00,12.62,0.85,10.69,0.000
3,1002,0,0.00,12.63,0.85,10.79,0.000
4,1002,0,0.00,12.62,0.86,10.82,0.000
5,1004,0,0.00,12.63,0.86,10.83,0.000
6,1004,0,0.00,12.63,0.85,10.76,0.000
7,1006,0,0.00,12.62,0.86,10.90,0.000
8,1006,0,0.00,12.62,0.85,10.76,0.000
9,1008,0,0.00,12.62,0.86,10.81,0.000
10,1008,0,0.00,12.63,0.85,10.75,0.000
11,1010,0,0.00,12.63,0.85,10.75,0.000
12,1010,0,0.00,12.63,0.85,10.75,0.000
13,1012,0,0.00,12.63,0.85,10.79,0.000
14,1012,0,0.00,12.62,0.85,10.71,0.000
15,1014,0,0.00,12.62,0.86,10.82,0.000
16,1014,0,0.00,12.62,0.86,10.88,0.000
17,1016,0,0.00,12.62,0.87,10.94,0.000
18,1016,0,0.00,12.62,1.17,14.79,0.000
19,1018,0,0.74,12.61,1.73,21.82,0.034
20,1018,0,4.94,12.61,2.02,25.41,0.194
21,1020,0,7.49,12.61,2.14,27.00,0.277
22,1020,0,7.53,12.61,2.19,27.60,0.273
23,1022,0,7.64,12.61,2.02,25.49,0.300
24,1022,0,8.88,12.61,1.75,22.09,0.402
25,1024,0,10.84,12.61,1.52,19.16,0.565
26,1024,0,12.88,12.61,1.37,17.29,0.745
27,1026,0,13.20,12.61,1.28,16.17,0.816
28,1026,0,13.92,12.61,1.25,15.80,0.881
29,1028,0,15.11,12.61,1.23,15.51,0.974
30,1028,0,15.70,12.61,1.21,15.21,1.032
31,1030,0,16.75,12.61,1.18,14.86,1.127
32,1030,0,16.91,12.61,1.17,14.70,1.151
33,1032,0,17.43,12.61,1.15,14.56,1.197
34,1032,0,18.12,12.61,1.13,14.24,1.273
35,1034,0,18.30,12.61,1.11,14.05,1.303
36,1034,0,18.63,12.61,1.11,14.04,1.328
37,1036,0,18.95,12.61,1.11,13.96,1.358
38,1036,0,19.13,12.62,1.12,14.12,1.356
39,1038,0,19.76,12.61,1.12,14.09,1.402
40,1038,0,19.70,12.61,1.12,14.08,1.400
