seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.798,0.874
2,1000,0,0.00,16.800,0.886
3,1002,0,0.00,16.802,0.883
4,1002,0,0.00,16.802,0.875
5,1004,0,0.00,16.803,0.881
6,1004,0,0.00,16.800,0.878
7,1006,0,0.00,16.798,0.882
8,1006,0,0.00,16.801,0.876
9,1008,0,0.00,16.800,0.874
10,1008,0,0.00,16.798,0.873
11,1010,0,0.00,16.800,0.877
12,1010,0,0.00,16.801,0.876
13,1012,0,0.00,16.802,0.883
14,1012,0,0.00,16.794,0.876
15,1014,0,0.00,16.790,0.889
16,1014,0,0.00,16.792,0.891
17,1016,0,0.00,16.788,0.896
18,1016,0,0.00,16.774,1.244
19,1018,0,1.69,16.771,1.675
20,1018,0,7.44,16.773,1.683
21,1020,0,11.57,16.775,1.557
22,1020,0,14.73,16.777,1.446
23,1022,0,17.15,16.773,1.395
24,1022,0,18.84,16.771,1.408
25,1024,0,21.96,16.780,1.355
26,1024,0,22.78,16.779,1.324
27,1026,0,23.88,16.782,1.272
28,1026,0,25.26,16.774,1.246
29,1028,0,26.43,16.783,1.226
30,1028,0,27.32,16.776,1.215
31,1030,0,27.93,16.780,1.203
32,1030,0,28.48,16.783,1.206
33,1032,0,28.96,16.778,1.212
34,1032,3882,29.25,16.776,1.203
35,1034,3925,29.76,16.783,1.192
36,1034,3960,30.28,16.777,1.200
37,1036,3994,30.53,16.780,1.200
38,1036,4045,30.87,16.779,1.217
39,1038,4088,31.66,16.779,1.210
40,1038,4114,32.17,16.779,1.205
41,1040,4165,32.90,16.781,1.190
42,1040,4208,32.75,16.778,1.208
43,1042,4242,33.23,16.777,1.219
44,1042,4285,33.66,16.780,1.242
45,1044,4320,33.28,16.780,1.233
46,1044,4362,33.51,16.781,1.237
47,1046,4388,34.04,16.778,1.230
48,1046,4431,34.60,16.779,1.239
49,1048,4465,35.15,16.781,1.249
50,1048,4491,35.49,16.775,1.245
51,1050,4525,36.36,16.777,1.265
52,1050,4560,37.26,16.780,1.248
53,1052,4594,37.71,16.780,1.276
54,1052,4628,38.65,16.779,1.282
55,1054,4654,38.46,16.780,1.279
56,1054,4697,39.23,16.776,1.276
57,1056,4722,40.30,16.778,1.292
58,1056,4757,40.63,16.776,1.306
59,1058,4791,41.28,16.775,1.290
60,1058,4825,41.53,16.781,1.301
61,1060,4842,42.50,16.776,1.311
62,1060,4877,42.63,16.775,1.325
63,1062,4911,42.57,16.776,1.321
64,1062,4945,43.81,16.776,1.339
65,1064,4980,44.96,16.773,1.336
66,1064,5014,44.82,16.776,1.355
67,1066,5048,45.85,16.777,1.341
68,1066,5082,46.19,16.777,1.345
69,1068,5117,46.72,16.778,1.347
70,1068,5134,47.03,16.780,1.367
71,1070,5168,47.18,16.775,1.373
72,1070,5202,47.88,16.777,1.373
73,1072,5237,48.31,16.779,1.371
74,1072,5262,48.95,16.776,1.379
75,1074,5288,49.95,16.777,1.401
76,1074,5322,50.41,16.777,1.407
77,1076,5348,51.10,16.772,1.393
78,1076,5374,51.07,16.773,1.399
79,1078,5408,52.01,16.775,1.413
80,1078,5434,53.40,16.773,1.414
81,1080,5468,53.39,16.775,1.415
82,1080,5494,54.40,16.776,1.429
83,1082,5520,54.54,16.778,1.442
84,1082,5545,55.24,16.775,1.437
85,1084,5580,55.99,16.776,1.457
86,1084,5605,55.66,16.775,1.453
87,1086,5640,56.50,16.772,1.442
88,1086,5657,57.58,16.777,1.449
89,1088,5682,58.31,16.773,1.447
90,1088,5708,59.13,16.773,1.472
91,1090,5734,58.90,16.775,1.482
92,1090,5760,59.08,16.776,1.500
93,1092,5794,59.76,16.770,1.520
94,1092,5828,60.06,16.777,1.533
95,1094,5854,60.63,16.773,1.517
96,1094,5897,61.53,16.770,1.530
97,1096,5931,62.89,16.771,1.532
98,1096,5957,63.58,16.772,1.536
99,1098,5991,64.10,16.773,1.538
100,1098,6017,64.97,16.777,1.550
101,1100,6042,65.80,16.770,1.541
102,1100,6068,66.12,16.774,1.535
103,1102,6094,67.48,16.772,1.540
104,1102,6111,67.76,16.770,1.566
105,1104,6128,68.08,16.773,1.570
106,1104,6154,68.56,16.772,1.589
107,1106,6188,68.81,16.768,1.588
108,1106,6214,69.99,16.771,1.610
109,1108,6248,70.60,16.771,1.609
110,1108,6274,70.80,16.773,1.614
111,1110,6308,71.44,16.771,1.608
112,1110,6334,71.45,16.770,1.626
113,1112,6360,72.35,16.768,1.634
114,1112,6385,72.95,16.769,1.633
115,1114,6411,73.00,16.772,1.652
116,1114,6437,73.83,16.771,1.669
117,1116,6471,74.06,16.771,1.677
118,1116,6505,75.12,16.774,1.678
119,1118,6522,75.28,16.771,1.674
120,1118,6548,75.78,16.770,1.673
121,1120,6574,76.78,16.772,1.690
122,1120,6600,76.57,16.769,1.694
123,1122,6617,76.69,16.772,1.692
124,1122,6642,78.01,16.772,1.697
125,1124,6660,78.74,16.767,1.718
126,1124,6685,79.90,16.768,1.706
127,1126,6711,80.09,16.772,1.714
128,1126,6728,80.10,16.765,1.730
129,1128,6754,81.22,16.769,1.722
130,1128,6780,82.01,16.770,1.757
131,1130,6805,81.80,16.769,1.757
132,1130,6831,83.28,16.769,1.750
133,1132,6857,83.67,16.774,1.760
134,1132,6882,84.45,16.766,1.779
135,1134,6908,84.43,16.768,1.818
136,1134,6942,84.90,16.769,1.793
137,1136,6977,86.12,16.769,1.793
138,1136,7002,86.35,16.766,1.809
139,1138,7028,88.40,16.770,1.826
140,1138,7054,88.60,16.767,1.829
141,1140,7080,89.14,16.766,1.823
142,1140,7105,90.57,16.767,1.820
143,1142,7131,90.48,16.767,1.831
144,1142,7157,91.07,16.770,1.848
145,1144,7182,92.25,16.768,1.863
146,1144,7208,92.93,16.767,1.873
147,1146,7242,94.03,16.765,1.904
148,1146,7277,94.41,16.772,1.905
149,1148,7311,95.26,16.763,1.897
150,1148,7337,96.44,16.763,1.913
151,1150,7371,97.24,16.764,1.932
152,1150,7405,97.91,16.765,1.974
153,1152,7448,99.83,16.767,1.967
154,1152,7482,101.01,16.766,1.930
155,1154,7508,101.92,16.769,1.964
156,1154,7534,102.41,16.770,1.972
157,1156,7560,103.42,16.764,1.956
158,1156,7602,104.50,16.761,1.999
159,1158,7620,104.82,16.768,2.015
160,1158,7654,106.02,16.763,2.027
161,1160,7688,106.15,16.763,2.008
162,1160,7714,107.06,16.767,2.034
163,1162,7748,108.00,16.762,2.054
164,1162,7782,108.59,16.765,2.059
165,1164,7808,109.89,16.766,2.045
166,1164,7842,110.64,16.764,2.091
167,1166,7868,111.50,16.767,2.096
168,1166,7902,112.38,16.766,2.115
169,1168,7937,113.24,16.763,2.109
170,1168,7971,114.19,16.761,2.131
171,1170,7988,114.44,16.763,2.120
172,1170,8014,115.22,16.764,2.149
173,1172,8057,116.46,16.765,2.161
174,1172,8091,117.31,16.763,2.163
175,1174,8125,118.93,16.759,2.173
176,1174,8151,119.23,16.761,2.161
177,1176,8177,119.27,16.761,2.167
178,1176,8202,120.70,16.763,2.202
179,1178,8228,121.13,16.756,2.236
180,1178,8262,121.58,16.763,2.222
181,1180,8288,123.13,16.763,2.236
182,1180,8322,124.26,16.761,2.250
183,1182,8357,125.47,16.759,2.261
184,1182,8391,126.12,16.760,2.280
185,1184,8425,127.16,16.756,2.304
186,1184,8442,128.22,16.762,2.261
187,1186,8451,128.88,16.761,2.292
188,1186,8477,129.37,16.760,2.324
189,1188,8502,131.04,16.754,2.337
190,1188,8537,131.34,16.759,2.347
191,1190,8571,133.08,16.759,2.356
192,1190,8614,133.67,16.758,2.393
193,1192,8640,133.93,16.760,2.389
194,1192,8674,135.12,16.758,2.392
195,1194,8708,135.19,16.758,2.404
196,1194,8734,136.91,16.757,2.417
197,1196,8760,137.08,16.759,2.433
198,1196,8794,137.63,16.758,2.465
199,1198,8828,139.50,16.757,2.471
200,1198,8871,140.72,16.756,2.504
201,1200,8897,141.91,16.756,2.506
202,1200,8948,143.45,16.755,2.546
203,1202,8974,145.42,16.753,2.539
204,1202,9008,146.66,16.753,2.561
205,1204,9034,147.29,16.754,2.586
206,1204,9085,148.84,16.755,2.604
207,1206,9120,149.80,16.754,2.622
208,1206,9154,150.62,16.755,2.646
209,1208,9197,151.97,16.752,2.649
210,1208,9222,154.30,16.753,2.672
211,1210,9248,155.57,16.754,2.678
212,1210,9300,156.51,16.755,2.692
213,1212,9325,157.03,16.754,2.706
214,1212,9360,158.38,16.752,2.731
215,1214,9394,158.94,16.750,2.741
216,1214,9420,159.79,16.752,2.760
