seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.78,0.81,13.63,0.000
2,1000,0,0.00,16.78,0.82,13.70,0.000
3,1002,0,0.00,16.78,0.82,13.70,0.000
4,1002,0,0.00,16.78,0.82,13.74,0.000
5,1004,0,0.00,16.78,0.82,13.72,0.000
6,1004,0,0.00,16.78,0.81,13.61,0.000
7,1006,0,0.00,16.78,0.82,13.79,0.000
8,1006,0,0.00,16.78,0.81,13.62,0.000
9,1008,0,0.00,16.78,0.82,13.72,0.000
10,1008,0,0.00,16.78,0.82,13.72,0.000
11,1010,0,0.00,16.78,0.82,13.69,0.000
12,1010,0,0.00,16.78,0.82,13.82,0.000
13,1012,0,0.00,16.78,0.82,13.73,0.000
14,1012,0,0.00,16.78,0.81,13.56,0.000
15,1014,0,0.00,16.77,0.82,13.77,0.000
16,1014,0,0.00,16.77,0.83,13.91,0.000
17,1016,0,0.00,16.77,0.84,14.06,0.000
18,1016,0,0.00,16.76,1.16,19.50,0.000
19,1018,0,0.00,16.76,1.72,28.89,0.000
20,1018,0,4.14,16.75,1.75,29.26,0.141
21,1020,0,8.41,16.76,1.59,26.63,0.316
22,1020,0,11.10,16.76,1.43,23.96,0.463
23,1022,0,14.14,16.76,1.34,22.44,0.630
24,1022,0,14.57,16.76,1.32,22.14,0.658
25,1024,0,15.93,16.77,1.28,21.44,0.743
26,1024,0,17.09,16.76,1.23,20.69,0.826
27,1026,0,18.16,16.76,1.18,19.78,0.918
28,1026,0,19.23,16.76,1.15,19.33,0.995
29,1028,0,19.77,16.76,1.13,18.88,1.047
30,1028,0,20.66,16.77,1.11,18.59,1.112
31,1030,0,20.71,16.76,1.09,18.33,1.130
32,1030,0,21.15,16.76,1.10,18.51,1.142
33,1032,0,21.70,16.76,1.09,18.31,1.186
34,1032,3977,21.86,16.77,1.09,18.21,1.201
35,1034,4054,21.84,16.76,1.08,18.10,1.206
36,1034,4131,22.50,16.76,1.08,18.17,1.238
37,1036,4182,22.48,16.77,1.08,18.18,1.237
38,1036,4234,23.29,16.76,1.09,18.25,1.276
39,1038,4285,23.49,16.76,1.10,18.46,1.273
40,1038,4328,23.96,16.76,1.10,18.47,1.298
41,1040,4371,24.54,16.77,1.10,18.38,1.335
42,1040,4414,24.33,16.76,1.10,18.47,1.317
43,1042,4448,24.55,16.76,1.11,18.60,1.320
44,1042,4491,25.44,16.77,1.12,18.74,1.357
45,1044,4525,26.23,16.76,1.13,18.97,1.382
46,1044,4568,26.87,16.76,1.13,18.92,1.420
47,1046,4602,26.73,16.76,1.12,18.82,1.421
48,1046,4637,27.12,16.77,1.12,18.80,1.443
49,1048,4680,28.20,16.76,1.13,19.02,1.482
50,1048,4714,28.18,16.77,1.14,19.07,1.478
51,1050,4757,28.55,16.76,1.13,18.99,1.503
52,1050,4791,29.05,16.76,1.13,18.92,1.535
53,1052,4825,29.24,16.76,1.14,19.12,1.529
54,1052,4860,29.43,16.76,1.15,19.29,1.526
55,1054,4885,29.16,16.77,1.15,19.35,1.507
56,1054,4920,29.76,16.76,1.15,19.33,1.540
57,1056,4954,30.48,16.76,1.15,19.32,1.578
58,1056,4997,30.48,16.76,1.15,19.35,1.575
59,1058,5022,31.21,16.76,1.16,19.45,1.604
60,1058,5065,31.20,16.76,1.17,19.61,1.591
61,1060,5100,31.47,16.76,1.17,19.65,1.602
62,1060,5134,31.75,16.76,1.18,19.71,1.611
63,1062,5168,31.82,16.76,1.18,19.79,1.608
64,1062,5202,32.73,16.76,1.19,19.92,1.643
65,1064,5237,33.12,16.76,1.19,19.97,1.659
66,1064,5280,33.68,16.76,1.19,19.93,1.690
67,1066,5297,34.10,16.76,1.18,19.75,1.727
68,1066,5322,34.37,16.77,1.19,19.93,1.725
69,1068,5357,34.86,16.76,1.20,20.03,1.740
70,1068,5382,34.85,16.76,1.22,20.38,1.710
71,1070,5417,34.92,16.76,1.23,20.64,1.692
72,1070,5460,35.20,16.76,1.22,20.44,1.723
73,1072,5494,35.88,16.76,1.22,20.46,1.754
74,1072,5528,36.63,16.76,1.22,20.48,1.788
75,1074,5562,36.64,16.76,1.22,20.51,1.786
76,1074,5614,37.19,16.76,1.24,20.72,1.794
77,1076,5648,38.03,16.76,1.23,20.64,1.843
78,1076,5674,38.18,16.76,1.23,20.67,1.847
79,1078,5708,38.11,16.76,1.24,20.75,1.837
80,1078,5734,38.95,16.76,1.25,20.95,1.859
81,1080,5760,38.91,16.76,1.26,21.15,1.840
82,1080,5802,39.41,16.76,1.28,21.40,1.842
83,1082,5837,39.70,16.76,1.29,21.54,1.842
84,1082,5880,40.22,16.76,1.28,21.46,1.874
85,1084,5922,40.79,16.76,1.28,21.44,1.902
86,1084,5965,40.75,16.76,1.29,21.64,1.883
87,1086,6000,41.21,16.76,1.28,21.46,1.920
88,1086,6034,42.37,16.76,1.29,21.57,1.964
89,1088,6060,43.07,16.76,1.29,21.69,1.986
90,1088,6094,43.58,16.76,1.29,21.65,2.013
91,1090,6128,43.89,16.76,1.29,21.66,2.026
92,1090,6171,44.11,16.76,1.33,22.32,1.976
93,1092,6214,45.08,16.76,1.34,22.40,2.012
94,1092,6248,45.36,16.76,1.33,22.24,2.040
95,1094,6274,46.20,16.76,1.33,22.33,2.069
96,1094,6317,46.38,16.76,1.33,22.28,2.082
97,1096,6334,46.66,16.76,1.34,22.38,2.084
98,1096,6368,47.35,16.76,1.34,22.50,2.104
99,1098,6411,47.21,16.76,1.35,22.67,2.083
100,1098,6437,47.48,16.76,1.35,22.64,2.097
101,1100,6480,47.98,16.76,1.37,22.93,2.093
102,1100,6514,48.74,16.76,1.37,22.95,2.124
103,1102,6548,49.34,16.76,1.36,22.80,2.164
104,1102,6574,49.40,16.76,1.37,22.90,2.157
105,1104,6600,49.58,16.76,1.39,23.22,2.135
106,1104,6634,50.42,16.76,1.39,23.22,2.171
