seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.610,0.901
2,1000,0,0.00,12.613,0.888
3,1002,0,0.00,12.606,0.890
4,1002,0,0.00,12.609,0.897
5,1004,0,0.00,12.611,0.898
6,1004,0,0.00,12.613,0.903
7,1006,0,0.00,12.611,0.902
8,1006,0,0.00,12.610,0.892
9,1008,0,0.00,12.611,0.896
10,1008,0,0.00,12.606,0.897
11,1010,0,0.00,12.607,0.897
12,1010,0,0.00,12.608,0.897
13,1012,0,0.00,12.612,0.886
14,1012,0,0.00,12.603,0.889
15,1014,0,0.00,12.602,0.899
16,1014,0,0.00,12.602,0.908
17,1016,0,0.00,12.603,0.915
18,1016,0,0.00,12.596,1.111
19,1018,0,0.00,12.595,1.673
20,1018,0,4.97,12.592,1.972
21,1020,0,6.74,12.592,2.105
22,1020,0,7.08,12.591,2.173
23,1022,0,7.50,12.590,2.047
24,1022,0,7.69,12.588,1.833
25,1024,0,9.30,12.590,1.633
26,1024,0,11.44,12.588,1.492
27,1026,0,12.68,12.591,1.382
28,1026,0,14.34,12.595,1.325
29,1028,0,14.39,12.592,1.324
30,1028,0,14.75,12.596,1.304
31,1030,0,16.04,12.595,1.292
32,1030,0,17.60,12.590,1.261
33,1032,0,17.57,12.592,1.237
34,1032,0,18.86,12.596,1.210
35,1034,0,19.78,12.595,1.200
36,1034,0,21.72,12.601,1.196
37,1036,0,21.94,12.594,1.191
38,1036,0,23.64,12.605,1.199
39,1038,0,24.15,12.594,1.191
40,1038,0,24.38,12.596,1.187
41,1040,0,25.45,12.597,1.189
42,1040,0,24.80,12.592,1.184
43,1042,0,25.66,12.589,1.184
44,1042,0,26.35,12.593,1.194
45,1044,0,26.17,12.594,1.189
46,1044,0,26.79,12.596,1.189
47,1046,0,26.54,12.596,1.193
48,1046,0,27.22,12.593,1.201
49,1048,0,27.01,12.594,1.204
50,1048,0,27.30,12.594,1.209
51,1050,0,28.25,12.597,1.208
52,1050,0,28.74,12.593,1.208
53,1052,0,29.81,12.595,1.210
54,1052,0,30.37,12.595,1.216
55,1054,0,30.38,12.592,1.210
56,1054,0,30.46,12.596,1.208
57,1056,0,30.53,12.589,1.217
58,1056,0,30.56,12.594,1.224
59,1058,0,30.66,12.595,1.238
60,1058,0,31.36,12.589,1.255
61,1060,0,32.20,12.591,1.255
62,1060,0,32.64,12.593,1.260
63,1062,0,33.13,12.594,1.244
64,1062,0,33.63,12.590,1.265
65,1064,0,33.81,12.593,1.255
66,1064,3702,34.45,12.595,1.250
67,1066,3720,34.84,12.594,1.259
68,1066,3737,35.19,12.595,1.274
69,1068,3762,35.57,12.591,1.293
70,1068,3780,36.10,12.594,1.283
71,1070,3805,36.80,12.593,1.272
72,1070,3822,37.10,12.593,1.283
73,1072,3848,36.94,12.592,1.294
74,1072,3865,37.07,12.596,1.300
75,1074,3874,37.63,12.590,1.311
76,1074,3900,37.34,12.596,1.308
