seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.63,0.80,10.10,0.000
2,1000,0,0.00,12.64,0.80,10.13,0.000
3,1002,0,0.00,12.64,0.81,10.20,0.000
4,1002,0,0.00,12.63,0.80,10.13,0.000
5,1004,0,0.00,12.63,0.80,10.11,0.000
6,1004,0,0.00,12.64,0.80,10.08,0.000
7,1006,0,0.00,12.63,0.80,10.07,0.000
8,1006,0,0.00,12.63,0.80,10.12,0.000
9,1008,0,0.00,12.64,0.80,10.11,0.000
10,1008,0,0.00,12.64,0.80,10.16,0.000
11,1010,0,0.00,12.63,0.80,10.13,0.000
12,1010,0,0.00,12.63,0.80,10.15,0.000
13,1012,0,0.00,12.64,0.80,10.15,0.000
14,1012,0,0.00,12.63,0.80,10.12,0.000
15,1014,0,0.00,12.63,0.81,10.26,0.000
16,1014,0,0.00,12.63,0.81,10.28,0.000
17,1016,0,0.00,12.63,0.81,10.29,0.000
18,1016,0,0.00,12.62,1.10,13.87,0.000
19,1018,0,0.00,12.62,1.65,20.77,0.000
20,1018,0,3.60,12.62,1.93,24.33,0.148
21,1020,0,5.29,12.62,2.06,25.96,0.204
22,1020,0,5.44,12.62,2.11,26.68,0.204
23,1022,0,5.65,12.62,1.95,24.64,0.229
24,1022,0,6.07,12.62,1.69,21.28,0.285
25,1024,0,7.46,12.62,1.46,18.48,0.404
26,1024,0,9.45,12.62,1.32,16.60,0.569
27,1026,0,10.36,12.62,1.22,15.35,0.675
28,1026,0,11.00,12.62,1.19,15.02,0.732
29,1028,0,11.62,12.62,1.16,14.65,0.793
30,1028,0,12.31,12.62,1.14,14.36,0.857
31,1030,0,12.91,12.62,1.12,14.11,0.915
32,1030,0,13.32,12.62,1.11,13.97,0.953
33,1032,0,13.56,12.62,1.08,13.59,0.998
34,1032,0,13.94,12.62,1.06,13.39,1.041
35,1034,0,14.30,12.62,1.05,13.31,1.075
36,1034,0,14.51,12.62,1.05,13.24,1.096
37,1036,0,15.03,12.62,1.05,13.28,1.131
38,1036,0,14.98,12.62,1.05,13.25,1.131
39,1038,0,15.04,12.62,1.05,13.27,1.133
40,1038,0,15.15,12.62,1.04,13.19,1.148
41,1040,0,15.65,12.62,1.05,13.26,1.181
42,1040,0,15.70,12.62,1.06,13.32,1.179
43,1042,0,15.97,12.62,1.05,13.24,1.206
44,1042,0,16.27,12.62,1.06,13.38,1.216
45,1044,0,16.10,12.63,1.05,13.26,1.214
46,1044,0,16.13,12.62,1.05,13.31,1.212
47,1046,0,16.27,12.62,1.06,13.33,1.220
48,1046,0,16.56,12.62,1.06,13.41,1.235
49,1048,0,16.60,12.62,1.07,13.46,1.233
50,1048,0,16.52,12.62,1.06,13.43,1.230
51,1050,0,16.70,12.63,1.06,13.40,1.247
52,1050,0,16.88,12.62,1.07,13.49,1.251
53,1052,0,17.05,12.62,1.07,13.46,1.266
54,1052,0,17.16,12.62,1.09,13.79,1.244
55,1054,0,17.20,12.62,1.08,13.62,1.263
56,1054,0,17.44,12.62,1.08,13.65,1.277
57,1056,0,17.75,12.62,1.08,13.64,1.301
58,1056,0,17.77,12.62,1.08,13.67,1.300
59,1058,0,18.11,12.62,1.09,13.77,1.315
60,1058,3694,18.36,12.62,1.09,13.80,1.331
61,1060,3711,18.34,12.62,1.10,13.88,1.321
62,1060,3728,18.32,12.62,1.11,13.95,1.313
63,1062,3754,18.64,12.62,1.10,13.88,1.344
64,1062,3780,19.08,12.62,1.11,14.03,1.360
65,1064,3805,19.46,12.62,1.11,13.98,1.392
66,1064,3831,20.15,12.62,1.10,13.90,1.450
67,1066,3857,20.23,12.62,1.11,13.96,1.449
68,1066,3874,20.25,12.62,1.11,14.05,1.441
69,1068,3882,20.33,12.62,1.11,14.04,1.448
70,1068,3908,20.54,12.63,1.13,14.27,1.439
71,1070,3917,20.55,12.62,1.13,14.30,1.437
72,1070,3934,20.80,12.62,1.13,14.23,1.462
73,1072,3960,20.91,12.62,1.13,14.27,1.465
74,1072,3985,21.18,12.62,1.14,14.40,1.471
75,1074,4011,21.43,12.62,1.14,14.37,1.491
76,1074,4037,21.62,12.62,1.15,14.55,1.486
77,1076,4071,21.89,12.62,1.15,14.54,1.506
78,1076,4097,22.29,12.62,1.15,14.55,1.531
79,1078,4114,22.23,12.62,1.15,14.57,1.526
80,1078,4140,22.18,12.62,1.16,14.68,1.511
81,1080,4157,22.30,12.62,1.16,14.63,1.524
82,1080,4191,22.69,12.62,1.17,14.75,1.538
83,1082,4225,22.97,12.62,1.18,14.84,1.548
84,1082,4242,23.37,12.62,1.19,14.97,1.561
85,1084,4277,23.39,12.62,1.19,15.06,1.553
86,1084,4302,23.80,12.62,1.19,15.00,1.587
87,1086,4337,24.14,12.62,1.19,15.07,1.603
88,1086,4362,24.45,12.62,1.19,15.06,1.623
89,1088,4388,24.88,12.62,1.19,15.07,1.651
90,1088,4414,25.04,12.62,1.20,15.15,1.653
91,1090,4431,25.40,12.62,1.21,15.28,1.662
92,1090,4457,25.43,12.62,1.22,15.41,1.650
93,1092,4482,25.88,12.62,1.22,15.40,1.681
94,1092,4508,26.03,12.62,1.22,15.35,1.696
95,1094,4534,26.45,12.62,1.22,15.42,1.715
96,1094,4568,26.80,12.62,1.24,15.68,1.709
97,1096,4594,27.35,12.62,1.23,15.51,1.764
98,1096,4628,27.37,12.62,1.24,15.59,1.755
99,1098,4654,27.59,12.62,1.25,15.82,1.744
100,1098,4680,27.86,12.62,1.25,15.74,1.770
101,1100,4705,28.01,12.62,1.25,15.84,1.768
102,1100,4731,28.35,12.62,1.28,16.11,1.760
103,1102,4757,28.59,12.62,1.26,15.94,1.793
104,1102,4782,28.95,12.62,1.27,16.03,1.806
105,1104,4808,29.54,12.62,1.27,16.03,1.843
106,1104,4834,29.79,12.62,1.27,16.06,1.855
107,1106,4860,29.95,12.62,1.27,16.02,1.869
108,1106,4885,29.88,12.62,1.28,16.22,1.842
109,1108,4911,30.71,12.62,1.28,16.18,1.899
110,1108,4937,30.85,12.62,1.29,16.28,1.894
