seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.55,0.67,8.35,0.000
2,1000,0,0.00,12.55,0.67,8.37,0.000
3,1002,0,0.00,12.55,0.66,8.33,0.000
4,1002,0,0.00,12.55,0.66,8.23,0.000
5,1004,0,0.00,12.56,0.66,8.27,0.000
6,1004,0,0.00,12.55,0.66,8.34,0.000
7,1006,0,0.00,12.55,0.67,8.39,0.000
8,1006,0,0.00,12.55,0.67,8.41,0.000
9,1008,0,0.00,12.55,0.66,8.24,0.000
10,1008,0,0.00,12.55,0.67,8.36,0.000
11,1010,0,0.00,12.55,0.66,8.31,0.000
12,1010,0,0.00,12.55,0.66,8.25,0.000
13,1012,0,0.00,12.55,0.66,8.25,0.000
14,1012,0,0.00,12.55,0.67,8.35,0.000
15,1014,0,0.00,12.55,0.68,8.48,0.000
16,1014,0,0.00,12.55,0.69,8.60,0.000
17,1016,0,0.00,12.55,0.68,8.55,0.000
18,1016,0,0.00,12.54,0.73,9.16,0.000
19,1018,0,0.00,12.55,0.79,9.91,0.000
20,1018,0,0.00,12.54,0.82,10.31,0.000
21,1020,0,0.00,12.54,0.82,10.32,0.000
22,1020,0,0.00,12.54,0.79,9.93,0.000
23,1022,0,0.00,12.55,0.77,9.62,0.000
24,1022,0,0.00,12.54,0.76,9.53,0.000
25,1024,0,0.55,12.55,0.75,9.42,0.058
26,1024,0,0.55,12.55,0.74,9.34,0.058
27,1026,0,0.56,12.55,0.74,9.33,0.059
28,1026,0,0.57,12.55,0.75,9.38,0.061
29,1028,0,0.82,12.55,0.74,9.28,0.089
30,1028,0,0.97,12.55,0.73,9.13,0.107
31,1030,0,0.97,12.54,0.72,9.09,0.107
32,1030,0,0.98,12.55,0.73,9.19,0.107
33,1032,0,0.91,12.54,0.73,9.17,0.099
34,1032,0,0.88,12.55,0.73,9.14,0.096
35,1034,0,0.91,12.55,0.72,9.02,0.101
36,1034,0,0.77,12.55,0.72,9.02,0.085
37,1036,0,0.81,12.55,0.73,9.10,0.088
38,1036,0,0.94,12.54,0.73,9.15,0.103
39,1038,0,0.73,12.54,0.73,9.16,0.080
40,1038,0,0.77,12.55,0.74,9.29,0.083
41,1040,0,0.76,12.55,0.73,9.13,0.083
42,1040,0,0.93,12.54,0.73,9.14,0.102
43,1042,0,0.81,12.55,0.74,9.25,0.088
44,1042,0,0.90,12.54,0.73,9.19,0.098
45,1044,0,1.01,12.55,0.73,9.17,0.110
46,1044,0,0.97,12.54,0.74,9.27,0.105
47,1046,0,0.98,12.55,0.73,9.19,0.107
48,1046,0,0.98,12.54,0.73,9.17,0.107
49,1048,0,0.87,12.55,0.73,9.21,0.095
50,1048,0,0.94,12.54,0.72,9.02,0.104
51,1050,0,0.93,12.54,0.73,9.16,0.101
52,1050,0,0.90,12.55,0.74,9.29,0.097
53,1052,0,0.96,12.55,0.74,9.32,0.104
54,1052,0,1.09,12.54,0.75,9.43,0.116
55,1054,0,1.05,12.55,0.75,9.40,0.112
56,1054,0,0.88,12.54,0.74,9.30,0.095
57,1056,0,1.09,12.54,0.74,9.23,0.119
58,1056,0,1.17,12.54,0.75,9.36,0.125
59,1058,0,1.04,12.55,0.75,9.37,0.111
60,1058,0,0.88,12.54,0.74,9.24,0.095
61,1060,0,0.95,12.54,0.74,9.26,0.103
62,1060,0,1.14,12.54,0.75,9.43,0.120
63,1062,0,1.29,12.54,0.75,9.38,0.138
64,1062,0,1.28,12.54,0.75,9.43,0.136
65,1064,0,1.26,12.54,0.75,9.46,0.134
66,1064,0,1.29,12.54,0.75,9.41,0.138
67,1066,0,1.25,12.55,0.75,9.39,0.133
68,1066,0,1.28,12.54,0.75,9.38,0.136
69,1068,0,1.29,12.54,0.76,9.47,0.136
70,1068,0,1.36,12.55,0.75,9.42,0.145
71,1070,0,1.25,12.55,0.77,9.61,0.131
72,1070,0,1.25,12.54,0.76,9.54,0.130
73,1072,0,1.23,12.54,0.75,9.45,0.130
74,1072,0,1.29,12.54,0.76,9.52,0.136
75,1074,0,1.28,12.54,0.76,9.49,0.135
76,1074,0,1.07,12.55,0.76,9.56,0.112
77,1076,0,0.86,12.55,0.76,9.57,0.090
78,1076,0,1.18,12.54,0.77,9.70,0.122
79,1078,0,1.20,12.54,0.76,9.50,0.126
80,1078,0,1.21,12.54,0.77,9.69,0.125
81,1080,0,1.16,12.54,0.77,9.69,0.120
82,1080,0,1.25,12.55,0.77,9.62,0.130
83,1082,3668,1.17,12.55,0.76,9.50,0.123
84,1082,3694,1.26,12.54,0.77,9.68,0.130
85,1084,3711,1.23,12.55,0.77,9.64,0.127
86,1084,3737,1.43,12.54,0.77,9.61,0.149
87,1086,3754,1.38,12.55,0.77,9.67,0.143
88,1086,3771,1.22,12.54,0.77,9.61,0.127
89,1088,3797,1.26,12.55,0.78,9.78,0.129
90,1088,3814,1.26,12.54,0.77,9.68,0.130
91,1090,3831,1.18,12.54,0.77,9.63,0.123
92,1090,3848,1.16,12.54,0.78,9.73,0.119
93,1092,3874,1.30,12.54,0.78,9.77,0.133
94,1092,3891,1.14,12.55,0.77,9.72,0.117
95,1094,3908,1.29,12.54,0.78,9.81,0.132
96,1094,3925,1.23,12.54,0.78,9.73,0.126
97,1096,3951,1.29,12.54,0.78,9.73,0.133
98,1096,3968,1.39,12.55,0.79,9.88,0.141
99,1098,3994,1.41,12.54,0.79,9.87,0.142
100,1098,4011,1.32,12.54,0.78,9.83,0.134
101,1100,4028,1.52,12.54,0.79,9.89,0.154
102,1100,4054,1.58,12.54,0.78,9.78,0.162
103,1102,4071,1.46,12.55,0.77,9.69,0.150
104,1102,4080,1.39,12.54,0.78,9.81,0.141
105,1104,4097,1.48,12.54,0.78,9.80,0.151
106,1104,4122,1.53,12.54,0.79,9.91,0.155
107,1106,4140,1.38,12.54,0.79,9.86,0.140
108,1106,4157,1.42,12.54,0.79,9.92,0.143
109,1108,4182,1.46,12.54,0.79,9.95,0.147
110,1108,4200,1.35,12.54,0.79,9.90,0.137
111,1110,4225,1.26,12.54,0.79,9.92,0.128
112,1110,4251,2.14,12.54,0.81,10.18,0.210
113,1112,4277,1.60,12.54,0.80,10.07,0.159
114,1112,4294,1.64,12.54,0.80,10.03,0.164
115,1114,4320,1.88,12.54,0.80,10.04,0.187
116,1114,4354,1.84,12.54,0.80,10.06,0.183
117,1116,4380,1.71,12.54,0.81,10.21,0.167
118,1116,4405,1.57,12.54,0.81,10.15,0.155
119,1118,4431,2.67,12.54,0.82,10.24,0.261
120,1118,4457,2.75,12.54,0.82,10.29,0.267
121,1120,4491,2.89,12.54,0.81,10.14,0.285
122,1120,4517,3.08,12.54,0.82,10.23,0.301
123,1122,4542,3.86,12.54,0.81,10.20,0.379
124,1122,4560,4.84,12.54,0.81,10.17,0.476
125,1124,4585,4.90,12.54,0.82,10.27,0.477
126,1124,4602,4.72,12.54,0.83,10.37,0.456
127,1126,4620,4.86,12.54,0.82,10.30,0.471
128,1126,4645,5.53,12.54,0.83,10.38,0.532
129,1128,4662,6.30,12.54,0.82,10.24,0.615
130,1128,4688,7.14,12.54,0.82,10.30,0.693
131,1130,4705,7.69,12.54,0.82,10.34,0.743
132,1130,4731,7.80,12.54,0.82,10.24,0.762
133,1132,4748,7.88,12.54,0.83,10.41,0.757
134,1132,4774,7.78,12.54,0.83,10.37,0.750
135,1134,4791,7.73,12.54,0.84,10.51,0.735
136,1134,4808,7.74,12.54,0.83,10.45,0.740
137,1136,4825,7.97,12.54,0.84,10.53,0.757
138,1136,4851,7.84,12.54,0.84,10.58,0.741
139,1138,4877,8.11,12.53,0.83,10.40,0.779
140,1138,4894,8.23,12.54,0.84,10.51,0.783
141,1140,4911,7.92,12.54,0.83,10.40,0.761
142,1140,4937,7.80,12.54,0.85,10.68,0.730
143,1142,4962,7.98,12.54,0.84,10.53,0.758
144,1142,4980,8.16,12.54,0.84,10.50,0.778
145,1144,4997,8.24,12.54,0.84,10.52,0.783
146,1144,5014,8.09,12.54,0.85,10.64,0.760
147,1146,5031,8.20,12.54,0.84,10.56,0.776
148,1146,5057,8.49,12.54,0.85,10.62,0.800
149,1148,5065,8.38,12.54,0.84,10.60,0.790
150,1148,5082,8.12,12.54,0.84,10.54,0.771
151,1150,5108,8.07,12.54,0.86,10.74,0.752
152,1150,5125,8.09,12.54,0.86,10.81,0.748
153,1152,5142,8.38,12.54,0.86,10.81,0.775
154,1152,5160,8.53,12.54,0.86,10.73,0.795
155,1154,5185,8.60,12.54,0.87,10.91,0.788
156,1154,5202,8.75,12.54,0.85,10.66,0.820
157,1156,5220,8.85,12.54,0.87,10.90,0.812
158,1156,5237,8.76,12.54,0.86,10.81,0.811
159,1158,5254,9.12,12.54,0.85,10.68,0.854
160,1158,5280,9.29,12.54,0.85,10.66,0.872
161,1160,5288,9.41,12.54,0.86,10.81,0.871
162,1160,5305,9.19,12.53,0.88,11.00,0.835
163,1162,5331,9.29,12.53,0.88,11.05,0.841
164,1162,5348,9.45,12.53,0.87,10.89,0.868
165,1164,5365,9.89,12.54,0.86,10.82,0.914
166,1164,5382,10.50,12.54,0.89,11.11,0.945
167,1166,5400,10.39,12.53,0.87,10.92,0.952
168,1166,5417,11.09,12.54,0.87,10.90,1.017
169,1168,5434,11.59,12.54,0.87,10.92,1.062
170,1168,5451,11.38,12.54,0.87,10.94,1.040
171,1170,5477,11.43,12.54,0.89,11.16,1.023
172,1170,5494,11.62,12.54,0.89,11.11,1.046
173,1172,5520,11.73,12.54,0.89,11.14,1.053
174,1172,5537,12.48,12.54,0.89,11.14,1.120
175,1174,5562,12.44,12.53,0.90,11.24,1.106
176,1174,5588,12.55,12.53,0.89,11.20,1.120
177,1176,5605,12.63,12.54,0.89,11.14,1.134
178,1176,5622,12.39,12.54,0.90,11.24,1.102
179,1178,5640,12.28,12.54,0.89,11.13,1.103
180,1178,5657,12.54,12.53,0.89,11.17,1.122
181,1180,5674,13.37,12.54,0.90,11.24,1.189
182,1180,5691,13.32,12.54,0.90,11.23,1.186
