seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.548,0.670
2,1000,0,0.00,12.547,0.665
3,1002,0,0.00,12.549,0.661
4,1002,0,0.00,12.548,0.660
5,1004,0,0.00,12.558,0.667
6,1004,0,0.00,12.552,0.655
7,1006,0,0.00,12.554,0.665
8,1006,0,0.00,12.556,0.668
9,1008,0,0.00,12.552,0.659
10,1008,0,0.00,12.545,0.660
11,1010,0,0.00,12.548,0.653
12,1010,0,0.00,12.551,0.658
13,1012,0,0.00,12.550,0.657
14,1012,0,0.00,12.549,0.666
15,1014,0,0.00,12.549,0.675
16,1014,0,0.00,12.550,0.687
17,1016,0,0.00,12.549,0.684
18,1016,0,0.00,12.537,0.730
19,1018,0,0.00,12.544,0.790
20,1018,0,0.00,12.544,0.811
21,1020,0,0.00,12.540,0.832
22,1020,0,0.00,12.543,0.788
23,1022,0,0.00,12.548,0.771
24,1022,0,0.00,12.546,0.763
25,1024,0,1.09,12.547,0.742
26,1024,0,1.09,12.541,0.745
27,1026,0,1.11,12.545,0.737
28,1026,0,1.14,12.550,0.747
29,1028,0,1.65,12.544,0.745
30,1028,0,1.95,12.543,0.736
31,1030,0,1.95,12.544,0.724
32,1030,0,1.97,12.544,0.741
33,1032,0,1.82,12.545,0.731
34,1032,0,1.75,12.548,0.722
35,1034,0,1.82,12.550,0.715
36,1034,0,1.54,12.545,0.718
37,1036,0,1.61,12.544,0.724
38,1036,0,1.88,12.550,0.736
39,1038,0,1.47,12.543,0.726
40,1038,0,1.54,12.547,0.742
41,1040,0,1.51,12.546,0.731
42,1040,0,1.86,12.537,0.724
43,1042,0,1.62,12.546,0.738
44,1042,0,1.80,12.547,0.743
45,1044,0,2.02,12.552,0.719
46,1044,0,1.94,12.542,0.739
47,1046,0,1.97,12.541,0.722
48,1046,0,1.97,12.535,0.723
49,1048,0,1.74,12.552,0.728
50,1048,0,1.88,12.543,0.705
51,1050,0,1.85,12.546,0.731
52,1050,0,1.80,12.545,0.730
53,1052,0,1.93,12.550,0.745
54,1052,0,2.18,12.538,0.754
55,1054,0,2.10,12.544,0.748
56,1054,0,1.76,12.536,0.741
57,1056,0,2.19,12.548,0.724
58,1056,0,2.34,12.543,0.748
59,1058,0,2.08,12.543,0.745
60,1058,0,1.76,12.535,0.741
61,1060,0,1.90,12.541,0.737
62,1060,0,2.27,12.545,0.753
63,1062,0,2.59,12.540,0.735
64,1062,0,2.56,12.549,0.751
65,1064,0,2.53,12.548,0.749
66,1064,0,2.59,12.542,0.758
67,1066,0,2.49,12.547,0.741
68,1066,0,2.56,12.539,0.746
69,1068,0,2.58,12.545,0.751
70,1068,0,2.73,12.544,0.747
71,1070,0,2.51,12.543,0.763
72,1070,0,2.49,12.539,0.754
73,1072,0,2.45,12.540,0.762
74,1072,0,2.59,12.539,0.754
75,1074,0,2.57,12.539,0.761
76,1074,0,2.15,12.547,0.753
77,1076,0,1.73,12.545,0.760
78,1076,0,2.36,12.543,0.762
79,1078,0,2.40,12.538,0.751
80,1078,0,2.42,12.535,0.776
81,1080,0,2.32,12.537,0.773
82,1080,0,2.50,12.543,0.761
83,1082,3668,2.34,12.546,0.753
84,1082,3694,2.52,12.542,0.767
85,1084,3711,2.45,12.549,0.772
86,1084,3737,2.86,12.546,0.765
87,1086,3754,2.76,12.546,0.783
88,1086,3771,2.44,12.540,0.770
89,1088,3797,2.52,12.544,0.778
90,1088,3814,2.52,12.547,0.781
91,1090,3831,2.36,12.541,0.763
92,1090,3848,2.32,12.543,0.774
93,1092,3857,2.60,12.538,0.784
94,1092,3882,2.28,12.541,0.779
95,1094,3900,2.59,12.540,0.782
96,1094,3917,2.46,12.532,0.781
97,1096,3934,2.59,12.541,0.785
98,1096,3951,2.78,12.543,0.790
99,1098,3977,2.81,12.545,0.798
100,1098,3994,2.64,12.539,0.772
101,1100,4011,3.04,12.536,0.786
102,1100,4028,3.16,12.537,0.788
103,1102,4054,2.91,12.550,0.776
104,1102,4071,2.77,12.535,0.785
105,1104,4088,2.96,12.543,0.777
106,1104,4105,3.07,12.535,0.790
107,1106,4131,2.76,12.539,0.789
108,1106,4148,2.83,12.547,0.792
109,1108,4174,2.92,12.540,0.801
110,1108,4200,2.71,12.540,0.796
111,1110,4217,2.53,12.540,0.787
112,1110,4251,2.87,12.544,0.800
113,1112,4268,3.21,12.537,0.803
114,1112,4294,3.28,12.538,0.795
115,1114,4320,3.76,12.538,0.801
116,1114,4345,3.69,12.543,0.810
117,1116,4371,3.41,12.529,0.813
118,1116,4405,3.14,12.538,0.824
119,1118,4431,3.90,12.544,0.820
120,1118,4457,4.21,12.531,0.824
121,1120,4491,4.46,12.537,0.806
122,1120,4517,4.74,12.535,0.814
123,1122,4542,5.83,12.532,0.827
124,1122,4560,6.26,12.530,0.818
125,1124,4585,6.16,12.535,0.821
126,1124,4602,5.84,12.530,0.837
127,1126,4620,6.24,12.534,0.819
128,1126,4637,6.92,12.541,0.824
129,1128,4662,7.79,12.544,0.814
130,1128,4688,9.08,12.541,0.821
131,1130,4705,9.30,12.536,0.829
132,1130,4731,9.46,12.534,0.800
133,1132,4748,9.35,12.544,0.821
134,1132,4774,9.39,12.541,0.830
135,1134,4791,9.35,12.537,0.826
136,1134,4808,9.17,12.537,0.829
137,1136,4825,9.71,12.541,0.856
138,1136,4842,9.42,12.539,0.825
139,1138,4868,9.58,12.531,0.833
140,1138,4894,10.00,12.534,0.836
141,1140,4911,9.63,12.537,0.830
142,1140,4937,9.36,12.541,0.854
143,1142,4962,9.55,12.540,0.843
144,1142,4980,9.42,12.540,0.824
145,1144,4997,9.74,12.542,0.836
146,1144,5014,9.65,12.532,0.842
147,1146,5031,9.61,12.536,0.838
148,1146,5057,10.00,12.538,0.840
149,1148,5065,9.86,12.533,0.845
150,1148,5082,9.31,12.533,0.837
151,1150,5108,9.22,12.537,0.858
152,1150,5125,9.33,12.532,0.861
153,1152,5142,9.60,12.539,0.866
154,1152,5160,10.06,12.536,0.848
155,1154,5185,10.38,12.537,0.872
156,1154,5202,10.58,12.537,0.847
157,1156,5220,10.57,12.532,0.860
158,1156,5237,10.24,12.537,0.861
159,1158,5254,10.63,12.535,0.846
160,1158,5280,10.86,12.535,0.851
161,1160,5288,11.10,12.540,0.859
162,1160,5305,10.83,12.533,0.894
163,1162,5331,10.83,12.535,0.878
164,1162,5348,11.01,12.533,0.864
165,1164,5365,11.20,12.539,0.864
166,1164,5382,12.06,12.541,0.885
167,1166,5400,11.91,12.529,0.881
168,1166,5417,12.27,12.540,0.868
169,1168,5434,12.58,12.540,0.865
170,1168,5451,12.52,12.537,0.867
171,1170,5477,12.86,12.529,0.890
172,1170,5494,13.05,12.537,0.889
173,1172,5520,12.86,12.539,0.885
174,1172,5537,13.23,12.534,0.884
175,1174,5562,13.49,12.534,0.894
176,1174,5588,13.49,12.530,0.897
177,1176,5605,13.66,12.536,0.888
178,1176,5622,13.47,12.534,0.892
179,1178,5640,13.23,12.537,0.883
180,1178,5657,13.63,12.532,0.887
181,1180,5674,13.82,12.536,0.886
182,1180,5691,13.99,12.530,0.892
183,1182,5717,14.17,12.536,0.893
184,1182,5734,13.64,12.538,0.892
185,1184,5751,13.36,12.531,0.879
186,1184,5768,13.86,12.533,0.911
187,1186,5785,14.05,12.535,0.908
188,1186,5811,14.12,12.532,0.910
189,1188,5828,13.93,12.534,0.901
190,1188,5845,13.92,12.528,0.913
191,1190,5862,14.02,12.537,0.924
192,1190,5880,14.06,12.528,0.914
193,1192,5897,14.33,12.537,0.908
194,1192,5922,13.96,12.529,0.913
195,1194,5940,14.15,12.527,0.907
