seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.59,0.66,8.36,0.000
2,1000,0,0.00,12.58,0.65,8.23,0.000
3,1002,0,0.00,12.58,0.66,8.31,0.000
4,1002,0,0.00,12.58,0.66,8.25,0.000
5,1004,0,0.00,12.58,0.66,8.35,0.000
6,1004,0,0.00,12.58,0.67,8.37,0.000
7,1006,0,0.00,12.59,0.66,8.27,0.000
8,1006,0,0.00,12.58,0.65,8.15,0.000
9,1008,0,0.00,12.57,0.66,8.34,0.000
10,1008,0,0.00,12.59,0.67,8.49,0.000
11,1010,0,0.00,12.58,0.67,8.41,0.000
12,1010,0,0.00,12.58,0.66,8.29,0.000
13,1012,0,0.00,12.58,0.67,8.45,0.000
14,1012,0,0.00,12.58,0.66,8.34,0.000
15,1014,0,0.00,12.58,0.67,8.47,0.000
16,1014,0,0.00,12.58,0.69,8.62,0.000
17,1016,0,0.00,12.58,0.69,8.69,0.000
18,1016,0,0.00,12.57,0.72,9.07,0.000
19,1018,0,0.00,12.57,0.81,10.14,0.000
20,1018,0,0.00,12.57,0.84,10.56,0.000
21,1020,0,0.94,12.57,0.85,10.62,0.088
22,1020,0,0.88,12.57,0.83,10.43,0.084
23,1022,0,1.11,12.58,0.79,9.94,0.112
24,1022,0,1.09,12.57,0.78,9.81,0.112
25,1024,0,1.33,12.57,0.76,9.56,0.140
26,1024,0,1.70,12.57,0.76,9.55,0.177
27,1026,0,1.50,12.57,0.76,9.56,0.156
28,1026,0,1.20,12.57,0.75,9.37,0.127
29,1028,0,1.74,12.57,0.75,9.42,0.185
30,1028,0,1.28,12.58,0.75,9.43,0.136
31,1030,0,1.73,12.58,0.75,9.43,0.183
32,1030,0,1.98,12.57,0.75,9.38,0.211
33,1032,0,1.63,12.57,0.75,9.40,0.173
34,1032,0,2.17,12.57,0.73,9.22,0.236
35,1034,0,1.65,12.58,0.73,9.23,0.178
36,1034,0,1.90,12.57,0.74,9.29,0.205
37,1036,0,1.56,12.57,0.73,9.21,0.170
38,1036,0,1.92,12.58,0.74,9.33,0.206
39,1038,0,1.82,12.57,0.73,9.15,0.199
40,1038,0,1.72,12.58,0.73,9.17,0.187
41,1040,0,1.98,12.58,0.73,9.22,0.214
42,1040,0,1.97,12.58,0.73,9.17,0.215
43,1042,0,2.09,12.57,0.73,9.24,0.226
44,1042,0,2.17,12.58,0.74,9.33,0.233
45,1044,0,2.62,12.58,0.74,9.36,0.279
46,1044,0,1.97,12.58,0.74,9.31,0.212
