seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,12.586,0.669
2,1000,0,0.00,12.575,0.639
3,1002,0,0.00,12.585,0.652
4,1002,0,0.00,12.578,0.662
5,1004,0,0.00,12.575,0.657
6,1004,0,0.00,12.574,0.667
7,1006,0,0.00,12.584,0.658
8,1006,0,0.00,12.576,0.650
9,1008,0,0.00,12.568,0.671
10,1008,0,0.00,12.588,0.676
11,1010,0,0.00,12.581,0.656
12,1010,0,0.00,12.579,0.669
13,1012,0,0.00,12.577,0.665
14,1012,0,0.00,12.575,0.665
15,1014,0,0.00,12.576,0.674
16,1014,0,0.00,12.571,0.691
17,1016,0,0.00,12.576,0.683
18,1016,0,0.00,12.568,0.718
19,1018,0,0.00,12.568,0.802
20,1018,0,0.00,12.571,0.830
21,1020,0,0.00,12.569,0.842
22,1020,0,0.00,12.564,0.839
23,1022,0,0.00,12.572,0.792
24,1022,0,0.00,12.576,0.774
25,1024,0,0.00,12.571,0.774
26,1024,0,0.00,12.568,0.767
27,1026,0,0.00,12.575,0.765
28,1026,0,0.00,12.573,0.758
29,1028,0,0.00,12.566,0.749
30,1028,0,0.00,12.577,0.749
31,1030,0,0.00,12.578,0.748
32,1030,0,0.00,12.569,0.747
33,1032,0,0.00,12.572,0.753
34,1032,0,0.00,12.573,0.729
35,1034,0,0.00,12.579,0.728
36,1034,0,0.00,12.568,0.748
37,1036,0,0.00,12.567,0.730
38,1036,0,0.00,12.576,0.757
39,1038,0,0.00,12.569,0.729
40,1038,0,0.00,12.577,0.719
41,1040,0,0.00,12.576,0.732
42,1040,0,0.00,12.580,0.717
43,1042,0,0.00,12.569,0.750
44,1042,0,0.00,12.574,0.734
45,1044,0,1.19,12.574,0.749
46,1044,0,0.00,12.577,0.745
47,1046,0,1.18,12.575,0.729
48,1046,0,1.54,12.569,0.738
49,1048,0,1.13,12.577,0.743
50,1048,0,1.19,12.575,0.740
51,1050,0,1.29,12.561,0.730
52,1050,0,1.36,12.578,0.736
53,1052,0,1.34,12.573,0.737
54,1052,0,1.52,12.569,0.735
55,1054,0,1.49,12.579,0.753
